Name,RHEINMETALL,RHEINMETALL - EARNINGS PER SHR,RHEINMETALL - ASK PRICE,RHEINMETALL - BID PRICE,NORTHROP GRUMMAN,NORTHROP GRUMMAN - EARNINGS PER SHR,NORTHROP GRUMMAN - ASK PRICE,NORTHROP GRUMMAN - BID PRICE,RAYTHEON TECHNOLOGIES,RAYTHEON TECHNOLOGIES - EARNINGS PER SHR,RAYTHEON TECHNOLOGIES - ASK PRICE,RAYTHEON TECHNOLOGIES - BID PRICE,HNTGTN.INGALLS INDS.,HNTGTN.INGALLS INDS. - EARNINGS PER SHR,HNTGTN.INGALLS INDS. - ASK PRICE,HNTGTN.INGALLS INDS. - BID PRICE,LEONARDO,LEONARDO - EARNINGS PER SHR,LEONARDO - ASK PRICE,LEONARDO - BID PRICE,THALES,THALES - EARNINGS PER SHR,THALES - ASK PRICE,THALES - BID PRICE,BAE SYSTEMS,BAE SYSTEMS - EARNINGS PER SHR,BAE SYSTEMS - ASK PRICE,BAE SYSTEMS - BID PRICE,LOCKHEED MARTIN,LOCKHEED MARTIN - EARNINGS PER SHR,LOCKHEED MARTIN - ASK PRICE,LOCKHEED MARTIN - BID PRICE,AXON ENTERPRISE,AXON ENTERPRISE - EARNINGS PER SHR,AXON ENTERPRISE - ASK PRICE,AXON ENTERPRISE - BID PRICE,MANTECH INTL.'A',MANTECH INTL.'A' - EARNINGS PER SHR,MANTECH INTL.'A' - ASK PRICE,MANTECH INTL.'A' - BID PRICE,BWX TECHNOLOGIES,BWX TECHNOLOGIES - EARNINGS PER SHR,BWX TECHNOLOGIES - ASK PRICE,BWX TECHNOLOGIES - BID PRICE,CURTISS WRIGHT,CURTISS WRIGHT - EARNINGS PER SHR,CURTISS WRIGHT - ASK PRICE,CURTISS WRIGHT - BID PRICE,ELBIT SYSTEMS,ELBIT SYSTEMS - EARNINGS PER SHR,ELBIT SYSTEMS - ASK PRICE,ELBIT SYSTEMS - BID PRICE,ROLLS-ROYCE HOLDINGS,ROLLS-ROYCE HOLDINGS - EARNINGS PER SHR,ROLLS-ROYCE HOLDINGS - ASK PRICE,ROLLS-ROYCE HOLDINGS - BID PRICE,SMITH WESSON BRANDS,SMITH WESSON BRANDS - EARNINGS PER SHR,SMITH WESSON BRANDS - ASK PRICE,SMITH WESSON BRANDS - BID PRICE,ASELSAN ELNK.SANVETC.,ASELSAN ELNK.SANVETC. - EARNINGS PER SHR,ASELSAN ELNK.SANVETC. - ASK PRICE,ASELSAN ELNK.SANVETC. - BID PRICE,GENERAL DYNAMICS,GENERAL DYNAMICS - EARNINGS PER SHR,GENERAL DYNAMICS - ASK PRICE,GENERAL DYNAMICS - BID PRICE,STURM RUGER & CO,STURM RUGER & CO - EARNINGS PER SHR,STURM RUGER & CO - ASK PRICE,STURM RUGER & CO - BID PRICE,AMMO,AMMO - EARNINGS PER SHR,AMMO - ASK PRICE,AMMO - BID PRICE,CACI INTERNATIONAL 'A',CACI INTERNATIONAL 'A' - EARNINGS PER SHR,CACI INTERNATIONAL 'A' - ASK PRICE,CACI INTERNATIONAL 'A' - BID PRICE,AUSTAL,AUSTAL - EARNINGS PER SHR,AUSTAL - ASK PRICE,AUSTAL - BID PRICE,HONEYWELL INTL.,HONEYWELL INTL. - EARNINGS PER SHR,HONEYWELL INTL. - ASK PRICE,HONEYWELL INTL. - BID PRICE
Code,D:RHM(P),D:RHM(EPS),D:RHM(PA),D:RHM(PB),U:NOC(P),U:NOC(EPS),U:NOC(PA),U:NOC(PB),U:RTX(P),U:RTX(EPS),U:RTX(PA),U:RTX(PB),U:HII(P),U:HII(EPS),U:HII(PA),U:HII(PB),I:LDO(P),I:LDO(EPS),I:LDO(PA),I:LDO(PB),F:CSF(P),F:CSF(EPS),F:CSF(PA),F:CSF(PB),BA.(P),BA.(EPS),BA.(PA),BA.(PB),U:LMT(P),U:LMT(EPS),U:LMT(PA),U:LMT(PB),@AXON(P),@AXON(EPS),@AXON(PA),@AXON(PB),@MANT(P),@MANT(EPS),@MANT(PA),@MANT(PB),U:BWXT(P),U:BWXT(EPS),U:BWXT(PA),U:BWXT(PB),U:CW(P),U:CW(EPS),U:CW(PA),U:CW(PB),IS:ESLT(P),IS:ESLT(EPS),IS:ESLT(PA),IS:ESLT(PB),RR.(P),RR.(EPS),RR.(PA),RR.(PB),@SWBI(P),@SWBI(EPS),@SWBI(PA),@SWBI(PB),TK:ASE(P),TK:ASE(EPS),TK:ASE(PA),TK:ASE(PB),U:GD(P),U:GD(EPS),U:GD(PA),U:GD(PB),U:RGR(P),U:RGR(EPS),U:RGR(PA),U:RGR(PB),@POWW(P),@POWW(EPS),@POWW(PA),@POWW(PB),U:CACI(P),U:CACI(EPS),U:CACI(PA),U:CACI(PB),A:ASBX(P),A:ASBX(EPS),A:ASBX(PA),A:ASBX(PB),@HON(P),@HON(EPS),@HON(PA),@HON(PB)
CURRENCY,E,E,E,E,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,E,E,E,E,E,E,E,E,£,£,£,£,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,I£,I£,I£,I£,£,£,£,£,U$,U$,U$,U$,TL,TL,TL,TL,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,A$,A$,A$,A$,U$,U$,U$,U$
10/28/15,55.651,1.46,56.004,55.604,190.5,9.9,190.44,190.41,58.5804,3.91,58.5745,58.5568,112.71,8.01,112.67,112.62,12.38,0.2,12.38,12.37,65.4,2.59,65.42,65.4,442.5,37.4,442.6,442.5,221.04,11.27,221,220.99,23.48,0.48,23.48,23.47,28.1,1.44,28.08,28.06,28.09,0,28.1,28.09,69.29,1.62,69.22,69.12,314.5,4,314.7,314.6001,218.06,18.58,218.22,218.06,13.9248,0.69,13.9248,13.9171,3.52,0.13,3.52,3.51,150.78,8.54,150.78,150.77,58.61,1.32,58.6,58.56,0.8,0,NA,NA,89.21,5.17,89.2,89.05,2.2,0.16,2.22,2.15,98.6097,5.44,98.6288,98.6193
10/29/15,56.4,1.46,56.462,56.062,190.07,9.9,190.07,190.06,58.4212,3.91,58.4153,58.3976,113.82,8.01,113.86,113.82,12.19,0.2,12.19,12.18,65.9,2.59,65.9,65.75,439,37.4,439.1,439,218.25,11.27,218.25,218.24,23.39,0.48,23.41,23.39,29.09,1.44,29.09,29.08,28.04,0,28.04,28.03,68.95,1.62,68.95,68.91,306.7,4,306.7,306.6001,219.84,18.58,220,219.84,13.9709,0.69,13.9786,13.9709,3.52,0.13,NA,NA,149.97,8.54,150.02,149.98,57.89,1.32,57.93,57.88,0.8,0,NA,NA,96,5.17,96,95.97,2.18,0.16,2.2,2.17,98.0004,5.44,97.9814,97.9719
10/30/15,56.98,1.46,57.403,57.003,187.75,10.37,187.77,187.75,58.0437,3.91,58.0555,58.0496,119.94,8.01,119.93,119.92,11.9,0.2,11.91,11.9,65.93,2.59,65.94,65.93,440.3,37.4,440.3,440.2,219.83,11.27,219.79,219.74,23.41,0.48,23.41,23.4,28.9,1.44,28.93,28.9,28.3,0,28.3,28.28,69.56,1.62,69.54,69.49,306.8,4,306.8,306.7,222.59,18.58,222.75,222.59,13.7175,0.69,13.7175,13.7098,3.49,0.13,3.5,3.49,148.58,8.54,148.6,148.59,56.94,1.32,56.89,56.85,0.8,0,NA,NA,97.04,5.17,97.04,97.01,2.28,0.16,2.28,2.25,98.3241,5.44,98.3146,98.3051
11/02/15,58.234,1.46,58.638,58.238,189.54,10.37,189.56,189.54,58.6217,3.91,58.6335,58.6276,121.08,8.01,121.05,120.98,11.94,0.2,11.98,11.94,66.31,2.59,66.37,66.28,443.9,37.4,444,443.9,220.59,11.27,220.56,220.53,23.88,0.48,23.9,23.88,29.43,1.44,29.45,29.42,28.27,0,28.3,28.28,69.9,1.91,69.91,69.88,309.8999,4,310.1001,309.8999,223.88,18.58,223.88,223.72,13.7559,0.69,13.7559,13.7482,3.7,0.1,3.7,3.69,148.72,8.77,148.77,148.74,55.7,1.32,55.69,55.66,0.8,0,NA,NA,98.75,5.17,98.79,98.75,2.22,0.16,2.3,2.2,99.1809,5.44,99.2,99.1904
11/03/15,57.841,1.46,58.062,57.662,186.64,10.37,186.64,186.63,58.9815,3.91,58.9933,58.9874,121.63,8.01,121.62,121.57,11.79,0.26,11.81,11.79,65.87,2.59,65.87,65.74,444,37.4,444.1,444,218.9,11.27,218.96,218.91,20.91,0.48,20.91,20.9,29.83,1.38,29.84,29.82,28.66,0,28.68,28.67,70.55,1.91,70.54,70.52,311,4,311.5,311,225.02,18.58,225.18,225.02,13.7866,0.69,13.7866,13.7789,3.68,0.1,3.69,3.66,147.17,8.77,147.16,147.13,56.36,1.32,56.36,56.33,0.8,0,NA,NA,99.32,5.25,99.31,99.26,2.3,0.16,2.36,2.28,98.6763,5.44,98.6763,98.6668
11/04/15,57.79,1.46,56.482,56.082,186.17,10.37,186.21,186.17,59.1761,3.91,59.1938,59.1761,120.37,8.01,120.46,120.33,11.98,0.26,11.99,11.98,66.47,2.59,66.47,66.39,447.7,37.4,447.8,447.7,218.83,11.27,218.85,218.83,20.58,0.48,20.58,20.57,29.57,1.38,29.6,29.57,28.62,0,28.62,28.61,70.08,1.91,70.12,70.09,312,4,312,311,229.71,18.58,229.71,229.55,13.5485,0.69,13.5485,13.5408,3.69,0.1,3.69,3.68,147.28,8.77,147.29,147.28,54.54,1.32,54.54,54.42,0.8,0,NA,NA,100.58,5.25,100.59,100.56,2.28,0.16,2.33,2.25,98.4098,5.44,98.4384,98.4193
11/05/15,59.62,2.68,59.933,59.533,186.42,10.37,186.44,186.42,59.4533,3.91,59.4769,59.4592,130.13,8.01,130.08,130.05,11.88,0.26,11.9,11.88,66.52,2.59,66.52,66.45,437.9,37.4,437.9,437.8,218.6,11.27,218.7,218.63,20.16,0.37,20.16,20.15,29.73,1.38,29.73,29.71,29.22,0,29.22,29.2,70.24,1.91,70.26,70.24,316.3,4,316.3,316,226.64,18.58,226.8,226.64,13.3449,0.69,13.3488,13.3411,3.65,0.1,3.66,3.65,147.07,8.77,147.1,147.09,49.14,1.32,49.16,49.13,0.8,0,NA,NA,100.32,5.25,100.4,100.32,2.25,0.16,2.29,2.24,98.6288,5.44,98.6668,98.6478
11/06/15,62.32,2.68,62.745,62.35,184.01,10.37,184.13,184.08,59.4533,3.91,59.4474,59.4415,129,8.01,129.05,129,12.27,0.26,12.28,12.27,67.19,2.59,67.26,67.18,445,37.4,445.1,445,216.63,11.27,216.65,216.61,20.19,0.37,20.19,20.18,30.01,1.38,30.04,30.02,29.12,0,29.12,29.11,70.1,1.91,70.11,70.07,312.8,4,313.1001,312.8,226.31,18.58,226.31,226.15,13.9555,0.69,13.9555,13.9479,3.61,0.02,3.61,3.6,145.92,8.77,145.91,145.88,52.87,1.32,52.87,52.86,0.8,0,NA,NA,100.59,5.25,100.63,100.59,2.22,0.16,2.33,2.2,99.0096,5.44,99.0096,98.981
