"","A:ASBX(P)","A:ASBX(EPS)","A:ASBX(PA)","A:ASBX(PB)","D:RHM(P)","D:RHM(EPS)","D:RHM(PA)","D:RHM(PB)","I:LDO(P)","I:LDO(EPS)","I:LDO(PA)","I:LDO(PB)","F:CSF(P)","F:CSF(EPS)","F:CSF(PA)","F:CSF(PB)","BA.(P)","BA.(EPS)","BA.(PA)","BA.(PB)","IS:ESLT(P)","IS:ESLT(EPS)","IS:ESLT(PA)","IS:ESLT(PB)","RR.(P)","RR.(EPS)","RR.(PA)","RR.(PB)","TK:ASE(P)","TK:ASE(EPS)","TK:ASE(PA)","TK:ASE(PB)"
"1",1.61,0.12,1.62,1.57,64.18,1.68,64.58,64.12,14.28,0.23,14.28,14.27,75.42,2.99,75.44,75.42,581.21,49.12,581.34,581.21,413.09,5.25,413.35,413.22,286.42,24.4,286.63,286.42,0.65,0.02,0.65,0.65
"2",1.59,0.12,1.61,1.59,65.04,1.68,65.11,64.65,14.06,0.23,14.06,14.05,76,2.99,76,75.82,576.62,49.12,576.75,576.62,402.84,5.25,402.84,402.71,288.75,24.4,288.96,288.75,0.65,0.02,0.62,0.62
"3",1.67,0.12,1.67,1.65,65.71,1.68,66.2,65.74,13.72,0.23,13.73,13.72,76.03,2.99,76.04,76.03,578.32,49.12,578.32,578.19,402.97,5.25,402.97,402.84,292.37,24.4,292.58,292.37,0.65,0.02,0.65,0.65
"4",1.62,0.12,1.68,1.61,67.16,1.68,67.62,67.16,13.77,0.23,13.82,13.77,76.47,2.99,76.54,76.43,583.05,49.12,583.18,583.05,407.05,5.25,407.31,407.05,294.06,24.4,294.06,293.85,0.69,0.02,0.69,0.69
"5",1.68,0.12,1.73,1.67,66.7,1.68,66.96,66.5,13.6,0.3,13.62,13.6,75.96,2.99,75.96,75.81,583.18,49.12,583.31,583.18,408.49,5.25,409.15,408.49,295.56,24.4,295.77,295.56,0.68,0.02,0.69,0.68
"6",1.67,0.12,1.7,1.65,66.64,1.68,65.14,64.67,13.82,0.3,13.83,13.82,76.65,2.99,76.65,76.56,588.04,49.12,588.17,588.04,409.8,5.25,409.8,408.49,301.72,24.4,301.72,301.51,0.69,0.02,0.69,0.68
"7",1.65,0.12,1.68,1.64,68.75,3.09,69.11,68.65,13.7,0.3,13.72,13.7,76.71,2.99,76.71,76.63,575.17,49.12,575.17,575.04,415.45,5.25,415.45,415.06,297.69,24.4,297.9,297.69,0.68,0.02,0.68,0.68
"8",1.62,0.12,1.7,1.61,71.87,3.09,72.36,71.9,14.15,0.3,14.16,14.15,77.48,2.99,77.56,77.47,584.5,49.12,584.63,584.5,410.85,5.25,411.25,410.85,297.25,24.4,297.25,297.04,0.67,0,0.67,0.67
"9",1.66,0.12,1.7,1.65,70.36,3.09,70.66,70.19,13.93,0.3,13.94,13.93,76.7,2.99,76.7,76.53,579.5,49.12,579.5,579.37,409.54,5.25,409.54,407.57,297.04,24.4,297.04,296.83,0.68,0,0.69,0.68
"10",1.62,0.12,1.69,1.6,68.04,3.09,68.04,67.29,14.42,0.3,14.42,14.4,77.06,2.99,77.15,77.06,575.3,49.12,575.56,575.3,412.43,5.25,413.09,412.43,285.77,24.4,285.77,285.56,0.68,0,0.68,0.68
"11",1.65,0.12,1.65,1.65,66.17,3.09,66.17,65.73,14.5,0.3,14.51,14.5,77.66,2.99,77.68,77.66,575.7,49.12,575.7,575.3,424.25,5.49,424.25,423.99,283.64,24.4,283.64,283.43,0.68,0,0.68,0.68
"12",1.68,0.12,1.69,1.65,63.15,3.09,63.23,62.77,14.06,0.3,14.07,14.06,76.25,2.99,76.32,76.23,597.63,49.12,598.02,597.63,434.76,5.49,435.02,434.76,228.15,24.4,228.15,227.94,0.69,0,0.69,0.69
"13",1.67,0.12,1.7,1.61,61.15,3.09,62.38,61.92,14.07,0.3,14.08,14.06,75.58,2.99,75.63,75.55,595.79,49.12,595.79,595.66,421.89,5.49,422.02,421.89,218.37,24.4,218.37,218.15,0.7,0,0.7,0.7
"14",1.65,0.12,1.7,1.65,65.64,3.09,65.73,65.36,14.45,0.3,14.45,14.43,78.07,2.99,78.11,78.01,610.37,49.12,610.5,610.37,430.82,5.49,430.82,430.43,224.54,24.4,224.75,224.54,0.76,0,0.76,0.75
"15",1.74,0.12,1.74,1.7,66.9,3.09,66.73,66.27,15.23,0.3,15.23,15.21,80.85,2.99,80.87,80.82,622.32,49.12,622.72,622.32,441.33,5.49,441.46,441.33,236.02,24.4,236.23,236.02,0.74,0,0.74,0.74
"16",1.71,0.12,1.74,1.68,66.93,3.09,67.05,66.99,15.21,0.3,15.21,15.2,79.61,2.99,79.67,79.59,626,49.12,626.53,626,447.89,5.49,447.89,447.76,230.91,24.4,230.91,230.7,0.73,0,0.73,0.73
"17",1.68,0.12,1.74,1.68,67.67,3.09,67.54,67.08,15.26,0.3,15.26,15.25,79.07,2.99,79.1,78.98,635.85,49.12,635.85,635.72,436.2,5.49,436.07,435.81,230.07,24.4,230.07,229.84,0.73,0,0.73,0.73
