Start,10/28/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End,10/28/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,CURALEAF HLDGS SUBORDINATE VOTING,CURALEAF HLDGS SUBORDINATE VOTING - EARNINGS PER SHR,CURALEAF HLDGS SUBORDINATE VOTING - ASK PRICE,CURALEAF HLDGS SUBORDINATE VOTING - BID PRICE,AMYRIS,AMYRIS - EARNINGS PER SHR,AMYRIS - ASK PRICE,AMYRIS - BID PRICE,CRONOS GROUP,CRONOS GROUP - EARNINGS PER SHR,CRONOS GROUP - ASK PRICE,CRONOS GROUP - BID PRICE,GROWGENERATION,GROWGENERATION - EARNINGS PER SHR,GROWGENERATION - ASK PRICE,GROWGENERATION - BID PRICE,ADVISORSHARES PURE (NYS) CANNABIS ETF,#ERROR,ADVISORSHARES PURE (NYS) CANNABIS ETF - ASK PRICE,ADVISORSHARES PURE (NYS) CANNABIS ETF - BID PRICE,AMPLIFY SEYMOUR CANNABIS ETF,#ERROR,AMPLIFY SEYMOUR CANNABIS ETF - ASK PRICE,AMPLIFY SEYMOUR CANNABIS ETF - BID PRICE,ETFMG ALTERNATIVE HARVEST ETF,#ERROR,ETFMG ALTERNATIVE HARVEST ETF - ASK PRICE,ETFMG ALTERNATIVE HARVEST ETF - BID PRICE,GLOBAL X CANNABIS ETF,#ERROR,GLOBAL X CANNABIS ETF - ASK PRICE,GLOBAL X CANNABIS ETF - BID PRICE,CONSTELLATION BRANDS 'A',CONSTELLATION BRANDS 'A' - EARNINGS PER SHR,CONSTELLATION BRANDS 'A' - ASK PRICE,CONSTELLATION BRANDS 'A' - BID PRICE,INNOVATIVE INDL.PROPS.,INNOVATIVE INDL.PROPS. - EARNINGS PER SHR,INNOVATIVE INDL.PROPS. - ASK PRICE,INNOVATIVE INDL.PROPS. - BID PRICE,CANOPY GROWTH,CANOPY GROWTH - EARNINGS PER SHR,CANOPY GROWTH - ASK PRICE,CANOPY GROWTH - BID PRICE,CARA THERAPEUTICS,CARA THERAPEUTICS - EARNINGS PER SHR,CARA THERAPEUTICS - ASK PRICE,CARA THERAPEUTICS - BID PRICE,TILRAY 2,TILRAY 2 - EARNINGS PER SHR,TILRAY 2 - ASK PRICE,TILRAY 2 - BID PRICE,AURORA CANNABIS,AURORA CANNABIS - EARNINGS PER SHR,AURORA CANNABIS - ASK PRICE,AURORA CANNABIS - BID PRICE,ORGANIGRAM HOLDINGS,ORGANIGRAM HOLDINGS - EARNINGS PER SHR,ORGANIGRAM HOLDINGS - ASK PRICE,ORGANIGRAM HOLDINGS - BID PRICE,SUNDIAL GROWERS,SUNDIAL GROWERS - EARNINGS PER SHR,SUNDIAL GROWERS - ASK PRICE,SUNDIAL GROWERS - BID PRICE,CANNTRUST HOLDINGS,CANNTRUST HOLDINGS - EARNINGS PER SHR,CANNTRUST HOLDINGS - ASK PRICE,CANNTRUST HOLDINGS - BID PRICE,EMERALD HEALTH THERAPEUTICS,EMERALD HEALTH THERAPEUTICS - EARNINGS PER SHR,EMERALD HEALTH THERAPEUTICS - ASK PRICE,EMERALD HEALTH THERAPEUTICS - BID PRICE,GRN.THUMB INDS. SUBD. VTG.,GRN.THUMB INDS. SUBD. VTG. - EARNINGS PER SHR,GRN.THUMB INDS. SUBD. VTG. - ASK PRICE,GRN.THUMB INDS. SUBD. VTG. - BID PRICE
Code,C:CURA(P),C:CURA(EPS),C:CURA(PA),C:CURA(PB),@AMRS(P),@AMRS(EPS),@AMRS(PA),@AMRS(PB),C:CRON(P),C:CRON(EPS),C:CRON(PA),C:CRON(PB),@GRWG(P),@GRWG(EPS),@GRWG(PA),@GRWG(PB),U:YOLO(P),,U:YOLO(PA),U:YOLO(PB),U:CNBS(P),,U:CNBS(PA),U:CNBS(PB),U:MJ(P),,U:MJ(PA),U:MJ(PB),@POTX(P),,@POTX(PA),@POTX(PB),U:STZ(P),U:STZ(EPS),U:STZ(PA),U:STZ(PB),U:IIPR(P),U:IIPR(EPS),U:IIPR(PA),U:IIPR(PB),C:WEED(P),C:WEED(EPS),C:WEED(PA),C:WEED(PB),@CARA(P),@CARA(EPS),@CARA(PA),@CARA(PB),@TLRY(P),@TLRY(EPS),@TLRY(PA),@TLRY(PB),C:ACB(P),C:ACB(EPS),C:ACB(PA),C:ACB(PB),C:OGI(P),C:OGI(EPS),C:OGI(PA),C:OGI(PB),@SNDL(P),@SNDL(EPS),@SNDL(PA),@SNDL(PB),@CNTTQ(P),@CNTTQ(EPS),@CNTTQ(PA),@CNTTQ(PB),C:EMH(P),C:EMH(EPS),C:EMH(PA),C:EMH(PB),C:GTII(P),C:GTII(EPS),C:GTII(PA),C:GTII(PB)
CURRENCY,C$,C$,C$,C$,U$,U$,U$,U$,C$,C$,C$,C$,U$,U$,U$,U$,U$,,U$,U$,U$,,U$,U$,U$,,U$,U$,U$,,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,C$,C$,C$,C$,U$,U$,U$,U$,U$,U$,U$,U$,C$,C$,C$,C$,C$,C$,C$,C$,U$,U$,U$,U$,U$,U$,U$,U$,C$,C$,C$,C$,C$,C$,C$,C$
10/28/15,28.61,NA,29.91,28.61,25.35,0,25.35,25.2,0.35,0,0.35,0.32,NA,NA,NA,NA,NA,"$$ER: 2311,NO DATA AVAILABLE",NA,NA,NA,"$$ER: 2311,NO DATA AVAILABLE",NA,NA,NA,"$$ER: 2311,NO DATA AVAILABLE",NA,NA,NA,"$$ER: 2311,NO DATA AVAILABLE",NA,NA,135.61,4.33,135.58,135.56,NA,NA,NA,NA,2.57,0,2.58,2.56,15.58,0,15.58,15.57,NA,NA,NA,NA,6.47,0,6.47,6.24,0.54,0,0.54,0.51,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.03,0.21,0.2,7.36,0,9.2,7.36
10/29/15,28.61,NA,29.91,28.61,25.5,0,25.8,25.5,0.35,0,0.35,0.32,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,135.11,4.33,135.09,135.06,NA,NA,NA,NA,2.52,0,2.53,2.51,15.13,0,15.14,15.13,NA,NA,NA,NA,5.9,0,6.24,5.9,0.52,0,0.52,0.51,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.03,0.2,0.19,7.36,0,9.2,7.36
10/30/15,28.61,NA,29.91,28.61,25.35,0,25.5,25.35,0.33,0,0.33,0.32,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,134.8,4.33,134.78,134.76,NA,NA,NA,NA,2.72,0,2.72,2.71,14.17,0,14.18,14.17,NA,NA,NA,NA,6.24,0,6.36,6.24,0.61,0,0.61,0.6,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.03,0.21,0.2,7.36,0,9.2,7.36
11/02/15,28.61,NA,29.91,28.61,25.8,0,25.8,25.65,0.35,0,0.35,0.32,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,135.08,4.33,135.07,135.04,NA,NA,NA,NA,2.9,0,2.9,2.89,15.56,0,15.55,15.52,NA,NA,NA,NA,6.36,0,6.47,6.36,0.84,0,0.85,0.83,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.03,0.28,0.27,7.36,0,9.2,7.36
11/03/15,28.61,NA,29.91,27.31,27.6,0,26.85,26.7,0.36,0,0.36,0.35,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,134.41,4.33,134.46,134.42,NA,NA,NA,NA,3.18,0,3.18,3.15,15.32,0,15.32,15.29,NA,NA,NA,NA,6.59,0,6.59,6.47,1,0,1,0.99,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.03,0.34,0.32,7.36,0,7.36,5.52
11/04/15,29.91,NA,31.21,29.91,25.5,0,25.5,25.35,0.44,0,0.44,0.42,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,133.2,4.33,133.26,133.24,NA,NA,NA,NA,3.48,0,3.48,3.47,16.27,0,16.29,16.27,NA,NA,NA,NA,7.05,0,7.17,6.94,1.18,0,1.18,1.17,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.03,0.43,0.42,5.52,0,7.36,5.52
11/05/15,29.91,NA,36.41,29.91,25.35,0,25.35,25.2,0.41,0,0.41,0.4,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,133.26,4.33,133.26,133.23,NA,NA,NA,NA,3.15,0,3.15,3.14,15.49,0,15.5,15.46,NA,NA,NA,NA,7.98,0,8.09,7.98,1,0,1.03,1,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.03,0.39,0.39,5.52,0,7.36,5.52
11/06/15,36.41,NA,36.41,31.21,25.35,0,25.35,25.2,0.42,0,0.42,0.38,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,132.11,4.33,132.06,132.04,NA,NA,NA,NA,2.65,0,2.66,2.65,15.41,0,15.43,15.41,NA,NA,NA,NA,7.63,0,7.52,7.4,0.98,0,0.98,0.96,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.03,0.37,0.36,5.52,0,7.36,5.52
