"","A:TWEX(P)","A:TWEX(EPS)","A:TWEX(PA)","A:TWEX(PB)","B:ABI(P)","B:ABI(EPS)","B:ABI(PA)","B:ABI(PB)","H:HB(P)","H:HB(EPS)","H:HB(PA)","H:HB(PB)","F:RCD(P)","F:RCD(EPS)","F:RCD(PA)","F:RCD(PB)","I:CPR(P)","I:CPR(EPS)","I:CPR(PA)","I:CPR(PB)","DGE(P)","DGE(EPS)","DGE(PA)","DGE(PB)","K:BBCA(P)","K:BBCA(EPS)","K:BBCA(PA)","K:BBCA(PB)","K:CHRE(P)","K:CHRE(EPS)","K:CHRE(PA)","K:CHRE(PB)","DK:CAB(P)","DK:CAB(EPS)","DK:CAB(PA)","DK:CAB(PB)","DK:RBR(P)","DK:RBR(EPS)","DK:RBR(PA)","DK:RBR(PB)","CN:KCM(P)","CN:KCM(EPS)","CN:KCM(PA)","CN:KCM(PB)","CN:YWU(P)","CN:YWU(EPS)","CN:YWU(PA)","CN:YWU(PB)","CN:JYB(P)","CN:JYB(EPS)","CN:JYB(PA)","CN:JYB(PB)","CN:TTB(P)","CN:TTB(EPS)","CN:TTB(PA)","CN:TTB(PB)","IN:MLC(P)","IN:MLC(EPS)","IN:MLC(PA)","IN:MLC(PB)","IN:UBB(P)","IN:UBB(EPS)","IN:UBB(PA)","IN:UBB(PB)","MX:BEC(P)","MX:BEC(EPS)","MX:BEC(PA)","MX:BEC(PB)","BR:AVS(P)","BR:AVS(EPS)","BR:AVS(PA)","BR:AVS(PB)","CL:CVZ(P)","CL:CVZ(EPS)","CL:CVZ(PA)","CL:CVZ(PB)","U:STZ(P)","U:STZ(EPS)","U:STZ(PA)","U:STZ(PB)","U:BF.B(P)","U:BF.B(EPS)","U:BF.B(PA)","U:BF.B(PB)","U:TAP(P)","U:TAP(EPS)","U:TAP(PA)","U:TAP(PB)","U:SAM(P)","U:SAM(EPS)","U:SAM(PA)","U:SAM(PB)"
"10/28/15",5.25,0.09,5.3,5.23,124.08,5.69,124.08,124.03,96.12,4.07,96.13,96.06,122.24,3.76,122.35,122.24,4.57,0.15,4.57,4.56,24.56,1.25,24.56,24.55,0,0,0,0,1.76,0,1.76,1.76,86.44,3.82,86.51,86.44,41.48,1.9,41.48,41.45,221.26,13.33,221.3,221.22,26.8,1.57,25.2,25.19,63.33,3.34,63.39,63.33,35.26,1.2,35.27,35.26,8.95,0,9.01,8.98,13.64,0.14,13.63,13.59,0,0,0,0,5.13,0.21,5.13,5.13,11.99,0.46,12.02,11.91,135.61,4.33,135.58,135.56,43.02,1.31,43,43,87.97,1.97,87.97,87.96,245.95,7.38,245.95,245.76
"10/29/15",5.19,0.09,5.23,4.94,123.91,5.69,123.97,123.91,95.58,4.07,95.59,95.58,124.32,3.76,124.32,124.26,4.48,0.15,4.48,4.47,24.77,1.25,24.77,24.77,0,0,0,0,1.71,0,1.71,1.71,85.43,3.82,85.43,85.35,41.28,1.9,41.28,41.2,221.84,13.33,221.66,221.64,26.8,1.57,25.08,25.07,65.46,3.45,65.47,65.46,35.32,1.2,35.34,35.33,8.99,0,8.99,8.99,13.61,0.14,13.74,13.69,0,0,0,0,5.02,0.21,5.03,5.02,11.97,0.46,11.98,11.57,135.11,4.33,135.09,135.06,42.69,1.31,42.69,42.69,87.49,1.97,87.49,87.48,244.94,7.38,245.31,244.87
"10/30/15",5.18,0.09,5.19,5.16,125.35,5.69,125.41,125.35,95.85,4.07,95.88,95.83,123.62,3.76,123.62,123.57,4.49,0.15,4.51,4.49,24.67,1.25,24.67,24.67,0,0,0,0,1.73,0,1.74,1.73,86.05,3.82,86.05,85.89,41.52,1.9,41.52,41.49,222.74,13.33,222.85,222.62,26.8,1.57,26.54,26.53,65.12,3.45,65.16,65.12,35.3,1.2,35.32,35.31,8.97,0,8.95,8.95,13.38,0.14,13.42,13.41,0,0,0,0,5.04,0.21,5.04,5.02,12.05,0.46,12.14,11.57,134.8,4.33,134.78,134.76,42.47,1.31,42.46,42.45,88.1,1.97,88.11,88.1,219.59,7.38,219.45,219.28
"11/02/15",5.14,0.09,5.16,5.08,125.3,5.69,125.3,125.18,94.74,4.07,94.79,94.74,122.41,3.76,122.64,122.41,4.49,0.15,4.5,4.49,24.55,1.25,24.55,24.54,0,0,0,0,1.7,0,1.7,1.69,85.74,3.82,85.82,85.74,41.01,1.9,41.03,41.01,221.38,13.33,221.42,221.39,25.2,1.57,25.2,25.19,66.03,3.45,66.04,66.03,34.89,1.2,34.9,34.89,9.27,0,9.34,9.31,13.72,0.14,13.69,13.67,0,0,0,0,5.04,0.21,5.12,5.09,11.92,0.46,11.92,11.72,135.08,4.33,135.07,135.04,42.75,1.31,42.77,42.76,88.71,1.97,88.68,88.67,224.8,7.38,224.96,224.87
"11/03/15",5.19,0.09,5.2,5.08,125.18,5.69,125.18,125.12,94.9,4.07,94.9,94.65,123.33,3.76,123.39,123.28,4.52,0.15,4.52,4.51,24.64,1.25,24.65,24.64,0,0,0,0,1.7,0,1.7,1.7,85.89,3.82,86.05,85.89,41.06,1.9,41.06,41.03,218.41,13.33,218.56,218.49,25.07,1.57,25.08,25.07,67.67,3.45,67.68,67.67,34.95,1.2,34.95,34.94,9.8,0,9.77,9.76,13.59,0.14,13.55,13.54,0,0,0,0,5.18,0.21,5.18,5.17,12.45,0.48,12.46,11.92,134.41,4.33,134.46,134.42,42.64,1.31,42.64,42.64,87.9,1.97,87.91,87.9,217.94,7.43,218.02,217.88
"11/04/15",5.33,0.09,5.34,5.12,126.28,5.69,126.28,126.16,95.15,4.07,95.17,95.14,123.97,3.76,124.03,123.85,4.47,0.15,4.48,4.47,24.88,1.25,24.88,24.86,0,0,0,0,1.73,0,1.73,1.72,87.75,3.82,87.83,87.75,41.32,1.9,41.32,41.29,223.9,13.33,224.13,223.92,26.54,1.57,26.55,26.54,71.15,3.45,71.17,71.15,36.08,1.2,36.09,36.08,10.02,0,10.03,10.02,14.21,0.14,14.24,14.23,0,0,0,0,5.18,0.21,5.18,5.18,12.56,0.48,12.7,11.72,133.2,4.33,133.26,133.24,42.74,1.31,42.75,42.73,87.42,1.97,87.46,87.44,215.84,7.43,215.84,215.79
"11/05/15",5.22,0.09,5.34,5.14,127.08,5.69,127.14,127.08,96.87,4.07,96.9,96.83,125.58,3.76,125.64,125.58,4.55,0.15,4.56,4.55,24.92,1.25,24.92,24.92,0,0,0,0,1.72,0,1.72,1.71,87.52,3.82,87.6,87.52,41.21,1.9,41.24,41.18,225.55,13.33,225.66,225.65,26.89,1.57,26.89,26.88,70.93,3.45,71,70.93,36.18,1.2,36.19,36.18,9.85,0,9.79,9.79,13.6,0.14,13.57,13.56,0,0,0,0,5.14,0.21,5.14,5.14,12.61,0.48,12.64,11.96,133.26,4.33,133.26,133.23,42.75,1.31,42.77,42.77,87.82,1.97,87.8,87.76,211.27,7.43,211.52,211.25
"11/06/15",5.33,0.09,5.35,5.27,128.99,5.69,128.99,128.87,96.27,4.07,96.27,96.2,123.97,3.76,123.97,123.91,4.53,0.15,4.53,4.53,24.73,1.25,24.73,24.73,0,0,0,0,1.68,0,1.68,1.68,86.05,3.82,86.05,85.97,40.46,1.9,40.47,40.46,227.49,13.33,227.51,227.49,27,1.57,27.01,27,71.58,3.45,71.58,71.57,36.68,1.2,36.7,36.68,9.84,0,9.81,9.76,13.67,0.14,13.76,13.72,0,0,0,0,5.01,0.21,5.04,5.04,12.59,0.48,12.6,12.2,132.11,4.33,132.06,132.04,41.78,1.31,41.76,41.76,87.57,1.97,87.56,87.54,210,7.43,210,209.89
"11/09/15",5.22,0.09,5.3,5.19,127.95,5.69,128.01,127.95,94.76,4.07,94.84,94.76,122.35,3.76,122.53,122.24,4.41,0.15,4.42,4.41,24.5,1.25,24.5,24.5,0,0,0,0,1.64,0,1.64,1.63,85.27,3.82,85.35,85.27,41.32,1.9,41.34,41.31,230,13.33,229.97,229.94,27.9,1.57,27.9,27.89,72.51,3.45,72.54,72.51,36.77,1.2,36.81,36.8,10.26,0,10.28,10.26,13.87,0.14,13.94,13.86,0,0,0,0,4.94,0.21,4.94,4.94,12.55,0.48,12.56,12.24,132.27,4.33,132.25,132.22,41.54,1.31,41.55,41.54,87.36,1.93,87.36,87.35,213.83,7.43,213.72,213.65
"11/10/15",5.24,0.09,5.25,5.17,128.24,5.69,128.29,128.18,96,4.07,96.02,95.99,123.1,3.76,123.16,123.05,4.58,0.15,4.58,4.58,24.59,1.25,24.59,24.58,0,0,0,0,1.61,0,1.62,1.61,85.82,3.82,85.82,85.74,40.98,1.9,41,40.98,231.61,13.33,231.68,231.67,27.55,1.57,27.55,27.54,71.12,3.45,71.12,70.93,36.45,1.2,36.49,36.46,9.97,0,9.91,9.89,13.62,0.14,13.62,13.57,0,0,0,0,4.93,0.21,4.93,4.93,12.07,0.48,12.3,12.05,134.78,4.33,134.8,134.79,41.64,1.31,41.64,41.62,88.31,1.93,88.34,88.33,208.51,7.43,208.42,208.39
