"","A:TWEX(FFNOSH)","B:ABI(FFNOSH)","H:HB(FFNOSH)","F:RCD(FFNOSH)","I:CPR(FFNOSH)","DGE(FFNOSH)","K:BBCA(FFNOSH)","K:CHRE(FFNOSH)","DK:CAB(FFNOSH)","DK:RBR(FFNOSH)","CN:KCM(FFNOSH)","CN:YWU(FFNOSH)","CN:JYB(FFNOSH)","CN:TTB(FFNOSH)","IN:MLC(FFNOSH)","IN:UBB(FFNOSH)","MX:BEC(FFNOSH)","BR:AVS(FFNOSH)","CL:CVZ(FFNOSH)","U:STZ(FFNOSH)","U:BF.B(FFNOSH)","U:TAP(FFNOSH)","U:SAM(FFNOSH)"
"10/28/15","656205","814809","215771","182070","569184","2367895","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","304907","141380","7794"
"10/29/15","656205","814809","215771","182070","569184","2367895","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","304907","141380","7794"
"10/30/15","656205","814809","215771","182070","569184","2367895","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","304907","141380","7794"
"11/02/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/03/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/04/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/05/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/06/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/09/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/10/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/11/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/12/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/13/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/16/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/17/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/18/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/19/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/20/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/23/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/24/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/25/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/26/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/27/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"11/30/15","656205","814809","215771","182070","569184","2368087","0","686469","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","56061","163706","292048","141380","7794"
"12/01/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/02/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
