"","A:ASBX(FFNOSH)","D:RHM(FFNOSH)","I:LDO(FFNOSH)","F:CSF(FFNOSH)","BA.(FFNOSH)","RR.(FFNOSH)","TK:AES(FFNOSH)","IS:ESLT(FFNOSH)","U:NOC(FFNOSH)","U:RTX(FFNOSH)","U:HII(FFNOSH)","U:LMT(FFNOSH)","@AXON(FFNOSH)","@MANT(FFNOSH)","U:BWXT(FFNOSH)","U:CW(FFNOSH)","@SWBI(FFNOSH)","U:GD(FFNOSH)","U:RGR(FFNOSH)","@POWW(FFNOSH)","U:CACI(FFNOSH)","@HON(FFNOSH)"
"10/28/15","269080","39599","390558","101976","2815350","1638646",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"10/29/15","269080","39599","390558","101976","2815350","1638646",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"10/30/15","269080","39599","390558","101976","2815350","1638646",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/02/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/03/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/04/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/05/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/06/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/09/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/10/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
