"","U:MGM(FFNOSH)","U:LVS(FFNOSH)","@WYNN(FFNOSH)","@BJK(FFNOSH)","@GDEN(FFNOSH)","U:BYD(FFNOSH)","U:BALY(FFNOSH)","@RRR(FFNOSH)"
"10/28/15","364744","402490","67968","702","10155","76906","0","0"
"10/29/15","364744","402490","67968","702","10155","76906","0","0"
"10/30/15","364744","402490","67968","702","10155","76906","0","0"
"11/02/15","364997","400947","67979","702","10915","77033","0","0"
"11/03/15","364997","400947","67979","702","10915","77033","0","0"
"11/04/15","364997","400947","67979","702","10915","77033","0","0"
"11/05/15","364997","400947","67979","702","10915","77033","0","0"
"11/06/15","364997","400947","67979","702","10915","77033","0","0"
"11/09/15","364997","400947","67979","702","10915","77033","0","0"
"11/10/15","364997","400947","67979","702","10915","77033","0","0"
"11/11/15","364997","400947","67979","702","10915","77033","0","0"
"11/12/15","364997","400947","67979","702","10915","77033","0","0"
"11/13/15","364997","400947","67979","702","10915","77033","0","0"
"11/16/15","364997","400947","67979","702","10915","77033","0","0"
"11/17/15","364997","400947","67979","702","10915","77033","0","0"
"11/18/15","364997","400947","67979","702","10915","77033","0","0"
"11/19/15","364997","400947","67979","702","10915","77033","0","0"
"11/20/15","364997","400947","67979","702","10915","77033","0","0"
"11/23/15","364997","400947","67979","702","10915","77033","0","0"
"11/24/15","364997","400947","67979","702","10915","77033","0","0"
"11/25/15","364997","400947","67979","702","10915","77033","0","0"
"11/26/15","364997","400947","67979","702","10915","77033","0","0"
"11/27/15","364997","400947","67979","702","10915","77033","0","0"
"11/30/15","364997","400947","67979","702","10915","77033","0","0"
"12/01/15","363054","400947","66970","659","10915","76569","0","0"
"12/02/15","363054","400947","66970","659","10915","76569","0","0"
"12/03/15","363054","400947","66970","659","10915","76569","0","0"
"12/04/15","363054","400947","66970","659","10915","76569","0","0"
"12/07/15","363054","400947","66970","659","10915","76569","0","0"
"12/08/15","363054","400947","66970","659","10915","76569","0","0"
"12/09/15","363054","400947","66970","659","10915","76569","0","0"
"12/10/15","363054","400947","66970","659","10915","76569","0","0"
"12/11/15","363054","400947","66970","659","10915","76569","0","0"
"12/14/15","363054","400947","66970","659","10915","76569","0","0"
"12/15/15","363054","400947","66970","659","10915","76569","0","0"
"12/16/15","363054","400947","66970","659","10915","76569","0","0"
"12/17/15","363054","400947","66970","659","10915","76569","0","0"
"12/18/15","363054","400947","66970","659","10915","76569","0","0"
"12/21/15","363054","400947","66970","659","10915","76569","0","0"
"12/22/15","363054","400947","66970","659","10915","76569","0","0"
"12/23/15","363054","400947","66970","659","10915","76569","0","0"
"12/24/15","363054","400947","66970","659","10915","76569","0","0"
"12/25/15","363054","400947","66970","659","10915","76569","0","0"
"12/28/15","363054","400947","66970","659","10915","76569","0","0"
"12/29/15","363054","400947","66970","659","10915","76569","0","0"
"12/30/15","363054","400947","66970","659","10915","76569","0","0"
"12/31/15","363054","400947","66970","659","10915","76569","0","0"
"01/01/16","363054","400903","66871","609","10915","76569","0","38951"
"01/04/16","363054","400903","66871","609","10915","76569","0","38951"
"01/05/16","363054","400903","66871","609","10915","76569","0","38951"
"01/06/16","363054","400903","66871","609","10915","76569","0","38951"
"01/07/16","363054","400903","66871","609","10915","76569","0","38951"
"01/08/16","363054","400903","66871","609","10915","76569","0","38951"
"01/11/16","363054","400903","66871","609","10915","76569","0","38951"
"01/12/16","363054","400903","66871","609","10915","76569","0","38951"
"01/13/16","363054","400903","66871","609","10915","76569","0","38951"
"01/14/16","363054","400903","66871","609","10915","76569","0","38951"
"01/15/16","363054","400903","66871","609","10915","76569","0","38951"
"01/18/16","363054","400903","66871","609","10915","76569","0","38951"
"01/19/16","363054","400903","66871","609","10915","76569","0","38951"
"01/20/16","363054","400903","66871","609","10915","76569","0","38951"
"01/21/16","363054","400903","66871","609","10915","76569","0","38951"
"01/22/16","363054","400903","66871","609","10915","76569","0","38951"
"01/25/16","363054","400903","66871","609","10915","76569","0","38951"
"01/26/16","363054","400903","66871","609","10915","76569","0","38951"
