"","D:2TP(P)","D:2TP(PA)","D:2TP(PB)","BATS(P)","BATS(EPS)","BATS(PA)","BATS(PB)","ID:GUD(P)","ID:GUD(EPS)","ID:GUD(PA)","ID:GUD(PB)","@IMBBY(P)","@IMBBY(EPS)","U:VGR(P)","U:VGR(EPS)","U:VGR(PA)","U:VGR(PB)","U:STZ(P)","U:STZ(EPS)","U:STZ(PA)","U:STZ(PB)","U:TPB(P)","U:TPB(EPS)","U:TPB(PA)","U:TPB(PB)","U:RLX(P)","U:RLX(EPS)","U:RLX(PA)","U:RLX(PB)","U:PM(P)","U:PM(EPS)","U:PM(PA)","U:PM(PB)"
"10/28/15",0.53,0.68,0.57,51.13,2.57,51.13,51.13,3.2,0.19,3.21,3.2,53.35,3.21,20.32,0.46,20.32,20.31,135.61,4.33,135.58,135.56,0,0,0,0,0,0,0,0,89.4,4.65,89.39,89.37
"10/29/15",0.57,0.65,0.57,51.1,2.57,51.1,51.08,3.05,0.19,3.05,3.05,53.76,3.21,20.21,0.46,20.22,20.21,135.11,4.33,135.09,135.06,0,0,0,0,0,0,0,0,89.26,4.65,89.24,89.23
"10/30/15",0.57,0.69,0.47,50.69,2.57,50.69,50.69,3.05,0.2,3.05,3.05,53.88,3.21,19.95,0.46,19.93,19.93,134.8,4.33,134.78,134.76,0,0,0,0,0,0,0,0,88.4,4.65,88.42,88.41
"11/02/15",0.6,0.59,0.48,50.17,2.57,50.18,50.17,3.09,0.2,3.09,3.08,53.95,3.21,19.86,0.46,19.88,19.87,135.08,4.33,135.07,135.04,0,0,0,0,0,0,0,0,88.81,4.65,88.81,88.8
"11/03/15",0.5,0.61,0.47,50.46,2.57,50.46,50.46,3.18,0.2,3.19,3.18,53.9,2.73,19.07,0.46,19.08,19.07,134.41,4.33,134.46,134.42,0,0,0,0,0,0,0,0,88.34,4.65,88.32,88.31
"11/04/15",0.47,0.62,0.47,50.66,2.57,50.66,50.64,3.43,0.2,3.43,3.41,53.88,2.73,19.14,0.46,19.13,19.12,133.2,4.33,133.26,133.24,0,0,0,0,0,0,0,0,88.07,4.65,88.11,88.1
"11/05/15",0.47,0.66,0.5,50.7,2.57,50.71,50.7,3.41,0.2,3.41,3.4,53.4,2.73,19.49,0.43,19.51,19.5,133.26,4.33,133.26,133.23,0,0,0,0,0,0,0,0,88.16,4.65,88.19,88.18
"11/06/15",0.47,0.66,0.46,50.04,2.57,50.05,50.04,3.42,0.2,3.42,3.41,52.82,2.73,19.53,0.43,19.54,19.53,132.11,4.33,132.06,132.04,0,0,0,0,0,0,0,0,86.37,4.65,86.36,86.35
"11/09/15",0.47,0.61,0.46,49.56,2.57,49.56,49.54,3.37,0.2,3.37,3.37,52.27,2.73,19.53,0.43,19.54,19.53,132.27,4.33,132.25,132.22,0,0,0,0,0,0,0,0,85.25,4.65,85.26,85.25
"11/10/15",0.44,0.62,0.42,49.64,2.57,49.64,49.64,3.29,0.2,3.3,3.29,52.38,2.73,19.7,0.43,19.69,19.68,134.78,4.33,134.8,134.79,0,0,0,0,0,0,0,0,84.96,4.65,84.96,84.95
"11/11/15",0.53,0.62,0.53,49.71,2.57,49.71,49.7,3.34,0.2,3.37,3.34,52.92,2.73,19.86,0.43,19.88,19.86,134.98,4.33,135.01,134.99,0,0,0,0,0,0,0,0,85.05,4.65,85.06,85.05
"11/12/15",0.53,0.62,0.4,48.92,2.57,48.93,48.92,3.48,0.2,3.48,3.48,52.55,2.73,19.65,0.43,19.65,19.65,133.38,4.33,133.4,133.38,0,0,0,0,0,0,0,0,84.02,4.65,84.03,84.02
"11/13/15",0.4,0.5,0.4,48.67,2.57,48.67,48.65,3.37,0.2,3.41,3.37,52.26,2.73,19.66,0.43,19.68,19.66,132.2,4.33,132.24,132.22,0,0,0,0,0,0,0,0,83.4,4.65,83.42,83.41
"11/16/15",0.4,0.5,0.4,49.14,2.57,49.14,49.13,3.46,0.2,3.46,3.45,55.12,2.73,19.82,0.43,19.84,19.82,135.26,4.33,135.26,135.21,0,0,0,0,0,0,0,0,84.35,4.65,84.35,84.33
"11/17/15",0.31,0.4,0.31,50.07,2.57,50.08,50.07,3.63,0.2,3.64,3.63,54.6,2.73,19.85,0.43,19.84,19.84,138.11,4.33,138.15,138.14,0,0,0,0,0,0,0,0,83.84,4.65,83.86,83.85
"11/18/15",0.27,0.36,0.27,50.02,2.57,50.03,50.02,3.52,0.2,3.59,3.52,53.99,2.73,20.03,0.43,20.03,20.02,138.29,4.33,138.28,138.27,0,0,0,0,0,0,0,0,85.43,4.65,85.43,85.42
"11/19/15",0.3,0.57,0.33,50.71,2.57,50.71,50.71,3.5,0.2,3.51,3.5,53.27,2.73,20.16,0.43,20.16,20.16,137.46,4.33,137.44,137.41,0,0,0,0,0,0,0,0,86.25,4.65,86.28,86.27
"11/20/15",0.32,0.4,0.32,50.83,2.57,50.84,50.83,3.64,0.2,3.64,3.63,53.63,2.73,20.34,0.43,20.33,20.32,137.62,4.33,137.64,137.62,0,0,0,0,0,0,0,0,85.99,4.65,85.99,85.98
"11/23/15",0.35,0.37,0.3,50.82,2.57,50.82,50.79,3.51,0.2,3.53,3.51,53.76,2.73,20.45,0.43,20.44,20.44,142.08,4.33,142.11,142.09,0,0,0,0,0,0,0,0,86.59,4.65,86.61,86.6
"11/24/15",0.28,0.37,0.28,50.57,2.57,50.57,50.56,3.51,0.2,3.51,3.5,53.6,2.73,20.61,0.43,20.61,20.6,141.34,4.33,141.37,141.35,0,0,0,0,0,0,0,0,86.9,4.65,86.92,86.91
"11/25/15",0.3,0.4,0.3,50.87,2.57,50.87,50.86,3.58,0.2,3.58,3.57,53.94,2.73,20.62,0.43,20.63,20.62,143.19,4.33,143.21,143.2,0,0,0,0,0,0,0,0,87.17,4.65,87.18,87.17
"11/26/15",0.28,0.6,0.37,50.9,2.57,50.9,50.89,3.66,0.2,3.66,3.66,53.94,2.73,20.62,0.43,20.62,20.61,143.19,4.33,145.04,145.02,0,0,0,0,0,0,0,0,87.17,4.65,87.43,87.41
"11/27/15",0.36,0.58,0.36,51.21,2.57,51.22,51.21,3.55,0.2,3.56,3.55,54.48,2.73,20.7,0.43,20.7,20.69,143.79,4.33,143.87,143.83,0,0,0,0,0,0,0,0,87.42,4.65,87.48,87.45
"11/30/15",0.36,0.57,0.35,50.81,2.57,50.81,50.8,3.47,0.2,3.47,3.46,53.92,2.73,20.82,0.43,20.82,20.81,140.26,4.33,140.7,140.64,0,0,0,0,0,0,0,0,87.39,4.65,87.4,87.39
"12/01/15",0.35,0.5,0.36,51.05,2.57,51.05,51.04,3.62,0.2,3.62,3.59,54.65,2.73,20.8,0.43,20.8,20.79,142.85,4.33,142.75,142.73,0,0,0,0,0,0,0,0,87.78,4.65,87.76,87.75
"12/02/15",0.42,0.5,0.37,51.11,2.57,51.11,51.09,3.61,0.2,3.61,3.61,53.93,2.73,20.9,0.43,20.91,20.9,141.84,4.33,141.81,141.79,0,0,0,0,0,0,0,0,87.3,4.65,87.3,87.29
"12/03/15",0.37,0.48,0.35,50.12,2.57,50.12,50.12,3.66,0.2,3.66,3.65,54.2,2.73,20.82,0.43,20.82,20.81,140.5,4.33,140.52,140.5,0,0,0,0,0,0,0,0,87.34,4.65,87.36,87.34
"12/04/15",0.35,0.46,0.35,49.66,2.57,49.66,49.66,3.64,0.2,3.64,3.59,53.96,2.73,20.92,0.43,20.94,20.92,144.67,4.33,144.65,144.63,0,0,0,0,0,0,0,0,89.7,4.65,89.7,89.68
"12/07/15",0.29,0.31,0.2,50.38,2.57,50.38,50.38,3.6,0.2,3.62,3.6,53.7,2.73,20.45,0.43,20.48,20.46,141.8,4.33,141.82,141.8,0,0,0,0,0,0,0,0,88.79,4.65,88.8,88.78
"12/08/15",0.18,0.28,0.17,49.91,2.57,49.91,49.9,3.64,0.2,3.68,3.64,52.69,2.73,20.44,0.43,20.46,20.45,142.99,4.33,143.01,142.99,0,0,0,0,0,0,0,0,88.77,4.65,88.77,88.76
"12/09/15",0.21,0.28,0.17,49.1,2.57,49.1,49.1,3.64,0.2,3.71,3.66,52.54,2.73,20.09,0.43,20.09,20.08,140.18,4.33,140.18,140.16,0,0,0,0,0,0,0,0,88.02,4.65,88.04,88.03
"12/10/15",0.18,0.28,0.17,48.52,2.57,48.52,48.51,3.69,0.2,3.69,3.66,51.98,2.73,19.52,0.43,19.54,19.52,139.98,4.33,139.96,139.92,0,0,0,0,0,0,0,0,87.73,4.65,87.72,87.68
"12/11/15",0.17,0.29,0.18,47.27,2.57,47.28,47.27,3.61,0.2,3.61,3.61,51.83,2.73,18.99,0.43,19,18.99,138.3,4.33,138.3,138.27,0,0,0,0,0,0,0,0,86.32,4.65,86.31,86.3
"12/14/15",0.18,0.29,0.17,47.15,2.57,47.16,47.15,3.44,0.2,3.48,3.44,51.76,2.73,19.05,0.43,19.07,19.05,137.69,4.33,137.67,137.65,0,0,0,0,0,0,0,0,87.16,4.65,87.18,87.17
"12/15/15",0.16,0.29,0.17,48.41,2.57,48.41,48.4,3.5,0.2,3.5,3.46,52.5,2.73,19.18,0.43,19.18,19.17,139.28,4.33,139.28,139.23,0,0,0,0,0,0,0,0,87.84,4.65,87.82,87.81
"12/16/15",0.17,0.29,0.17,48.85,2.57,48.85,48.84,3.61,0.2,3.61,3.61,53.09,2.73,19.39,0.43,19.4,19.39,142.96,4.33,142.94,142.93,0,0,0,0,0,0,0,0,90.15,4.65,90.15,90.14
"12/17/15",0.17,0.25,0.18,49.03,2.57,49.03,49.01,3.66,0.2,3.67,3.66,52.26,2.73,19.13,0.43,19.15,19.14,139.89,4.33,139.93,139.92,0,0,0,0,0,0,0,0,89.08,4.65,89.1,89.09
"12/18/15",0.15,0.28,0.17,48.16,2.57,48.17,48.16,3.68,0.2,3.68,3.68,51.45,2.73,18.86,0.43,18.87,18.86,138.57,4.33,138.6,138.58,0,0,0,0,0,0,0,0,86.92,4.65,86.96,86.95
"12/21/15",0.16,0.3,0.21,48.04,2.57,48.04,48.03,3.68,0.2,3.69,3.68,51.52,2.73,19.19,0.43,19.19,19.19,141.4,4.33,141.4,141.38,0,0,0,0,0,0,0,0,86.62,4.65,86.63,86.62
"12/22/15",0.18,0.3,0.16,48.2,2.57,48.2,48.2,3.81,0.2,3.81,3.79,51.9,2.73,19.38,0.43,19.4,19.38,142.63,4.33,142.63,142.61,0,0,0,0,0,0,0,0,87.66,4.65,87.66,87.65
"12/23/15",0.18,0.28,0.16,49.2,2.57,49.2,49.2,3.84,0.2,3.85,3.84,52.84,2.73,19.77,0.43,19.79,19.77,143.69,4.33,143.68,143.65,0,0,0,0,0,0,0,0,89.08,4.65,89.09,89.08
"12/24/15",0.18,0.36,0.17,49.66,2.57,49.66,49.43,3.84,0.2,3.86,3.84,53,2.73,19.63,0.43,19.63,19.6,143.03,4.33,143.02,142.97,0,0,0,0,0,0,0,0,88.86,4.65,88.87,88.85
