"","@IMBBY(FFNOSH)","D:2TP(FFNOSH)","BATS(FFNOSH)","ID:GUD(FFNOSH)","U:VGR(FFNOSH)","U:STZ(FFNOSH)","U:TPB(FFNOSH)","U:RLX(FFNOSH)","U:PM(FFNOSH)"
"10/28/15","958711","10549","1731325","470499","103761","163706","0","0","1463623"
"10/29/15","958711","10549","1731325","470499","103761","163706","0","0","1463623"
"10/30/15","958711","10549","1731325","470499","103761","163706","0","0","1463623"
"11/02/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/03/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/04/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/05/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/06/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/09/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/10/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/11/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/12/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/13/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/16/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/17/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/18/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/19/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/20/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/23/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/24/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/25/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/26/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/27/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"11/30/15","958711","10549","1731325","470499","103673","163706","0","0","1463623"
"12/01/15","958711","10549","1731330","470499","103673","165948","0","0","1381028"
"12/02/15","958711","10549","1731330","470499","103673","165948","0","0","1381028"
"12/03/15","958711","10549","1731330","470499","103673","165948","0","0","1381028"
"12/04/15","958711","10549","1731330","470499","103673","165948","0","0","1381028"
"12/07/15","958711","10549","1731330","470499","103673","165948","0","0","1381028"
"12/08/15","958711","10549","1731330","470499","103673","165948","0","0","1381028"
"12/09/15","958711","10549","1731330","470499","103673","165948","0","0","1381028"
"12/10/15","958711","10549","1731330","470499","103673","165948","0","0","1381028"
"12/11/15","958711","10549","1731330","470499","103673","165948","0","0","1381028"
"12/14/15","958711","10549","1731330","470499","103673","165948","0","0","1381028"
