"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P.","U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P.","D.2TP.P.","BATS.P.","ID.GUD.P.","X.IMBBY.P.","U.VGR.P.","U.TPB.P.","U.RLX.P.","U.PM.P.","A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P."
5.25,124.08,96.12,122.24,4.57,24.56,0,1.76,86.44,41.48,221.26,26.8,63.33,35.26,8.95,13.64,0,5.13,11.99,135.61,43.02,87.97,245.95,21.76,48.44,67.3,33.34,9.31,20,0,0,0.53,51.13,3.2,53.35,20.32,0,0,89.4,1.61,64.18,14.28,75.42,5.81,2.86,0.65,90.32,190.5,58.58,112.71,221.04,23.48,28.1,28.09,69.29,13.92,150.78,58.61,0.8,89.21,98.61
5.19,123.91,95.58,124.32,4.48,24.77,0,1.71,85.43,41.28,221.84,26.8,65.46,35.32,8.99,13.61,0,5.02,11.97,135.11,42.69,87.49,244.94,22.8,48.85,69.9,33.42,9.34,19.98,0,0,0.57,51.1,3.05,53.76,20.21,0,0,89.26,1.59,65.04,14.06,76,5.77,2.89,0.65,88.08,190.07,58.42,113.82,218.25,23.39,29.09,28.04,68.95,13.97,149.97,57.89,0.8,96,98
5.18,125.35,95.85,123.62,4.49,24.67,0,1.73,86.05,41.52,222.74,26.8,65.12,35.3,8.97,13.38,0,5.04,12.05,134.8,42.47,88.1,219.59,23.19,49.51,69.95,33.66,9.35,19.99,0,0,0.57,50.69,3.05,53.88,19.95,0,0,88.4,1.67,65.71,13.72,76.03,5.78,2.92,0.65,88.11,187.75,58.04,119.94,219.83,23.41,28.9,28.3,69.56,13.72,148.58,56.94,0.8,97.04,98.32
5.14,125.3,94.74,122.41,4.49,24.55,0,1.7,85.74,41.01,221.38,25.2,66.03,34.89,9.27,13.72,0,5.04,11.92,135.08,42.75,88.71,224.8,23.78,50.61,72.19,33.95,9.35,20.41,0,0,0.6,50.17,3.09,53.95,19.86,0,0,88.81,1.62,67.16,13.77,76.47,5.83,2.94,0.69,89,189.54,58.62,121.08,220.59,23.88,29.43,28.27,69.9,13.76,148.72,55.7,0.8,98.75,99.18
5.19,125.18,94.9,123.33,4.52,24.64,0,1.7,85.89,41.06,218.41,25.07,67.67,34.95,9.8,13.59,0,5.18,12.45,134.41,42.64,87.9,217.94,24.14,50.91,74.26,34.63,9.33,20.65,0,0,0.5,50.46,3.18,53.9,19.07,0,0,88.34,1.68,66.7,13.6,75.96,5.83,2.96,0.68,89.32,186.64,58.98,121.63,218.9,20.91,29.83,28.66,70.55,13.79,147.17,56.36,0.8,99.32,98.68
5.33,126.28,95.15,123.97,4.47,24.88,0,1.73,87.75,41.32,223.9,26.54,71.15,36.08,10.02,14.21,0,5.18,12.56,133.2,42.74,87.42,215.84,24.03,49.69,72.87,34.04,9.44,20.67,0,0,0.47,50.66,3.43,53.88,19.14,0,0,88.07,1.67,66.64,13.82,76.65,5.88,3.02,0.69,89.6,186.17,59.18,120.37,218.83,20.58,29.57,28.62,70.08,13.55,147.28,54.54,0.8,100.58,98.41
5.22,127.08,96.87,125.58,4.55,24.92,0,1.72,87.52,41.21,225.55,26.89,70.93,36.18,9.85,13.6,0,5.14,12.61,133.26,42.75,87.82,211.27,23.91,49.55,72.98,34.35,9.75,20.89,0,0,0.47,50.7,3.41,53.4,19.49,0,0,88.16,1.65,68.75,13.7,76.71,5.75,2.98,0.68,90.84,186.42,59.45,130.13,218.6,20.16,29.73,29.22,70.24,13.34,147.07,49.14,0.8,100.32,98.63
5.33,128.99,96.27,123.97,4.53,24.73,0,1.68,86.05,40.46,227.49,27,71.58,36.68,9.84,13.67,0,5.01,12.59,132.11,41.78,87.57,210,23.84,49.78,73.99,34.01,9.63,21.12,0,0,0.47,50.04,3.42,52.82,19.53,0,0,86.37,1.62,71.87,14.15,77.48,5.84,2.97,0.67,89.83,184.01,59.45,129,216.63,20.19,30.01,29.12,70.1,13.96,145.92,52.87,0.8,100.59,99.01
5.22,127.95,94.76,122.35,4.41,24.5,0,1.64,85.27,41.32,230,27.9,72.51,36.77,10.26,13.87,0,4.94,12.55,132.27,41.54,87.36,213.83,23.32,46.61,68.15,33.2,9.65,20.57,0,0,0.47,49.56,3.37,52.27,19.53,0,0,85.25,1.66,70.36,13.93,76.7,5.8,2.97,0.68,89.54,181.66,58.78,127.58,214.7,19.24,29.69,29.06,68.72,13.56,144.29,50.77,0.8,99.52,97.78
5.24,128.24,96,123.1,4.58,24.59,0,1.61,85.82,40.98,231.61,27.55,71.12,36.45,9.97,13.62,0,4.93,12.07,134.78,41.64,88.31,208.51,23.43,46.93,67.25,32.73,9.67,20.83,0,0,0.44,49.64,3.29,52.38,19.7,0,0,84.96,1.62,68.04,14.42,77.06,5.75,2.86,0.68,90.18,181.49,58.2,128.16,214.07,18.81,29.97,29.35,68.58,13.76,143.94,50.93,0.8,101.5,97.49
5.3,131,97.69,124.32,4.61,24.95,0,1.64,91.16,41.48,229.29,27.25,70.27,36.32,10.11,13.7,0,5.04,12.18,134.98,42.08,92.19,209.66,23.3,46.49,65.8,32.83,9.93,20.68,0,0,0.53,49.71,3.34,52.92,19.86,0,0,85.05,1.65,66.17,14.5,77.66,5.76,2.84,0.68,92.76,181.7,57.96,130.58,215.11,18.55,29.65,29.71,68.52,13.53,143.31,49.74,0.8,100.13,98.31
5.33,129.62,97.28,122.99,4.61,24.73,0,1.69,93.4,41.43,229.14,26.84,69.68,36.19,10.11,13.7,0,4.99,12,133.38,41.59,92.12,205.77,22.8,46.03,64.7,32.77,10.02,20.34,0,0,0.53,48.92,3.48,52.55,19.65,0,0,84.02,1.68,63.15,14.06,76.25,5.98,2.28,0.69,95.06,180.31,58.52,127.99,213.58,18.11,29.33,28.46,67.5,13.53,141.85,49.54,0.8,98.06,97.08
5.34,129.45,94.79,122.18,4.6,24.28,0,1.69,91.16,42.48,224.04,26.82,67.59,35.62,10.01,14.03,0,5.05,11.93,132.2,40.97,93.81,201.9,22.51,45.69,62.2,32.33,9.69,19.9,0,0,0.4,48.67,3.37,52.26,19.66,0,0,83.4,1.67,61.15,14.07,75.58,5.96,2.18,0.7,92.24,178.82,56.91,127.49,213.16,17.4,29.69,28.79,67.48,13.16,140.6,48.95,0.8,95.98,96.23
5.31,131.46,95.42,121.2,4.66,24.26,0,1.7,91.23,42.25,222.65,26.7,67.61,35.4,9.82,13.75,0,5.03,12.11,135.26,41.77,93.88,209.57,22.63,46.02,63.49,32.14,9.9,19.58,0,0,0.4,49.14,3.46,55.12,19.82,0,0,84.35,1.65,65.64,14.45,78.07,6.1,2.25,0.76,94.2,186.61,57.7,131.45,220.67,17.38,30.35,29.22,69.28,13.43,143.28,49.95,0.8,97.02,98.02
5.52,135.9,98.03,124.66,4.68,24.8,0,1.73,93.09,42.9,223.26,26.99,68.11,35.34,10.05,14.17,0,5.05,12.01,138.11,42.13,95.13,210.41,22.25,45.35,61.56,32.39,10.05,19.98,0,0,0.31,50.07,3.63,54.6,19.85,0,0,83.84,1.74,66.9,15.23,80.85,6.22,2.36,0.74,96.49,186.14,57.54,131.75,222.39,16.76,30.64,28.9,69.28,13.3,142.87,49.65,0.8,96.93,97.38
5.43,135.79,97.75,123.97,4.63,24.77,0,1.73,92.39,42.36,223.57,27.1,67.42,35.06,10.06,13.73,0,5.06,12.08,138.29,42.46,94.09,213.4,22.72,45.99,61.31,32.29,10.18,20.57,0,0,0.27,50.02,3.52,53.99,20.03,0,0,85.43,1.71,66.93,15.21,79.61,6.26,2.31,0.73,97.93,188.14,57.63,131.43,223.22,18.33,31.18,29.37,70.16,13.59,143.71,50.47,0.8,97.87,99.07
5.55,134.17,98.29,124.37,4.77,24.99,0,1.74,94.17,41.83,223.96,27.37,67.68,35.18,10.23,13.81,0,5.11,12.17,137.46,42.61,93.88,212.85,22.53,46.07,61.78,32.4,10.3,20.37,0,0,0.3,50.71,3.5,53.27,20.16,0,0,86.25,1.68,67.67,15.26,79.07,6.36,2.3,0.73,95.37,188.26,57.98,134.08,224,17.82,31.04,29.31,70.59,13.58,145.2,50.15,0.8,97.58,100
5.56,136.19,98.18,124.43,4.77,25.32,0,1.76,95.02,42.58,222.59,27.08,67.36,35.15,10.25,13.96,0,5.11,12.35,137.62,42.14,92.5,212.36,22.46,45.08,59.56,32.47,10.3,20.17,0,0,0.32,50.83,3.64,53.63,20.34,0,0,85.99,1.78,67.6,15.64,79.97,6.46,2.35,0.73,96.55,189.48,57.93,134.52,226.06,18.16,31.52,29.41,71.35,13.8,145.5,51.36,0.8,98.79,100.56
5.61,137.29,98.17,123.62,4.75,25.13,0,1.76,92.94,43.43,221.45,26.51,67.44,35.03,9.76,13.74,0,5.04,12.02,142.08,42.23,92.25,213.7,22.67,45.19,60.23,32.02,10.19,19.95,0,0,0.35,50.82,3.51,53.76,20.45,0,0,86.59,1.78,68.56,15.49,80.4,6.53,2.42,0.75,97.21,187.83,57.85,133.67,226.03,18.24,31.69,29.81,70.96,14.03,144.59,52.05,0.8,98.92,99.57
5.57,138.38,95.74,122.35,4.65,24.88,0,1.77,91.46,42.59,220.48,26.33,66.65,34.91,9.61,13.63,0,5,11.95,141.34,41.97,92.11,215.39,22.96,44.9,62.95,32.11,10.22,20.17,0,0,0.28,50.57,3.51,53.6,20.61,0,0,86.9,1.73,67.31,15.13,79.84,6.57,2.5,0.74,99.05,188,57.42,133.85,226.43,19.31,32.32,30.32,71.34,14.32,145.53,52.61,0.8,99.69,98.22
5.63,140.34,97.9,125.06,4.8,25.29,0,1.76,91.16,42.59,221.82,26.38,67.18,35.24,9.61,13.63,0,4.91,12.02,143.19,42.03,92.5,212.92,22.92,44.82,62.25,32.34,10.36,20.22,0,0,0.3,50.87,3.58,53.94,20.62,0,0,87.17,1.72,69.19,15.76,80.72,6.67,2.58,0.77,100.46,187.77,57.37,132.3,225.8,19.27,32.46,30.11,70.74,14.25,145.18,53.27,0.8,99.64,98.66
5.62,142.13,97.84,123.97,4.75,25.29,0,1.76,91.46,45.89,221.67,26.21,66.14,35.08,9.17,13.68,0,4.97,12.13,143.19,42.03,92.5,212.92,22.92,44.82,62.25,32.34,10.36,20.22,0,0,0.28,50.9,3.66,53.94,20.62,0,0,87.17,1.73,69.23,15.75,80.72,6.82,2.56,0.75,98.68,187.77,57.37,132.3,225.8,19.27,32.46,30.11,70.74,14.25,145.18,53.27,0.8,99.64,98.66
5.55,141.44,97.99,124.32,4.75,25.28,0,1.72,91,44.18,216.36,25.27,65.09,33.24,9.08,13.91,0,4.91,12.02,143.79,42.6,93.37,218.49,22.77,44.32,61.05,32.21,10.4,20.35,0,0,0.36,51.21,3.55,54.48,20.7,0,0,87.42,1.73,69.19,15.81,80.79,6.82,2.58,0.75,98.76,188.41,57.09,132.77,225.91,18.84,33.24,30.32,70.69,14.32,145.56,53.28,0.8,100.16,99.07
5.54,140.63,97.05,124.2,4.79,25.09,0,1.77,92.94,45.1,223.21,25.03,65.62,32.94,8.89,13.52,0,4.92,11.53,140.26,41.02,92.03,213.62,22.74,44.06,62.77,32.17,10.5,19.59,0,0,0.36,50.81,3.47,53.92,20.82,0,0,87.39,1.78,69.02,15.81,81.27,6.78,2.58,0.77,98.3,186.36,56.65,130.92,219.16,18.7,33.49,30.45,70.41,14.09,146.46,52.1,0.8,100.26,98.96
5.69,139.36,97.13,124.55,4.82,25.12,0,1.77,92.78,44.88,222.67,25.82,67.7,33.35,8.93,13.95,0,4.95,11.44,142.85,41.56,93.17,214.72,23.28,44.8,66.81,32.81,10.6,19.7,0,0,0.35,51.05,3.62,54.65,20.8,0,0,87.78,1.76,68.72,15.63,80.84,6.77,2.57,0.78,97.53,187.31,57.04,133.75,220.2,18.39,33.6,30.8,71.09,14.15,147.6,51.92,0.8,103.31,99.15
5.79,140.06,97.7,125.53,4.85,25.54,0,1.79,93.24,44.93,230.78,26.75,70.3,33.9,8.88,13.75,0,4.87,11.55,141.84,40.81,92.75,214.43,23.43,45.18,68.5,32.65,10.6,20.07,0,0,0.42,51.11,3.61,53.93,20.9,0,0,87.3,1.77,69.19,15.52,80.37,6.74,2.56,0.77,98.79,185.69,56.18,131.21,218.94,18.03,33.01,31.06,70.49,14.08,145.35,52.55,0.8,103.1,98.15
5.76,135.04,93.47,120.74,4.61,24.96,0,1.8,92.24,43.72,229.34,26.67,69.69,33.88,8.81,13.52,0,4.95,11.37,140.5,40.61,91.96,207.53,22.39,43.54,65.08,32.45,10.64,19.53,0,0,0.37,50.12,3.66,54.2,20.82,0,0,87.34,1.82,67.76,15.22,80.59,6.69,2.55,0.75,97.21,183.06,55.86,130.1,215.46,17.84,32.39,30.96,69.46,14.1,141.96,52.96,0.8,100.47,97.49
5.83,134.23,92.43,120.05,4.6,24.84,0,1.76,92.08,43.38,224.25,26.35,69.15,33.34,8.94,13.31,0,4.9,11.4,144.67,41.88,95.14,212.85,22.63,43.69,64.6,32.48,10.66,19.69,0,0,0.35,49.66,3.64,53.96,20.92,0,0,89.7,1.73,68.15,15.46,80.65,6.68,2.53,0.76,98.94,187.95,56.46,133.08,218.39,17.77,32.8,31.21,70.65,14.59,143.84,54.32,0.8,101.64,99.53
5.85,137.12,94.42,121.37,4.72,24.96,0,1.77,92.01,43.32,223.41,26.61,68.48,33.67,9.11,13.14,0,4.91,11.48,141.8,41.25,94.75,214,22.32,43.12,64.6,32.29,10.52,19.23,0,0,0.29,50.38,3.6,53.7,20.45,0,0,88.79,1.74,70.86,15.71,81.42,6.68,2.6,0.76,97.93,187.99,56.57,132.53,219.13,17.27,32.59,30.81,70.07,15.7,143.09,57.5,0.8,99.35,99.18
5.79,135.21,93.16,120.16,4.65,24.6,0,1.76,89.76,43.18,220.74,25.88,66.96,32.94,8.89,13.21,0,4.79,11.48,142.99,41.21,94.59,220.41,21.91,42.55,61.8,31.64,10.6,18.91,0,0,0.18,49.91,3.64,52.69,20.44,0,0,88.77,1.68,70.62,15.28,80.69,6.59,2.51,0.75,95.92,188,55.58,130.58,218.81,16.93,32.13,30.76,68.65,16.43,142,57.92,0.8,103.03,97.73
5.77,134.17,92.96,118.2,4.56,24.33,0,1.74,90.61,42.14,223.37,25.9,67.07,32.43,8.51,12.74,0,4.88,11.12,140.18,41.06,93.72,214.6,22.06,43.7,69.91,31.75,10.57,18.9,0,0,0.21,49.1,3.64,52.54,20.09,0,0,88.02,1.67,70.68,15.18,79.57,6.59,2.46,0.75,95.35,186.55,55.54,128.66,217.54,16.63,31.67,30.56,67.64,16.62,140.17,56.58,0.75,97.7,97
5.77,133.83,92.8,118.72,4.56,24.06,0,1.74,89.99,41.79,221.8,25.54,67.2,32.31,8.87,12.7,0,4.84,11.04,139.98,40.19,93.39,217.71,22.06,42.8,66.46,31.8,10.51,18.66,0,0,0.18,48.52,3.69,51.98,19.52,0,0,87.73,1.24,70.91,15.2,79.61,6.55,2.41,0.73,92.9,187.46,55.37,128.48,218.88,17.73,31.84,31.09,68.29,17.67,140,59.66,0.75,97.51,96.88
5.85,129.62,91.16,117.63,4.53,23.73,0,1.73,88.52,41.09,220.19,25.62,67.59,32.55,8.79,12.74,0,4.83,11.03,138.3,40.02,92.68,213.62,21.05,41.26,63.13,30.9,10.25,18,0,0,0.17,47.27,3.61,51.83,18.99,0,0,86.32,1.19,69.24,14.88,78.28,6.44,2.35,0.71,92.19,186.02,55.03,126.58,217.2,17.03,31.09,30.97,66.65,18.01,137.84,59.29,0.75,93.2,93.52
5.7,127.31,89.34,115.84,4.41,23.59,0,1.72,87.75,41.43,222.99,25.95,68.55,32.84,8.73,13.05,0,4.77,10.83,137.69,40.4,91.91,206.54,20.81,40.42,62.77,30.79,10.24,16.82,0,0,0.18,47.15,3.44,51.76,19.05,0,0,87.16,1.14,69.82,14.38,77.53,6.35,2.29,0.72,92.7,187.07,54.87,126.41,216.58,16.29,31.06,30.98,66.7,18.26,139.19,59.79,0.75,93.71,94.23
5.77,129.62,91.07,118.15,4.58,23.91,0,1.7,90.38,41.11,223.41,26.17,68.22,32.81,8.64,13.06,0,4.72,10.75,139.28,40.55,93.72,205.49,21.15,41.49,66.04,31.28,10.01,17.21,0,0,0.16,48.41,3.5,52.5,19.18,0,0,87.84,1.14,70.86,14.78,79.74,6.44,2.3,0.74,94.8,187.84,55.01,126.96,214.84,17,30.85,31.48,66.83,16.45,138.04,58.24,0.75,93.98,93.74
5.9,130.43,91.09,119.7,4.64,24.06,0,1.74,93.09,42.71,222.79,25.96,67.14,32.82,8.53,12.85,0,4.79,11.1,142.96,41.31,94.16,207.76,22.08,43.4,68.99,31.91,9.89,18.94,0,0,0.17,48.85,3.61,53.09,19.39,0,0,90.15,1.15,70.92,15.01,80.56,6.47,2.41,0.76,95.6,189.75,56.11,128.57,217.5,16.78,31.36,31.54,67.64,16.86,139.64,59.69,0.75,94.67,99.09
5.97,133.89,91.82,122.18,4.66,24.08,0,1.77,94.1,42.65,224.82,26.6,67.86,33.26,8.52,12.93,0,4.8,11.08,139.89,40.6,93.72,207.35,21.45,41.82,64.27,31.59,9.62,19.1,0,0,0.17,49.03,3.66,52.26,19.13,0,0,89.08,1.18,72.4,15.01,81.82,6.52,2.44,0.79,98.16,188.31,55.37,126.99,215.22,16.98,31,31.05,66.8,16.57,138.16,58.86,0.75,99.15,97.4
6.04,132.33,90.28,120.11,4.62,23.74,0,1.77,93.63,42.62,225.88,27.03,69.78,33.54,8.62,13.16,0,4.7,10.87,138.57,40.11,92.55,205.24,21.17,41.53,63.4,31.55,9.95,18.7,0,0,0.15,48.16,3.68,51.45,18.86,0,0,86.92,1.14,71.31,14.74,79.99,6.47,2.45,0.78,96.61,184.86,54.46,125.45,212.18,16.89,30.39,30.77,65.18,16.39,136.71,59.13,0.75,93.13,96.94
6.03,130.31,88.92,118.43,4.54,23.71,0,1.79,93.17,41.4,236.45,28.84,73.68,35.92,8.73,13.29,0,4.76,10.83,141.4,40.21,92.73,204.34,21.62,42.04,65.76,30.74,9.59,19.39,0,0,0.16,48.04,3.68,51.52,19.19,0,0,86.62,1.08,70.01,14.71,78.94,6.48,2.42,0.8,96.18,189.01,55.21,127.25,215.47,17.93,30.44,30.94,66.41,16.84,138.09,58.96,0.75,93.2,97.68
5.95,129.74,89.36,118.03,4.43,23.71,0,1.87,93.01,41.8,234.37,28.84,71.84,35.27,8.63,13.16,0,4.74,10.89,142.63,40.84,93.14,206.11,21.74,42.93,67.65,30.88,9.73,19.07,0,0,0.18,48.2,3.81,51.9,19.38,0,0,87.66,1.15,70.21,14.5,78.44,6.48,2.4,0.8,95.63,189.37,55.96,127.75,217.58,17.5,30.71,31.5,67.29,17.06,139.94,60.27,0.75,94.57,99.16
5.9,132.56,90.94,120.45,4.56,24.34,0,1.88,94.41,41.79,232.26,28.62,71.08,35.31,8.65,13.17,0,4.81,11.16,143.69,41.27,93.96,203.83,22.5,44.51,68.95,31.36,9.82,19.31,0,0,0.18,49.2,3.84,52.84,19.77,0,0,89.08,1.09,70.39,14.83,78.44,6.55,2.51,0.8,96.21,190,56.8,128.42,217.93,18.03,30.95,31.75,68.64,16.93,139.89,60.6,0.75,94.81,99.92
5.98,132.56,91.54,121.09,4.56,24.38,0,1.87,94.41,41.79,234.11,28.8,70.72,34.95,8.65,13.33,0,4.81,11.06,143.03,40.76,93.98,205.4,22.51,44.36,69.17,31.62,9.85,19.72,0,0,0.18,49.66,3.84,53,19.63,0,0,88.86,1.09,70.39,14.83,79.16,6.53,2.53,0.79,96.61,190.11,56.8,129.45,218.56,17.85,30.76,31.64,69.01,16.89,139.84,60.36,0.75,94.55,99.63
5.98,132.56,91.54,121.09,4.56,24.38,0,1.87,94.41,41.79,233.82,28.25,69.98,35.15,8.65,13.33,0,4.81,11.06,143.03,40.76,93.98,205.4,22.51,44.36,69.17,31.62,9.85,19.72,0,0,0.18,49.66,3.84,53,19.63,0,0,88.86,1.09,70.39,14.83,79.16,6.53,2.53,0.79,97.59,190.11,56.8,129.45,218.56,17.85,30.76,31.64,69.01,16.89,139.84,60.36,0.75,94.55,99.63
5.98,132.16,90.42,119.93,4.53,24.38,0,1.86,94.48,42.33,228.22,27.5,69.27,34.1,8.74,13.53,0,4.79,11.17,143.27,40.78,93.44,203.87,22.63,44.12,68.34,31.1,10.09,19.56,0,0,0.16,49.66,3.83,52.63,19.63,0,0,88.59,1.09,70.06,14.71,78.3,6.53,2.53,0.79,97.9,189.98,56.68,128.29,218.41,17.25,30.57,31.85,68.86,16.86,139.59,60.33,0.75,94.32,99.32
