"A.TWEX.FFNOSH.","B.ABI.FFNOSH.","H.HB.FFNOSH.","F.RCD.FFNOSH.","I.CPR.FFNOSH.","DGE.FFNOSH.","K.BBCA.FFNOSH.","K.CHRE.FFNOSH.","DK.CAB.FFNOSH.","DK.RBR.FFNOSH.","CN.KCM.FFNOSH.","CN.YWU.FFNOSH.","CN.JYB.FFNOSH.","CN.TTB.FFNOSH.","IN.MLC.FFNOSH.","IN.UBB.FFNOSH.","MX.BEC.FFNOSH.","BR.AVS.FFNOSH.","CL.CVZ.FFNOSH.","U.STZ.FFNOSH.","U.BF.B.FFNOSH.","U.TAP.FFNOSH.","U.SAM.FFNOSH.","U.MGM.FFNOSH.","U.LVS.FFNOSH.","X.WYNN.FFNOSH.","X.BJK.FFNOSH.","X.GDEN.FFNOSH.","U.BYD.FFNOSH.","U.BALY.FFNOSH.","X.RRR.FFNOSH.","X.IMBBY.FFNOSH.","D.2TP.FFNOSH.","BATS.FFNOSH.","ID.GUD.FFNOSH.","U.VGR.FFNOSH.","U.TPB.FFNOSH.","U.RLX.FFNOSH.","U.PM.FFNOSH.","A.ASBX.FFNOSH.","D.RHM.FFNOSH.","I.LDO.FFNOSH.","F.CSF.FFNOSH.","BA..FFNOSH.","RR..FFNOSH.","TK.AES.FFNOSH.","IS.ESLT.FFNOSH.","U.NOC.FFNOSH.","U.RTX.FFNOSH.","U.HII.FFNOSH.","U.LMT.FFNOSH.","X.AXON.FFNOSH.","X.MANT.FFNOSH.","U.BWXT.FFNOSH.","U.CW.FFNOSH.","X.SWBI.FFNOSH.","U.GD.FFNOSH.","U.RGR.FFNOSH.","X.POWW.FFNOSH.","U.CACI.FFNOSH.","X.HON.FFNOSH."
656205,814809,215771,182070,569184,2367895,0,686469,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,56061,163706,304907,141380,7794,364744,402490,67968,702,10155,76906,0,0,958711,10549,1731325,470499,103761,0,0,1463623,269080,39599,390558,101976,2815350,1638646,0,20996,182383,887021,40761,278917,42090,19365,84920,37887,47820,258206,14674,101,19291,770691
656205,814809,215771,182070,569184,2367895,0,686469,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,56061,163706,304907,141380,7794,364744,402490,67968,702,10155,76906,0,0,958711,10549,1731325,470499,103761,0,0,1463623,269080,39599,390558,101976,2815350,1638646,0,20996,182383,887021,40761,278917,42090,19365,84920,37887,47820,258206,14674,101,19291,770691
656205,814809,215771,182070,569184,2367895,0,686469,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,56061,163706,304907,141380,7794,364744,402490,67968,702,10155,76906,0,0,958711,10549,1731325,470499,103761,0,0,1463623,269080,39599,390558,101976,2815350,1638646,0,20996,182383,887021,40761,278917,42090,19365,84920,37887,47820,258206,14674,101,19291,770691
656205,814809,215771,182070,569184,2368087,0,686469,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,56061,163706,292048,141380,7794,364997,400947,67979,702,10915,77033,0,0,958711,10549,1731325,470499,103673,0,0,1463623,269080,43559,390558,103537,2815831,1638655,0,20996,182383,887021,40761,278917,42090,19365,84920,37887,47820,258206,14674,101,19291,770691
656205,814809,215771,182070,569184,2368087,0,686469,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,56061,163706,292048,141380,7794,364997,400947,67979,702,10915,77033,0,0,958711,10549,1731325,470499,103673,0,0,1463623,269080,43559,390558,103537,2815831,1638655,0,20996,182383,887021,40761,278917,42090,19365,84920,37887,47820,258206,14674,101,19291,770691
656205,814809,215771,182070,569184,2368087,0,686469,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,56061,163706,292048,141380,7794,364997,400947,67979,702,10915,77033,0,0,958711,10549,1731325,470499,103673,0,0,1463623,269080,43559,390558,103537,2815831,1638655,0,20996,182383,887021,40761,278917,42090,19365,84920,37887,47820,258206,14674,101,19291,770691
656205,814809,215771,182070,569184,2368087,0,686469,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,56061,163706,292048,141380,7794,364997,400947,67979,702,10915,77033,0,0,958711,10549,1731325,470499,103673,0,0,1463623,269080,43559,390558,103537,2815831,1638655,0,20996,182383,887021,40761,278917,42090,19365,84920,37887,47820,258206,14674,101,19291,770691
656205,814809,215771,182070,569184,2368087,0,686469,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,56061,163706,292048,141380,7794,364997,400947,67979,702,10915,77033,0,0,958711,10549,1731325,470499,103673,0,0,1463623,269080,43559,390558,103537,2815831,1638655,0,20996,182383,887021,40761,278917,42090,19365,84920,37887,47820,258206,14674,101,19291,770691
656205,814809,215771,182070,569184,2368087,0,686469,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,56061,163706,292048,141380,7794,364997,400947,67979,702,10915,77033,0,0,958711,10549,1731325,470499,103673,0,0,1463623,269080,43559,390558,103537,2815831,1638655,0,20996,182383,887021,40761,278917,42090,19365,84920,37887,47820,258206,14674,101,19291,770691
656205,814809,215771,182070,569184,2368087,0,686469,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,56061,163706,292048,141380,7794,364997,400947,67979,702,10915,77033,0,0,958711,10549,1731325,470499,103673,0,0,1463623,269080,43559,390558,103537,2815831,1638655,0,20996,182383,887021,40761,278917,42090,19365,84920,37887,47820,258206,14674,101,19291,770691
