"","A:ASBX(P)","A:ASBX(EPS)","A:ASBX(PA)","A:ASBX(PB)","D:RHM(P)","D:RHM(EPS)","D:RHM(PA)","D:RHM(PB)","I:LDO(P)","I:LDO(EPS)","I:LDO(PA)","I:LDO(PB)","F:CSF(P)","F:CSF(EPS)","F:CSF(PA)","F:CSF(PB)","BA.(P)","BA.(EPS)","BA.(PA)","BA.(PB)","IS:ESLT(P)","IS:ESLT(EPS)","IS:ESLT(PA)","IS:ESLT(PB)","RR.(P)","RR.(EPS)","RR.(PA)","RR.(PB)","TK:ASE(P)","TK:ASE(EPS)","TK:ASE(PA)","TK:ASE(PB)","U:NOC(P)","U:NOC(EPS)","U:NOC(PA)","U:NOC(PB)","U:RTX(P)","U:RTX(EPS)","U:RTX(PA)","U:RTX(PB)","U:HII(P)","U:HII(EPS)","U:HII(PA)","U:HII(PB)","U:LMT(P)","U:LMT(EPS)","U:LMT(PA)","U:LMT(PB)","@AXON(P)","@AXON(EPS)","@AXON(PA)","@AXON(PB)","@MANT(P)","@MANT(EPS)","@MANT(PA)","@MANT(PB)","U:BWXT(P)","U:BWXT(EPS)","U:BWXT(PA)","U:BWXT(PB)","U:CW(P)","U:CW(EPS)","U:CW(PA)","U:CW(PB)","@SWBI(P)","@SWBI(EPS)","@SWBI(PA)","@SWBI(PB)","U:GD(P)","U:GD(EPS)","U:GD(PA)","U:GD(PB)","U:RGR(P)","U:RGR(EPS)","U:RGR(PA)","U:RGR(PB)","@POWW(P)","@POWW(EPS)","@POWW(PA)","@POWW(PB)","U:CACI(P)","U:CACI(EPS)","U:CACI(PA)","U:CACI(PB)","@HON(P)","@HON(EPS)","@HON(PA)","@HON(PB)"
"10/28/15",1.61,0.12,1.62,1.57,64.18,1.68,64.58,64.12,14.28,0.23,14.28,14.27,75.42,2.99,75.44,75.42,581.21,49.12,581.34,581.21,413.09,5.25,413.35,413.22,286.42,24.4,286.63,286.42,0.65,0.02,0.65,0.65,190.5,9.9,190.44,190.41,58.58,3.91,58.57,58.56,112.71,8.01,112.67,112.62,221.04,11.27,221,220.99,23.48,0.48,23.48,23.47,28.1,1.44,28.08,28.06,28.09,0,28.1,28.09,69.29,1.62,69.22,69.12,13.92,0.69,13.92,13.92,150.78,8.54,150.78,150.77,58.61,1.32,58.6,58.56,0.8,0,2.25,2.21,89.21,5.17,89.2,89.05,98.61,5.44,98.63,98.62
"10/29/15",1.59,0.12,1.61,1.59,65.04,1.68,65.11,64.65,14.06,0.23,14.06,14.05,76,2.99,76,75.82,576.62,49.12,576.75,576.62,402.84,5.25,402.84,402.71,288.75,24.4,288.96,288.75,0.65,0.02,0.62,0.62,190.07,9.9,190.07,190.06,58.42,3.91,58.42,58.4,113.82,8.01,113.86,113.82,218.25,11.27,218.25,218.24,23.39,0.48,23.41,23.39,29.09,1.44,29.09,29.08,28.04,0,28.04,28.03,68.95,1.62,68.95,68.91,13.97,0.69,13.98,13.97,149.97,8.54,150.02,149.98,57.89,1.32,57.93,57.88,0.8,0,2.26,2.23,96,5.17,96,95.97,98,5.44,97.98,97.97
"10/30/15",1.67,0.12,1.67,1.65,65.71,1.68,66.2,65.74,13.72,0.23,13.73,13.72,76.03,2.99,76.04,76.03,578.32,49.12,578.32,578.19,402.97,5.25,402.97,402.84,292.37,24.4,292.58,292.37,0.65,0.02,0.65,0.65,187.75,10.37,187.77,187.75,58.04,3.91,58.06,58.05,119.94,8.01,119.93,119.92,219.83,11.27,219.79,219.74,23.41,0.48,23.41,23.4,28.9,1.44,28.93,28.9,28.3,0,28.3,28.28,69.56,1.62,69.54,69.49,13.72,0.69,13.72,13.71,148.58,8.54,148.6,148.59,56.94,1.32,56.89,56.85,0.8,0,2.27,2.24,97.04,5.17,97.04,97.01,98.32,5.44,98.31,98.31
"11/02/15",1.62,0.12,1.68,1.61,67.16,1.68,67.62,67.16,13.77,0.23,13.82,13.77,76.47,2.99,76.54,76.43,583.05,49.12,583.18,583.05,407.05,5.25,407.31,407.05,294.06,24.4,294.06,293.85,0.69,0.02,0.69,0.69,189.54,10.37,189.56,189.54,58.62,3.91,58.63,58.63,121.08,8.01,121.05,120.98,220.59,11.27,220.56,220.53,23.88,0.48,23.9,23.88,29.43,1.44,29.45,29.42,28.27,0,28.3,28.28,69.9,1.91,69.91,69.88,13.76,0.69,13.76,13.75,148.72,8.77,148.77,148.74,55.7,1.32,55.69,55.66,0.8,0,2.28,2.25,98.75,5.17,98.79,98.75,99.18,5.44,99.2,99.19
"11/03/15",1.68,0.12,1.73,1.67,66.7,1.68,66.96,66.5,13.6,0.3,13.62,13.6,75.96,2.99,75.96,75.81,583.18,49.12,583.31,583.18,408.49,5.25,409.15,408.49,295.56,24.4,295.77,295.56,0.68,0.02,0.69,0.68,186.64,10.37,186.64,186.63,58.98,3.91,58.99,58.99,121.63,8.01,121.62,121.57,218.9,11.27,218.96,218.91,20.91,0.48,20.91,20.9,29.83,1.38,29.84,29.82,28.66,0,28.68,28.67,70.55,1.91,70.54,70.52,13.79,0.69,13.79,13.78,147.17,8.77,147.16,147.13,56.36,1.32,56.36,56.33,0.8,0,2.28,2.26,99.32,5.25,99.31,99.26,98.68,5.44,98.68,98.67
"11/04/15",1.67,0.12,1.7,1.65,66.64,1.68,65.14,64.67,13.82,0.3,13.83,13.82,76.65,2.99,76.65,76.56,588.04,49.12,588.17,588.04,409.8,5.25,409.8,408.49,301.72,24.4,301.72,301.51,0.69,0.02,0.69,0.68,186.17,10.37,186.21,186.17,59.18,3.91,59.19,59.18,120.37,8.01,120.46,120.33,218.83,11.27,218.85,218.83,20.58,0.48,20.58,20.57,29.57,1.38,29.6,29.57,28.62,0,28.62,28.61,70.08,1.91,70.12,70.09,13.55,0.69,13.55,13.54,147.28,8.77,147.29,147.28,54.54,1.32,54.54,54.42,0.8,0,2.28,2.26,100.58,5.25,100.59,100.56,98.41,5.44,98.44,98.42
"11/05/15",1.65,0.12,1.68,1.64,68.75,3.09,69.11,68.65,13.7,0.3,13.72,13.7,76.71,2.99,76.71,76.63,575.17,49.12,575.17,575.04,415.45,5.25,415.45,415.06,297.69,24.4,297.9,297.69,0.68,0.02,0.68,0.68,186.42,10.37,186.44,186.42,59.45,3.91,59.48,59.46,130.13,8.01,130.08,130.05,218.6,11.27,218.7,218.63,20.16,0.37,20.16,20.15,29.73,1.38,29.73,29.71,29.22,0,29.22,29.2,70.24,1.91,70.26,70.24,13.34,0.69,13.35,13.34,147.07,8.77,147.1,147.09,49.14,1.32,49.16,49.13,0.8,0,2.28,2.26,100.32,5.25,100.4,100.32,98.63,5.44,98.67,98.65
"11/06/15",1.62,0.12,1.7,1.61,71.87,3.09,72.36,71.9,14.15,0.3,14.16,14.15,77.48,2.99,77.56,77.47,584.5,49.12,584.63,584.5,410.85,5.25,411.25,410.85,297.25,24.4,297.25,297.04,0.67,0,0.67,0.67,184.01,10.37,184.13,184.08,59.45,3.91,59.45,59.44,129,8.01,129.05,129,216.63,11.27,216.65,216.61,20.19,0.37,20.19,20.18,30.01,1.38,30.04,30.02,29.12,0,29.12,29.11,70.1,1.91,70.11,70.07,13.96,0.69,13.96,13.95,145.92,8.77,145.91,145.88,52.87,1.32,52.87,52.86,0.8,0,2.28,2.26,100.59,5.25,100.63,100.59,99.01,5.44,99.01,98.98
"11/09/15",1.66,0.12,1.7,1.65,70.36,3.09,70.66,70.19,13.93,0.3,13.94,13.93,76.7,2.99,76.7,76.53,579.5,49.12,579.5,579.37,409.54,5.25,409.54,407.57,297.04,24.4,297.04,296.83,0.68,0,0.69,0.68,181.66,10.37,181.7,181.66,58.78,3.91,58.79,58.79,127.58,8.34,127.58,127.5,214.7,11.27,214.67,214.66,19.24,0.37,19.25,19.24,29.69,1.38,29.72,29.69,29.06,0,29.09,29.07,68.72,1.91,68.79,68.74,13.56,0.69,13.57,13.56,144.29,8.77,144.3,144.28,50.77,1.58,50.81,50.78,0.8,0,2.28,2.26,99.52,5.25,99.61,99.54,97.78,5.44,97.81,97.79
"11/10/15",1.62,0.12,1.69,1.6,68.04,3.09,68.04,67.29,14.42,0.3,14.42,14.4,77.06,2.99,77.15,77.06,575.3,49.12,575.56,575.3,412.43,5.25,413.09,412.43,285.77,24.4,285.77,285.56,0.68,0,0.68,0.68,181.49,10.37,181.5,181.49,58.2,3.91,58.23,58.21,128.16,8.34,128.19,128.16,214.07,11.27,214.13,214.07,18.81,0.37,18.8,18.79,29.97,1.38,30,29.97,29.35,0.28,29.35,29.33,68.58,1.91,68.62,68.59,13.76,0.69,13.76,13.75,143.94,8.77,143.97,143.95,50.93,1.58,50.97,50.93,0.8,0,2.28,2.26,101.5,5.25,101.5,101.47,97.49,5.44,97.51,97.5
