"U.MGM.PA.","U.LVS.PA.","X.WYNN.PA.","X.BJK.PA.","X.GDEN.PA.","U.BYD.PA.","U.BALY.PA.","X.RRR.PA."
21.79,48.48,67.3,33.63,9.31,20,0,0
22.81,48.83,69.93,33.77,9.34,19.99,0,0
23.2,49.51,69.98,33.81,9.48,19.99,0,0
23.78,50.62,72.2,33.99,9.37,20.4,0,0
24.13,50.91,74.3,34.75,9.32,20.64,0,0
24.03,49.69,72.87,34.24,9.44,20.67,0,0
23.91,49.54,72.98,34.15,9.84,20.91,0,0
23.84,49.79,74,33.99,9.66,21.14,0,0
23.32,46.61,68.13,33.41,9.65,20.59,0,0
23.43,46.92,67.25,32.97,9.67,20.84,0,0
23.31,46.5,65.8,33.01,9.96,20.69,0,0
22.8,46.06,64.71,32.76,10.03,20.35,0,0
22.51,45.7,62.21,32.5,9.97,19.9,0,0
22.63,46.03,63.49,32.65,9.91,19.58,0,0
22.27,45.35,61.57,32.59,10.04,19.97,0,0
22.74,46,61.31,32.69,10.2,20.57,0,0
22.53,46.09,61.78,32.73,10.29,20.37,0,0
22.47,45.07,59.58,32.58,10.38,20.16,0,0
22.68,45.17,60.23,32.11,10.19,19.95,0,0
22.96,44.9,62.97,32.3,10.28,20.17,0,0
22.94,44.82,62.28,32.54,10.38,20.23,0,0
22.87,44.68,61.14,32.37,10.38,20.46,0,0
22.78,44.34,61.06,32.12,10.4,20.34,0,0
22.76,44.07,62.78,32.29,10.52,19.59,0,0
23.28,44.81,66.82,32.92,10.6,19.7,0,0
23.45,45.2,68.52,32.74,10.6,20.08,0,0
22.38,43.54,65.1,32.62,10.65,19.55,0,0
22.63,43.67,64.6,32.8,10.7,19.7,0,0
22.33,43.13,64.62,32.35,10.68,19.24,0,0
21.92,42.57,61.81,31.91,10.64,18.92,0,0
22.07,43.71,69.93,32,10.72,18.91,0,0
22.07,42.8,66.48,31.95,10.56,18.66,0,0
21.06,41.26,63.13,31.07,10.42,18,0,0
20.81,40.46,62.78,31.1,10.24,16.83,0,0
21.16,41.5,66.06,31.24,10.09,17.23,0,0
22.08,43.41,69,32.12,9.89,18.95,0,0
21.45,41.82,64.27,31.64,9.7,19.12,0,0
21.17,41.52,63.4,31.73,9.77,18.7,0,0
21.63,42.06,65.77,30.85,9.66,19.39,0,0
21.76,42.95,67.66,30.88,9.73,19.07,0,0
22.52,44.53,68.95,31.63,9.85,19.31,0,0
22.53,44.38,69.19,31.69,9.85,19.72,0,0
22.44,44.04,68.21,31.43,9.99,19.66,0,0
22.65,44.12,68.35,31.39,10.17,19.57,0,0
22.95,44.37,70.14,31.73,10.22,19.83,0,0
22.54,43.99,68.63,31.82,10.22,19.92,0,0
22.73,43.83,69.25,31.79,10.34,19.87,0,0
22.45,43.42,68.84,31.41,10.19,19.44,0,0
22.26,43.39,68.78,31.16,10.09,19,0,0
22.77,44.05,70.07,31.27,10.28,19.07,0,0
22.39,42.69,66.44,30.52,10.09,19.13,0,0
20.61,38.78,60.19,29.22,10.02,17.8,0,0
20.49,39.02,57.74,28.81,10.14,18.6,0,0
20.83,38.99,56.79,29.04,10.08,18.55,0,0
21.13,38.91,55.64,28.99,10.1,18.14,0,0
20.01,36.96,52.48,28.25,9.94,17.38,0,0
20.28,37.44,51.51,28.58,10.14,17.85,0,0
19.87,38.72,58.41,27.79,10.04,17.9,0,0
19.73,39.13,61.18,27.98,10.03,17.73,0,0
19.64,38.45,59.16,28.34,10.1,17.28,0,0
19.12,37.23,56.33,27.73,10.06,16.52,0,0
19.02,37.64,56.68,27.9,9.95,16.46,0,0
