"D.2TP.PA.","BATS.PA.","ID.GUD.PA.","U.VGR.PA.","U.STZ.PA.","U.TPB.PA.","U.RLX.PA.","U.PM.PA."
0.68,51.13,3.21,20.32,135.58,0,0,89.39
0.65,51.1,3.05,20.22,135.09,0,0,89.24
0.69,50.69,3.05,19.93,134.78,0,0,88.42
0.59,50.18,3.09,19.88,135.07,0,0,88.81
0.61,50.46,3.19,19.08,134.46,0,0,88.32
0.62,50.66,3.43,19.13,133.26,0,0,88.11
0.66,50.71,3.41,19.51,133.26,0,0,88.19
0.66,50.05,3.42,19.54,132.06,0,0,86.36
0.61,49.56,3.37,19.54,132.25,0,0,85.26
0.62,49.64,3.3,19.69,134.8,0,0,84.96
0.62,49.71,3.37,19.88,135.01,0,0,85.06
0.62,48.93,3.48,19.65,133.4,0,0,84.03
0.5,48.67,3.41,19.68,132.24,0,0,83.42
0.5,49.14,3.46,19.84,135.26,0,0,84.35
0.4,50.08,3.64,19.84,138.15,0,0,83.86
0.36,50.03,3.59,20.03,138.28,0,0,85.43
0.57,50.71,3.51,20.16,137.44,0,0,86.28
0.4,50.84,3.64,20.33,137.64,0,0,85.99
0.37,50.82,3.53,20.44,142.11,0,0,86.61
0.37,50.57,3.51,20.61,141.37,0,0,86.92
0.4,50.87,3.58,20.63,143.21,0,0,87.18
0.6,50.9,3.66,20.62,145.04,0,0,87.43
0.58,51.22,3.56,20.7,143.87,0,0,87.48
0.57,50.81,3.47,20.82,140.7,0,0,87.4
0.5,51.05,3.62,20.8,142.75,0,0,87.76
0.5,51.11,3.61,20.91,141.81,0,0,87.3
0.48,50.12,3.66,20.82,140.52,0,0,87.36
0.46,49.66,3.64,20.94,144.65,0,0,89.7
0.31,50.38,3.62,20.48,141.82,0,0,88.8
0.28,49.91,3.68,20.46,143.01,0,0,88.77
0.28,49.1,3.71,20.09,140.18,0,0,88.04
0.28,48.52,3.69,19.54,139.96,0,0,87.72
0.29,47.28,3.61,19,138.3,0,0,86.31
0.29,47.16,3.48,19.07,137.67,0,0,87.18
0.29,48.41,3.5,19.18,139.28,0,0,87.82
0.29,48.85,3.61,19.4,142.94,0,0,90.15
0.25,49.03,3.67,19.15,139.93,0,0,89.1
0.28,48.17,3.68,18.87,138.6,0,0,86.96
0.3,48.04,3.69,19.19,141.4,0,0,86.63
0.3,48.2,3.81,19.4,142.63,0,0,87.66
0.28,49.2,3.85,19.79,143.68,0,0,89.09
0.36,49.66,3.86,19.63,143.02,0,0,88.87
0.47,49.91,3.88,19.54,142.7,0,0,88.4
0.46,50.06,3.89,19.63,143.25,0,0,88.59
0.3,50.01,3.89,19.73,144.2,0,0,89.35
0.24,49.77,3.91,19.68,144.17,0,0,88.97
0.24,49.56,3.9,19.41,142.43,0,0,87.9
0.25,48.9,3.87,19.12,140.29,0,0,87.04
0.25,48.41,3.81,19,140.73,0,0,87.05
0.24,48.72,3.79,19.08,143.67,0,0,87.92
0.24,48.97,3.89,18.95,143.14,0,0,87.88
0.24,48.13,3.84,18.9,149.54,0,0,87.28
0.24,47.69,3.92,18.6,147,0,0,86.7
0.32,47.96,3.87,18.98,147.07,0,0,89.16
0.31,48.57,3.98,19.03,147.03,0,0,89.11
0.3,48.87,3.98,18.98,144.12,0,0,88.31
0.3,47.8,3.97,19.26,143.36,0,0,87.86
0.29,47.22,4.01,18.75,142.77,0,0,86.28
0.28,47.47,3.94,18.66,144,0,0,86.9
0.28,47.92,3.91,18.73,145.68,0,0,87.51
0.28,46.83,3.94,18.46,145.15,0,0,85.89
0.28,47.02,3.94,18.47,143.45,0,0,85.8
0.29,47.62,3.92,18.91,148.77,0,0,86.87
0.24,48.03,3.9,18.63,148.26,0,0,86.72
0.24,48.38,3.97,18.59,148.5,0,0,87.31
0.29,49.44,4.17,18.57,146.12,0,0,88.09
0.28,49.5,4.13,18.82,151.83,0,0,89.07
0.32,51.19,4.14,19.19,152.41,0,0,90.01
0.24,50.77,4.12,19.39,154.38,0,0,89.38
0.6,50.65,4.11,19.19,152.55,0,0,89.34
0.53,49.99,4.14,18.95,150.35,0,0,89.77
0.45,49.3,4.26,18.84,146.81,0,0,89.1
0.27,48.95,4.27,18.76,137.95,0,0,89.55
0.27,49.01,4.27,18.31,134.99,0,0,89.75
0.25,49.13,4.3,18.11,136.1,0,0,90.05
0.42,48.51,4.37,18.33,138.83,0,0,89.23
0.38,48.35,4.33,17.9,135.65,0,0,88.33
0.28,48.71,4.32,18.26,138.01,0,0,89.06
0.25,49.59,4.37,18.23,138.77,0,0,89.56
0.4,50.5,4.37,18.13,139.35,0,0,90.11
0.4,51.09,4.51,18.48,142,0,0,91.21
0.4,50.56,4.51,18.46,140.33,0,0,91.63
0.37,50.31,4.55,18.52,139.55,0,0,91.94
0.38,50.75,4.64,18.51,140.59,0,0,92.53
0.38,50.48,4.7,18.52,139.49,0,0,92.07
0.38,50.37,4.65,18.77,139.1,0,0,91.47
1.25,50.94,4.4,19.08,143.64,0,0,92.47
0.6,51.44,4.47,19.02,142.04,0,0,91.45
