"A.TWEX.PB.","B.ABI.PB.","H.HB.PB.","F.RCD.PB.","I.CPR.PB.","DGE.PB.","K.BBCA.PB.","K.CHRE.PB.","DK.CAB.PB.","DK.RBR.PB.","CN.KCM.PB.","CN.YWU.PB.","CN.JYB.PB.","CN.TTB.PB.","IN.MLC.PB.","IN.UBB.PB.","MX.BEC.PB.","BR.AVS.PB.","CL.CVZ.PB.","U.STZ.PB.","U.BF.B.PB.","U.TAP.PB.","U.SAM.PB."
5.23,124.03,96.06,122.24,4.56,24.55,0,1.76,86.44,41.45,221.22,25.19,63.33,35.26,8.98,13.59,0,5.13,11.91,135.56,43,87.96,245.76
4.94,123.91,95.58,124.26,4.47,24.77,0,1.71,85.35,41.2,221.64,25.07,65.46,35.33,8.99,13.69,0,5.02,11.57,135.06,42.69,87.48,244.87
5.16,125.35,95.83,123.57,4.49,24.67,0,1.73,85.89,41.49,222.62,26.53,65.12,35.31,8.95,13.41,0,5.02,11.57,134.76,42.45,88.1,219.28
5.08,125.18,94.74,122.41,4.49,24.54,0,1.69,85.74,41.01,221.39,25.19,66.03,34.89,9.31,13.67,0,5.09,11.72,135.04,42.76,88.67,224.87
5.08,125.12,94.65,123.28,4.51,24.64,0,1.7,85.89,41.03,218.49,25.07,67.67,34.94,9.76,13.54,0,5.17,11.92,134.42,42.64,87.9,217.88
5.12,126.16,95.14,123.85,4.47,24.86,0,1.72,87.75,41.29,223.92,26.54,71.15,36.08,10.02,14.23,0,5.18,11.72,133.24,42.73,87.44,215.79
5.14,127.08,96.83,125.58,4.55,24.92,0,1.71,87.52,41.18,225.65,26.88,70.93,36.18,9.79,13.56,0,5.14,11.96,133.23,42.77,87.76,211.25
5.27,128.87,96.2,123.91,4.53,24.73,0,1.68,85.97,40.46,227.49,27,71.57,36.68,9.76,13.72,0,5.04,12.2,132.04,41.76,87.54,209.89
5.19,127.95,94.76,122.24,4.41,24.5,0,1.63,85.27,41.31,229.94,27.89,72.51,36.8,10.26,13.86,0,4.94,12.24,132.22,41.54,87.35,213.65
5.17,128.18,95.99,123.05,4.58,24.58,0,1.61,85.74,40.98,231.67,27.54,70.93,36.46,9.89,13.57,0,4.93,12.05,134.79,41.62,88.33,208.39
