"A.ASBX.PB.","D.RHM.PB.","I.LDO.PB.","F.CSF.PB.","BA..PB.","RR..PB.","TK.ASE.PB.","IS.ESLT.PB.","U.NOC.PB.","U.RTX.PB.","U.HII.PB.","U.LMT.PB.","X.AXON.PB.","X.MANT.PB.","U.BWXT.PB.","U.CW.PB.","X.SWBI.PB.","U.GD.PB.","U.RGR.PB.","X.POWW.PB.","U.CACI.PB.","X.HON.PB."
1.57,64.12,14.27,75.42,5.81,2.86,0.65,90.35,190.41,58.56,112.62,220.99,23.47,28.06,28.09,69.12,13.92,150.77,58.56,2.21,89.05,98.62
1.59,64.65,14.05,75.82,5.77,2.89,0.62,88.05,190.06,58.4,113.82,218.24,23.39,29.08,28.03,68.91,13.97,149.98,57.88,2.23,95.97,97.97
1.65,65.74,13.72,76.03,5.78,2.92,0.65,88.08,187.75,58.05,119.92,219.74,23.4,28.9,28.28,69.49,13.71,148.59,56.85,2.24,97.01,98.31
1.61,67.16,13.77,76.43,5.83,2.94,0.69,89,189.54,58.63,120.98,220.53,23.88,29.42,28.28,69.88,13.75,148.74,55.66,2.25,98.75,99.19
1.67,66.5,13.6,75.81,5.83,2.96,0.68,89.32,186.63,58.99,121.57,218.91,20.9,29.82,28.67,70.52,13.78,147.13,56.33,2.26,99.26,98.67
1.65,64.67,13.82,76.56,5.88,3.02,0.68,89.32,186.17,59.18,120.33,218.83,20.57,29.57,28.61,70.09,13.54,147.28,54.42,2.26,100.56,98.42
1.64,68.65,13.7,76.63,5.75,2.98,0.68,90.75,186.42,59.46,130.05,218.63,20.15,29.71,29.2,70.24,13.34,147.09,49.13,2.26,100.32,98.65
1.61,71.9,14.15,77.47,5.84,2.97,0.67,89.83,184.08,59.44,129,216.61,20.18,30.02,29.11,70.07,13.95,145.88,52.86,2.26,100.59,98.98
1.65,70.19,13.93,76.53,5.79,2.97,0.68,89.11,181.66,58.79,127.5,214.66,19.24,29.69,29.07,68.74,13.56,144.28,50.78,2.26,99.54,97.79
1.6,67.29,14.4,77.06,5.75,2.86,0.68,90.18,181.49,58.21,128.16,214.07,18.79,29.97,29.33,68.59,13.75,143.95,50.93,2.26,101.47,97.5
1.65,65.73,14.5,77.66,5.75,2.83,0.68,92.7,181.72,57.93,130.51,215.11,18.54,29.64,29.67,68.52,13.53,143.33,49.71,2.26,100.13,98.31
1.65,62.77,14.06,76.23,5.98,2.28,0.69,95.06,180.31,58.52,127.99,213.62,18.11,29.31,28.44,67.5,13.53,141.83,49.51,2.27,98.06,97.09
1.61,61.92,14.06,75.55,5.96,2.18,0.7,92.24,178.77,56.88,127.41,213.19,17.39,29.7,28.78,67.49,13.16,140.53,48.94,2.28,95.98,96.24
1.65,65.36,14.43,78.01,6.1,2.25,0.75,94.11,186.62,57.7,131.46,220.62,17.37,30.35,29.2,69.26,13.43,143.28,49.95,2.3,97.02,98.01
1.7,66.27,15.21,80.82,6.22,2.36,0.74,96.49,186.07,57.52,131.71,222.36,16.76,30.64,28.88,69.26,13.3,142.85,49.62,2.32,96.87,97.36
1.68,66.99,15.2,79.59,6.26,2.31,0.73,97.9,188.17,57.64,131.35,223.14,18.31,31.18,29.35,70.13,13.58,143.72,50.47,2.35,97.83,99.07
1.68,67.08,15.25,78.98,6.36,2.3,0.73,95.29,188.21,57.96,133.96,223.95,17.81,31.03,29.27,70.57,13.57,145.22,50.11,2.38,97.51,100.02
1.76,67.21,15.64,79.93,6.46,2.35,0.73,96.55,189.45,57.94,134.48,226.11,18.15,31.52,29.39,71.34,13.79,145.5,51.37,2.42,98.75,100.54
1.76,68.31,15.48,80.34,6.53,2.42,0.75,97.21,187.84,57.83,133.61,226.06,18.23,31.69,29.8,70.93,14.02,144.61,51.99,2.45,98.88,99.57
1.73,67.39,15.13,79.84,6.57,2.5,0.73,98.99,188.05,57.4,133.7,226.54,19.31,32.32,30.33,71.31,14.32,145.55,52.56,2.48,99.69,98.22
1.71,68.74,15.76,80.72,6.66,2.58,0.76,100.34,187.8,57.38,132.21,225.85,19.26,32.46,30.09,70.69,14.24,145.15,53.25,2.5,99.64,98.63
1.73,68.74,15.73,80.62,6.81,2.56,0.75,98.68,188.6,57.42,132.77,227.38,18.98,32.78,30.13,70.62,14.3,145.02,53.66,2.52,99.92,99.07
1.73,68.81,15.79,80.62,6.82,2.58,0.75,98.76,188.45,57.12,132.78,225.93,18.83,33.21,30.34,70.67,14.3,145.52,53.24,2.53,100.06,99.08
1.73,69.07,15.79,81.24,6.78,2.58,0.77,98.3,186.36,56.65,130.94,219.25,18.69,33.48,30.42,70.37,14.08,146.46,52.04,2.54,100.27,98.98
1.76,68.26,15.63,80.84,6.77,2.57,0.78,97.36,187.25,57.01,133.64,220.17,18.37,33.61,30.8,71.1,14.14,147.53,51.91,2.55,103.35,99.13
1.76,68.66,15.52,80.3,6.74,2.56,0.77,98.79,185.69,56.19,131.16,218.94,18.01,32.99,31.07,70.48,14.07,145.36,52.55,2.57,103.11,98.16
1.79,67.59,15.22,80.57,6.69,2.54,0.75,97.21,183.01,55.87,129.86,215.47,17.83,32.36,30.96,69.48,14.1,141.97,52.96,2.6,100.48,97.51
1.73,69.29,15.46,80.63,6.67,2.53,0.76,98.94,187.84,56.47,132.98,218.22,17.77,32.78,31.2,70.65,14.59,143.73,54.32,2.65,101.62,99.49
1.73,70.85,15.71,81.4,6.68,2.59,0.76,97.82,187.99,56.58,132.49,219.17,17.26,32.57,30.82,70.08,15.69,143.1,57.46,2.71,99.37,99.18
1.67,70.66,15.28,80.61,6.59,2.5,0.75,95.89,187.99,55.59,130.63,218.86,16.92,32.1,30.74,68.65,16.43,141.98,57.89,2.79,103.05,97.71
