"D.2TP.PB.","BATS.PB.","ID.GUD.PB.","U.VGR.PB.","U.STZ.PB.","U.TPB.PB.","U.RLX.PB.","U.PM.PB."
0.57,51.13,3.2,20.31,135.56,0,0,89.37
0.57,51.08,3.05,20.21,135.06,0,0,89.23
0.47,50.69,3.05,19.93,134.76,0,0,88.41
0.48,50.17,3.08,19.87,135.04,0,0,88.8
0.47,50.46,3.18,19.07,134.42,0,0,88.31
0.47,50.64,3.41,19.12,133.24,0,0,88.1
0.5,50.7,3.4,19.5,133.23,0,0,88.18
0.46,50.04,3.41,19.53,132.04,0,0,86.35
0.46,49.54,3.37,19.53,132.22,0,0,85.25
0.42,49.64,3.29,19.68,134.79,0,0,84.95
0.53,49.7,3.34,19.86,134.99,0,0,85.05
0.4,48.92,3.48,19.65,133.38,0,0,84.02
0.4,48.65,3.37,19.66,132.22,0,0,83.41
0.4,49.13,3.45,19.82,135.21,0,0,84.33
0.31,50.07,3.63,19.84,138.14,0,0,83.85
0.27,50.02,3.52,20.02,138.27,0,0,85.42
0.33,50.71,3.5,20.16,137.41,0,0,86.27
0.32,50.83,3.63,20.32,137.62,0,0,85.98
0.3,50.79,3.51,20.44,142.09,0,0,86.6
0.28,50.56,3.5,20.6,141.35,0,0,86.91
0.3,50.86,3.57,20.62,143.2,0,0,87.17
0.37,50.89,3.66,20.61,145.02,0,0,87.41
0.36,51.21,3.55,20.69,143.83,0,0,87.45
0.35,50.8,3.46,20.81,140.64,0,0,87.39
0.36,51.04,3.59,20.79,142.73,0,0,87.75
0.37,51.09,3.61,20.9,141.79,0,0,87.29
0.35,50.12,3.65,20.81,140.5,0,0,87.34
0.35,49.66,3.59,20.92,144.63,0,0,89.68
0.2,50.38,3.6,20.46,141.8,0,0,88.78
0.17,49.9,3.64,20.45,142.99,0,0,88.76
0.17,49.1,3.66,20.08,140.16,0,0,88.03
0.17,48.51,3.66,19.52,139.92,0,0,87.68
0.18,47.27,3.61,18.99,138.27,0,0,86.3
0.17,47.15,3.44,19.05,137.65,0,0,87.17
0.17,48.4,3.46,19.17,139.23,0,0,87.81
0.17,48.84,3.61,19.39,142.93,0,0,90.14
