"A.TWEX.PA.","B.ABI.PA.","H.HB.PA.","F.RCD.PA.","I.CPR.PA.","DGE.PA.","K.BBCA.PA.","K.CHRE.PA.","DK.CAB.PA.","DK.RBR.PA.","CN.KCM.PA.","CN.YWU.PA.","CN.JYB.PA.","CN.TTB.PA.","IN.MLC.PA.","IN.UBB.PA.","MX.BEC.PA.","BR.AVS.PA.","CL.CVZ.PA.","U.STZ.PA.","U.BF.B.PA.","U.TAP.PA.","U.SAM.PA."
5.3,124.08,96.13,122.35,4.57,24.56,0,1.76,86.51,41.48,221.3,25.2,63.39,35.27,9.01,13.63,0,5.13,12.02,135.58,43,87.97,245.95
5.23,123.97,95.59,124.32,4.48,24.77,0,1.71,85.43,41.28,221.66,25.08,65.47,35.34,8.99,13.74,0,5.03,11.98,135.09,42.69,87.49,245.31
5.19,125.41,95.88,123.62,4.51,24.67,0,1.74,86.05,41.52,222.85,26.54,65.16,35.32,8.95,13.42,0,5.04,12.14,134.78,42.46,88.11,219.45
5.16,125.3,94.79,122.64,4.5,24.55,0,1.7,85.82,41.03,221.42,25.2,66.04,34.9,9.34,13.69,0,5.12,11.92,135.07,42.77,88.68,224.96
5.2,125.18,94.9,123.39,4.52,24.65,0,1.7,86.05,41.06,218.56,25.08,67.68,34.95,9.77,13.55,0,5.18,12.46,134.46,42.64,87.91,218.02
5.34,126.28,95.17,124.03,4.48,24.88,0,1.73,87.83,41.32,224.13,26.55,71.17,36.09,10.03,14.24,0,5.18,12.7,133.26,42.75,87.46,215.84
5.34,127.14,96.9,125.64,4.56,24.92,0,1.72,87.6,41.24,225.66,26.89,71,36.19,9.79,13.57,0,5.14,12.64,133.26,42.77,87.8,211.52
5.35,128.99,96.27,123.97,4.53,24.73,0,1.68,86.05,40.47,227.51,27.01,71.58,36.7,9.81,13.76,0,5.04,12.6,132.06,41.76,87.56,210
5.3,128.01,94.84,122.53,4.42,24.5,0,1.64,85.35,41.34,229.97,27.9,72.54,36.81,10.28,13.94,0,4.94,12.56,132.25,41.55,87.36,213.72
5.25,128.29,96.02,123.16,4.58,24.59,0,1.62,85.82,41,231.68,27.55,71.12,36.49,9.91,13.62,0,4.93,12.3,134.8,41.64,88.34,208.42
5.33,131,97.69,124.37,4.62,24.95,0,1.65,91.16,41.52,229.64,27.25,70.27,36.32,10.09,13.66,0,5.04,12.19,135.01,42.1,92.21,209.97
5.36,129.68,97.3,123.05,4.61,24.74,0,1.7,93.48,41.43,229.34,26.85,69.69,36.22,10.16,13.98,0,5,12.05,133.4,41.59,92.11,206
5.37,129.5,94.98,122.24,4.6,24.29,0,1.69,91.16,42.48,224.03,26.83,67.59,35.62,9.98,14.04,0,5.05,12.02,132.24,40.98,93.81,202.17
5.35,131.46,95.43,121.26,4.66,24.27,0,1.7,91.16,42.42,222.95,26.71,67.63,35.4,9.82,13.77,0,5.04,12.63,135.26,41.76,93.9,209.57
5.55,135.9,98.06,124.72,4.68,24.8,0,1.73,93.17,42.88,223.14,26.99,68.11,35.38,10,14.15,0,5.06,12.05,138.15,42.12,95.14,210.41
5.45,135.79,97.77,123.97,4.63,24.77,0,1.73,92.47,42.39,224.15,27.11,67.42,35.06,10.05,13.76,0,5.07,12.07,138.28,42.46,94.12,213.34
5.55,134.29,98.36,124.37,4.77,25,0,1.74,94.41,41.91,224.01,27.38,67.68,35.2,10.22,13.83,0,5.12,12.2,137.44,42.6,93.83,213
5.57,136.25,98.21,124.6,4.77,25.32,0,1.76,95.1,42.56,222.76,27.08,67.38,35.16,10.25,13.96,0,5.09,12.49,137.64,42.16,92.53,212.57
5.62,137.35,98.28,123.68,4.75,25.14,0,1.76,93.01,43.43,221.72,26.51,67.44,35.05,9.79,13.75,0,5.04,12.34,142.11,42.22,92.23,213.7
5.58,138.38,95.8,122.41,4.65,24.88,0,1.78,91.46,42.5,220.45,26.34,66.66,34.97,9.59,13.68,0,5,12.01,141.37,42,92.1,215.49
5.63,140.34,97.95,125.06,4.8,25.29,0,1.76,91.08,42.56,221.84,26.39,67.26,35.26,9.37,13.7,0,4.92,12.05,143.21,42.04,92.51,212.96
5.63,142.13,97.88,124.26,4.75,25.29,0,1.76,91.7,45.89,221.66,26.23,66.22,35.08,9.17,13.83,0,4.97,12.33,145.04,42.79,93.47,216.24
5.57,141.44,98,124.37,4.75,25.28,0,1.73,91.16,44.14,216.61,25.27,65.09,33.28,9.08,13.97,0,4.91,12.04,143.87,42.63,93.39,218.43
5.55,140.69,97.12,124.2,4.81,25.09,0,1.77,93.09,45.08,222.09,25.04,65.62,32.95,8.85,13.77,0,4.93,11.55,140.7,41.05,92.03,213.52
5.71,139.36,97.17,124.66,4.83,25.12,0,1.78,92.78,44.8,222.72,25.82,67.7,33.37,8.94,13.99,0,4.95,11.62,142.75,41.52,93.18,214.89
