"A.ASBX.PA.","D.RHM.PA.","I.LDO.PA.","F.CSF.PA.","BA..PA.","RR..PA.","TK.ASE.PA.","IS.ESLT.PA.","U.NOC.PA.","U.RTX.PA.","U.HII.PA.","U.LMT.PA.","X.AXON.PA.","X.MANT.PA.","U.BWXT.PA.","U.CW.PA.","X.SWBI.PA.","U.GD.PA.","U.RGR.PA.","X.POWW.PA.","U.CACI.PA.","X.HON.PA."
1.62,64.58,14.28,75.44,5.81,2.87,0.65,90.38,190.44,58.57,112.67,221,23.48,28.08,28.1,69.22,13.92,150.78,58.6,2.25,89.2,98.63
1.61,65.11,14.06,76,5.77,2.89,0.62,88.08,190.07,58.42,113.86,218.25,23.41,29.09,28.04,68.95,13.98,150.02,57.93,2.26,96,97.98
1.67,66.2,13.73,76.04,5.78,2.93,0.65,88.11,187.77,58.06,119.93,219.79,23.41,28.93,28.3,69.54,13.72,148.6,56.89,2.27,97.04,98.31
1.68,67.62,13.82,76.54,5.83,2.94,0.69,89.06,189.56,58.63,121.05,220.56,23.9,29.45,28.3,69.91,13.76,148.77,55.69,2.28,98.79,99.2
1.73,66.96,13.62,75.96,5.83,2.96,0.69,89.46,186.64,58.99,121.62,218.96,20.91,29.84,28.68,70.54,13.79,147.16,56.36,2.28,99.31,98.68
1.7,65.14,13.83,76.65,5.88,3.02,0.69,89.6,186.21,59.19,120.46,218.85,20.58,29.6,28.62,70.12,13.55,147.29,54.54,2.28,100.59,98.44
1.68,69.11,13.72,76.71,5.75,2.98,0.68,90.84,186.44,59.48,130.08,218.7,20.16,29.73,29.22,70.26,13.35,147.1,49.16,2.28,100.4,98.67
1.7,72.36,14.16,77.56,5.85,2.97,0.67,89.92,184.13,59.45,129.05,216.65,20.19,30.04,29.12,70.11,13.96,145.91,52.87,2.28,100.63,99.01
1.7,70.66,13.94,76.7,5.8,2.97,0.69,89.54,181.7,58.79,127.58,214.67,19.25,29.72,29.09,68.79,13.57,144.3,50.81,2.28,99.61,97.81
1.69,68.04,14.42,77.15,5.76,2.86,0.68,90.32,181.5,58.23,128.19,214.13,18.8,30,29.35,68.62,13.76,143.97,50.97,2.28,101.5,97.51
1.65,66.17,14.51,77.68,5.76,2.84,0.68,92.76,181.75,57.94,130.58,215.12,18.55,29.67,29.69,68.56,13.53,143.35,49.73,2.28,100.15,98.32
1.69,63.23,14.07,76.32,5.98,2.28,0.69,95.12,180.34,58.53,128.01,213.63,18.12,29.33,28.46,67.53,13.53,141.85,49.54,2.29,98.12,97.1
1.7,62.38,14.08,75.63,5.96,2.18,0.7,92.27,178.82,56.9,127.49,213.23,17.4,29.73,28.79,67.5,13.17,140.59,48.97,2.3,96,96.25
1.7,65.73,14.45,78.11,6.11,2.25,0.76,94.2,186.63,57.71,131.54,220.67,17.38,30.39,29.22,69.31,13.44,143.31,49.97,2.32,97.1,98.02
1.74,66.73,15.23,80.87,6.23,2.36,0.74,96.52,186.13,57.53,131.75,222.38,16.77,30.67,28.89,69.3,13.3,142.87,49.65,2.34,96.93,97.37
1.74,67.05,15.21,79.67,6.27,2.31,0.73,97.93,188.19,57.65,131.41,223.2,18.32,31.21,29.36,70.15,13.59,143.74,50.48,2.37,97.87,99.08
1.74,67.54,15.26,79.1,6.36,2.3,0.73,95.35,188.24,57.97,134.05,223.98,17.82,31.04,29.29,70.6,13.58,145.24,50.15,2.4,97.55,100.04
1.78,67.67,15.66,80.02,6.47,2.35,0.73,96.61,189.47,57.94,134.52,226.13,18.16,31.53,29.4,71.37,13.8,145.51,51.4,2.43,98.82,100.56
1.85,68.66,15.49,80.42,6.53,2.42,0.75,97.24,187.86,57.84,133.64,226.11,18.24,31.71,29.81,70.96,14.03,144.62,52.03,2.47,98.92,99.59
1.77,67.83,15.14,79.85,6.58,2.5,0.74,99.05,188.07,57.41,133.79,226.56,19.32,32.34,30.35,71.34,14.32,145.59,52.61,2.49,99.72,98.23
1.75,69.2,15.78,80.76,6.67,2.58,0.77,100.46,187.81,57.38,132.26,225.88,19.28,32.47,30.11,70.73,14.25,145.17,53.27,2.51,99.69,98.65
1.78,69.2,15.75,80.72,6.82,2.56,0.75,98.71,188.65,57.43,132.83,227.45,19,32.8,30.15,70.66,14.31,145.04,53.68,2.53,99.99,99.09
1.75,69.28,15.81,80.79,6.84,2.58,0.75,98.79,188.52,57.12,132.85,226,18.84,33.25,30.36,70.7,14.32,145.55,53.28,2.54,100.11,99.1
