"X.AMRS.PA.","X.GRWG.PA.","U.YOLO.PA.","U.CNBS.PA.","U.MJ.PA.","X.POTX.PA.","U.STZ.PA.","U.IIPR.PA.","X.CARA.PA.","X.TLRY.PA.","X.SNDL.PA.","X.CNTTQ.PA."
25.35,0,0,0,0,0,135.58,0,15.58,0,0,0
25.8,0,0,0,0,0,135.09,0,15.14,0,0,0
25.5,0,0,0,0,0,134.78,0,14.18,0,0,0
25.8,0,0,0,0,0,135.07,0,15.55,0,0,0
26.85,0,0,0,0,0,134.46,0,15.32,0,0,0
25.5,0,0,0,0,0,133.26,0,16.29,0,0,0
25.35,0,0,0,0,0,133.26,0,15.5,0,0,0
25.35,0,0,0,0,0,132.06,0,15.43,0,0,0
24.3,0,0,0,0,0,132.25,0,15.8,0,0,0
25.05,0,0,0,0,0,134.8,0,17.25,0,0,0
24,0,0,0,0,0,135.01,0,15.9,0,0,0
22.95,0,0,0,0,0,133.4,0,15.05,0,0,0
22.65,0,0,0,0,0,132.24,0,16.12,0,0,0
23.4,0,0,0,0,0,135.26,0,15.33,0,0,0
23.55,0,0,0,0,0,138.15,0,15.08,0,0,0
23.4,0,0,0,0,0,138.28,0,15.71,0,0,0
23.4,0,0,0,0,0,137.44,0,15.11,0,0,0
23.1,0,0,0,0,0,137.64,0,15.72,0,0,0
24,0,0,0,0,0,142.11,0,15.84,0,0,0
25.05,0,0,0,0,0,141.37,0,16.48,0,0,0
24.9,0,0,0,0,0,143.21,0,16.77,0,0,0
24.14,0,0,0,0,0,145.04,0,17.05,0,0,0
24,0,0,0,0,0,143.87,0,17.1,0,0,0
25.05,0,0,0,0,0,140.7,0,16.55,0,0,0
25.35,0,0,0,0,0,142.75,0,15.8,0,0,0
24.3,0,0,0,0,0,141.81,0,15.52,0,0,0
24.15,0,0,0,25.65,0,140.52,0,14.6,0,0,0
24,0,0,0,25.54,0,144.65,0,14.32,0,0,0
22.95,0,0,0,25.32,0,141.82,0,13.79,0,0,0
23.25,0,0,0,25.22,0,143.01,0,15.19,0,0,0
