"X.AMRS.PB.","X.GRWG.PB.","U.YOLO.PB.","U.CNBS.PB.","U.MJ.PB.","X.POTX.PB.","U.STZ.PB.","U.IIPR.PB.","X.CARA.PB.","X.TLRY.PB.","X.SNDL.PB.","X.CNTTQ.PB."
25.2,0,0,0,0,0,135.56,0,15.57,0,0,0
25.5,0,0,0,0,0,135.06,0,15.13,0,0,0
25.35,0,0,0,0,0,134.76,0,14.17,0,0,0
25.65,0,0,0,0,0,135.04,0,15.52,0,0,0
26.7,0,0,0,0,0,134.42,0,15.29,0,0,0
25.35,0,0,0,0,0,133.24,0,16.27,0,0,0
25.2,0,0,0,0,0,133.23,0,15.46,0,0,0
25.2,0,0,0,0,0,132.04,0,15.41,0,0,0
24,0,0,0,0,0,132.22,0,15.78,0,0,0
24.9,0,0,0,0,0,134.79,0,17.24,0,0,0
23.85,0,0,0,0,0,134.99,0,15.86,0,0,0
22.65,0,0,0,0,0,133.38,0,15.02,0,0,0
22.5,0,0,0,0,0,132.22,0,16.11,0,0,0
23.1,0,0,0,0,0,135.21,0,15.3,0,0,0
23.4,0,0,0,0,0,138.14,0,15.07,0,0,0
23.25,0,0,0,0,0,138.27,0,15.68,0,0,0
23.1,0,0,0,0,0,137.41,0,15.09,0,0,0
22.95,0,0,0,0,0,137.62,0,15.7,0,0,0
23.7,0,0,0,0,0,142.09,0,15.83,0,0,0
24.9,0,0,0,0,0,141.35,0,16.45,0,0,0
24.75,0,0,0,0,0,143.2,0,16.75,0,0,0
23.75,0,0,0,0,0,145.02,0,17.02,0,0,0
23.55,0,0,0,0,0,143.83,0,17.06,0,0,0
24.9,0,0,0,0,0,140.64,0,16.54,0,0,0
25.2,0,0,0,0,0,142.73,0,15.79,0,0,0
24.15,0,0,0,0,0,141.79,0,15.49,0,0,0
24,0,0,0,25.6,0,140.5,0,14.59,0,0,0
23.7,0,0,0,25.45,0,144.63,0,14.31,0,0,0
22.8,0,0,0,25.1,0,141.8,0,13.78,0,0,0
22.95,0,0,0,25,0,142.99,0,15.18,0,0,0
22.95,0,0,0,25.48,0,140.16,0,16,0,0,0
22.8,0,0,0,24.98,0,139.92,0,16.21,0,0,0
22.8,0,0,0,24.57,0,138.27,0,15.17,0,0,0
22.5,0,0,0,24.3,0,137.65,0,14.67,0,0,0
22.65,0,0,0,24.83,0,139.23,0,15.32,0,0,0
22.35,0,0,0,24.81,0,142.93,0,15.78,0,0,0
22.95,0,0,0,24.63,0,139.92,0,15.3,0,0,0
23.1,0,0,0,24.07,0,138.58,0,15.33,0,0,0
24.45,0,0,0,23.85,0,141.38,0,15.64,0,0,0
25.8,0,0,0,23.99,0,142.61,0,15.29,0,0,0
24.6,0,0,0,24.35,0,143.65,0,15.59,0,0,0
24.6,0,0,0,24.26,0,142.97,0,15.41,0,0,0
25.08,0,0,0,24.33,0,142.66,0,15.09,0,0,0
