"","@AMRS(P)","@AMRS(EPS)","@AMRS(PA)","@AMRS(PB)","@GRWG(P)","@GRWG(EPS)","@GRWG(PA)","@GRWG(PB)","U:YOLO(P)","U:YOLO(PA)","U:YOLO(PB)","U:CNBS(P)","U:CNBS(PA)","U:CNBS(PB)","U:MJ(P)","U:MJ(PA)","U:MJ(PB)","@POTX(P)","@POTX(PA)","@POTX(PB)","U:STZ(P)","U:STZ(EPS)","U:STZ(PA)","U:STZ(PB)","U:IIPR(P)","U:IIPR(EPS)","U:IIPR(PA)","U:IIPR(PB)","@CARA(P)","@CARA(EPS)","@CARA(PA)","@CARA(PB)","@TLRY(P)","@TLRY(EPS)","@TLRY(PA)","@TLRY(PB)","@SNDL(P)","@SNDL(EPS)","@SNDL(PA)","@SNDL(PB)","@CNTTQ(P)","@CNTTQ(EPS)","@CNTTQ(PA)","@CNTTQ(PB)"
"10/28/15",25.35,0,25.35,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.61,4.33,135.58,135.56,0,0,0,0,15.58,0,15.58,15.57,0,0,0,0,0,0,0,0,0,0,0,0
"10/29/15",25.5,0,25.8,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.11,4.33,135.09,135.06,0,0,0,0,15.13,0,15.14,15.13,0,0,0,0,0,0,0,0,0,0,0,0
"10/30/15",25.35,0,25.5,25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.8,4.33,134.78,134.76,0,0,0,0,14.17,0,14.18,14.17,0,0,0,0,0,0,0,0,0,0,0,0
"11/02/15",25.8,0,25.8,25.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.08,4.33,135.07,135.04,0,0,0,0,15.56,0,15.55,15.52,0,0,0,0,0,0,0,0,0,0,0,0
"11/03/15",27.6,0,26.85,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.41,4.33,134.46,134.42,0,0,0,0,15.32,0,15.32,15.29,0,0,0,0,0,0,0,0,0,0,0,0
"11/04/15",25.5,0,25.5,25.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.2,4.33,133.26,133.24,0,0,0,0,16.27,0,16.29,16.27,0,0,0,0,0,0,0,0,0,0,0,0
"11/05/15",25.35,0,25.35,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.26,4.33,133.26,133.23,0,0,0,0,15.49,0,15.5,15.46,0,0,0,0,0,0,0,0,0,0,0,0
"11/06/15",25.35,0,25.35,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.11,4.33,132.06,132.04,0,0,0,0,15.41,0,15.43,15.41,0,0,0,0,0,0,0,0,0,0,0,0
"11/09/15",24.45,0,24.3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.27,4.33,132.25,132.22,0,0,0,0,15.78,0,15.8,15.78,0,0,0,0,0,0,0,0,0,0,0,0
"11/10/15",24.9,0,25.05,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.78,4.33,134.8,134.79,0,0,0,0,17.25,0,17.25,17.24,0,0,0,0,0,0,0,0,0,0,0,0
