"A.ASBX.EPS.","D.RHM.EPS.","I.LDO.EPS.","F.CSF.EPS.","BA..EPS.","RR..EPS.","TK.ASE.EPS.","IS.ESLT.EPS.","U.NOC.EPS.","U.RTX.EPS.","U.HII.EPS.","U.LMT.EPS.","X.AXON.EPS.","X.MANT.EPS.","U.BWXT.EPS.","U.CW.EPS.","X.SWBI.EPS.","U.GD.EPS.","U.RGR.EPS.","X.POWW.EPS.","U.CACI.EPS.","X.HON.EPS."
0.12,1.68,0.23,2.99,0.49,0.24,0.02,1.15,9.9,3.91,8.01,11.27,0.48,1.44,0,1.62,0.69,8.54,1.32,0,5.17,5.44
0.12,1.68,0.23,2.99,0.49,0.24,0.02,1.15,9.9,3.91,8.01,11.27,0.48,1.44,0,1.62,0.69,8.54,1.32,0,5.17,5.44
0.12,1.68,0.23,2.99,0.49,0.24,0.02,1.15,10.37,3.91,8.01,11.27,0.48,1.44,0,1.62,0.69,8.54,1.32,0,5.17,5.44
0.12,1.68,0.23,2.99,0.49,0.24,0.02,1.15,10.37,3.91,8.01,11.27,0.48,1.44,0,1.91,0.69,8.77,1.32,0,5.17,5.44
0.12,1.68,0.3,2.99,0.49,0.24,0.02,1.15,10.37,3.91,8.01,11.27,0.48,1.38,0,1.91,0.69,8.77,1.32,0,5.25,5.44
0.12,1.68,0.3,2.99,0.49,0.24,0.02,1.15,10.37,3.91,8.01,11.27,0.48,1.38,0,1.91,0.69,8.77,1.32,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0.02,1.15,10.37,3.91,8.01,11.27,0.37,1.38,0,1.91,0.69,8.77,1.32,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.15,10.37,3.91,8.01,11.27,0.37,1.38,0,1.91,0.69,8.77,1.32,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.15,10.37,3.91,8.34,11.27,0.37,1.38,0,1.91,0.69,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.15,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.69,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.69,8.77,1.58,0,5.25,5.44
