"U.MGM.EPS.","U.LVS.EPS.","X.WYNN.EPS.","X.GDEN.EPS.","U.BYD.EPS.","U.BALY.EPS.","X.RRR.EPS."
0,2.96,1.92,0,0.18,0,0
0,2.96,1.92,0,0.18,0,0
0,2.96,1.92,0,0.18,0,0
0,2.96,1.92,0,0.18,0,0
0,2.96,1.92,0,0.18,0,0
0,2.96,1.92,0,0.18,0,0
0,2.96,1.92,0,0.18,0,0
0,2.96,1.92,0,0.18,0,0
0,2.78,1.92,0,0.18,0,0
0,2.78,1.92,0,0.18,0,0
0,2.78,1.92,0,0.18,0,0
0,2.78,1.92,0,0.18,0,0
0,2.78,1.92,0,0.18,0,0
0,2.78,1.92,0,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.78,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.18,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,0.07,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,0
0,2.46,1.92,1.43,0.41,0,1.19
0,2.46,1.92,1.43,0.41,0,1.19
0,2.46,1.92,1.43,0.41,0,1.19
0,2.46,1.92,1.43,0.41,0,1.19
0,2.46,1.92,1.43,0.41,0,1.19
0,2.46,1.92,1.43,0.41,0,1.19
0,2.46,1.92,1.43,0.41,0,1.19
0,2.46,3.11,1.43,0.41,0,1.19
0,2.23,3.11,1.43,0.4,0,1.19
0,2.23,3.11,1.43,0.4,0,1.19
0,2.23,3.11,1.43,0.4,0,1.19
0,2.23,3.11,1.43,0.4,0,1.19
0,2.23,3.11,1.43,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.19
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.23,3.11,1.63,0.4,0,1.3
0,2.05,3.11,1.63,0.4,0,1.3
0,2.05,3.11,1.63,0.4,0,1.3
0,2.05,3.11,1.63,0.4,0,1.3
0,2.05,3.23,1.63,0.4,0,1.3
0,2.05,3.23,1.63,0.4,0,1.3
0,2.05,3.23,1.63,0.4,0,1.3
0,2.05,3.23,1.63,0.4,0,1.3
0,2.05,3.23,1.63,0.4,0,1.3
0,2.05,3.23,1.63,0.71,0,1.3
0,2.05,3.23,1.63,0.71,0,1.3
0,2.05,3.23,1.63,0.71,0,1.3
0,2.05,3.23,1.63,0.71,0,1.3
0,2.05,3.23,1.63,0.71,0,1.3
0,2.05,3.23,1.63,0.71,0,1.3
0,2.05,3.23,1.63,0.71,0,1.3
0,2.05,3.23,1.63,0.71,0,1.3
0,2.05,3.23,1.8,0.71,0,2.21
0,2.05,3.23,1.8,0.71,0,2.21
