"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P.","U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P.","D.2TP.P.","BATS.P.","ID.GUD.P.","X.IMBBY.P.","U.VGR.P.","U.TPB.P.","U.RLX.P.","U.PM.P.","A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P.","total_market_cap","number_of_stocks","divisor","index","X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P.","total_market_cap","number_of_stocks","divisor","index"
3445076.25,101101500.72,20739908.52,22256236.8,2601170.88,58155501.2,0,1208185.44,8468959,1874232.32,105635276.76,44691546,33139449.06,10252938.06,588149.25,1538892.08,0,22851251.55,672171.39,22200170.66,13117099.14,12437198.6,1916934.3,7936829.44,19496615.6,4574246.4,23404.68,94543.05,1538120,0,0,508116.83,539370.37,5540240,25101121.65,2108423.52,0,0,130847896.2,433218.8,2541463.82,5577168.24,7691029.92,16357183.5,4686527.56,0,1896358.72,34743961.5,51961690.18,4594172.31,61651813.68,988273.2,544156.5,2385402.8,2625190.23,665654.4,38932300.68,860043.14,80.8,1720950.11,75997839.51,1004055255.32,54,100405.525532,10000,98484.75,0,0,0,0,0,22200170.66,0,228761.14,0,0,0,22527416.55,3,2252.741655,10000
3405703.95,100962983.19,20623392.18,22634942.4,2549944.32,58652759.15,0,1173861.99,8370004.25,1865195.52,105912183.84,44691546,34254039.72,10270384.92,590777.85,1535507.42,0,22361263.7,671050.17,22118317.66,13016479.83,12369336.2,1909062.36,8316163.2,19661636.5,4750963.2,23460.84,94847.7,1536581.88,0,0,546465.27,539053.9,5280541.25,25294026.24,2097009.81,0,0,130642988.98,427837.2,2575518.96,5491245.48,7750176,16244569.5,4735686.94,0,1849327.68,34665536.81,51819766.82,4639417.02,60873635.25,984485.1,563327.85,2381156.8,2612308.65,668045.4,38723153.82,849477.86,80.8,1851936,75527718,1003956883.33,54,100405.525532,9999.02025322333,99067.5,0,0,0,0,0,22118317.66,0,222153.79,0,0,0,22439538.95,3,2252.741655,9960.99082209229
3399141.9,102136308.15,20681650.35,22507493.4,2555636.16,58415969.65,0,1187591.37,8430748.75,1876039.68,106341867.24,44691546,34076123.84,10264569.3,589463.55,1509558.36,0,22450352.4,675535.05,22067568.8,12949400.29,12455578,1711484.46,8458413.36,19927279.9,4754361.6,23629.32,94949.25,1537350.94,0,0,546465.27,534728.81,5280541.25,25350486.12,2070031.95,0,0,129384273.2,449363.6,2602050.29,5358455.76,7753235.28,16272723,4784846.32,0,1849957.56,34242408.25,51482698.84,4888874.34,61314324.11,985326.9,559648.5,2403236,2635419.72,656090.4,38364247.48,835537.56,80.8,1871998.64,75774339.12,1004021000.14,54,100405.525532,9999.65883172446,98484.75,0,0,0,0,0,22067568.8,0,208058.11,0,0,0,22374111.66,3,2252.741655,9931.94741631392
3372893.7,102095567.7,20442144.54,22287188.7,2555636.16,58136535.85,0,1166997.3,8400376.5,1852995.84,105692567.88,42023394,34552310.46,10145349.09,609178.05,1547917.84,0,22450352.4,668247.12,22113406.48,12485052,12541819.8,1752091.2,8679628.66,20291927.67,4907404.01,23832.9,102055.25,1572243.53,0,0,575226.6,529243.33,5349794.25,25383421.05,2058945.78,0,0,129984358.63,435909.6,2925422.44,5377983.66,7917474.39,16416294.73,4817645.7,0,1868644,34568873.82,51997171.02,4935341.88,61526301.03,1005109.2,569911.95,2400688.4,2648301.3,658003.2,38400396.32,817341.8,80.8,1904986.25,76437133.38,1003979119.14,54,100405.525532,9999.24171324639,100233,0,0,0,0,0,22113406.48,0,229494.44,0,0,0,22443133.92,3,2252.741655,9962.58664200889
3405703.95,101997790.62,20476667.9,22454693.1,2572711.68,58349663.68,0,1166997.3,8415072.75,1855255.04,104274612.66,41806606.65,35410492.94,10162795.95,644007,1533250.98,0,23073973.3,697959.45,22003723.46,12452926.72,12427302,1698624.36,8811027.58,20412211.77,5048120.54,24310.26,101836.95,1590731.45,0,0,479355.5,532302.54,5505613.5,25359896.1,1977044.11,0,0,129296455.82,452054.4,2905385.3,5311588.8,7864670.52,16416294.73,4850418.8,0,1875362.72,34039963.12,52316498.58,4957760.43,61054931.3,880101.9,577657.95,2433807.2,2672927.85,659437.8,38000177.02,827026.64,80.8,1915982.12,76051787.88,1002083653.47,54,100405.525532,9980.36361206663,107226,0,0,0,0,0,22003723.46,0,225954.68,0,0,0,22336904.14,3,2252.741655,9915.43086639466
3497572.65,102894080.52,20530610.65,22571217.9,2544252.48,58918004.56,0,1187591.37,8597306.25,1867002.88,106895681.4,44257971.3,37231514.3,10491378.48,658464.3,1603200.62,0,23073973.3,704126.16,21805639.2,12482131.52,12359439.6,1682256.96,8770877.91,19923056.43,4953629.73,23896.08,103037.6,1592272.11,0,0,450594.17,534412.34,5938444.75,25350486.12,1984301.22,0,0,128901277.61,449363.6,2902771.76,5397511.56,7936111.05,16557086.28,4948738.1,0,1881241.6,33954243.11,52493902.78,4906401.57,61035407.11,866212.2,572623.05,2430410.4,2655120.96,647961,38028579.68,800319.96,80.8,1940288.78,75843701.31,1010627779.13,54,100405.525532,10065.4597819709,99067.5,0,0,0,0,0,21805639.2,0,239966.23,0,0,0,22144672.93,3,2252.741655,9830.09875138123
3425390.1,103545927.72,20901736.77,22864350.6,2589787.2,59012728.04,0,1180726.68,8574772,1862032.64,107683434.3,44841629.55,37116392.26,10520456.58,647292.75,1534379.2,0,22895795.9,706929.21,21815461.56,12485052,12415991.6,1646638.38,8727078.27,19866923.85,4961107.42,24113.7,106421.25,1609219.37,0,0,450594.17,534834.3,5903818.25,25124646.6,2020586.77,0,0,129033003.68,443982,2994681.25,5350644.6,7942323.27,16191028.25,4883191.9,0,1907276.64,33999838.86,52733398.45,5304228.93,60971256.2,848534.4,575721.45,2481362.4,2661182.88,637918.8,37974356.42,721080.36,80.8,1935273.12,76013253.33,1013199866.98,54,100405.525532,10091.0767770155,98484.75,0,0,0,0,0,21815461.56,0,228462.01,0,0,0,22142408.32,3,2252.741655,9829.09348298085
3497572.65,105102212.91,20772274.17,22571217.9,2578403.52,58562791.51,0,1153267.92,8430748.75,1828144.64,108609640.74,45025065,37456525.56,10665847.08,646635.6,1542276.74,0,22316719.35,705807.99,21627199.66,12201765.44,12380646.6,1636740,8701528.48,19959141.66,5029766.21,23875.02,105111.45,1626936.96,0,0,450594.17,527871.96,5921131.5,24851757.18,2024733.69,0,0,126413118.51,435909.6,3130585.33,5526395.7,8022046.76,16444453.04,4866805.35,0,1886070.68,33560295.83,52733398.45,5258169,60421789.71,849797.1,581143.65,2472870.4,2655878.7,667567.2,37677419.52,775814.38,80.8,1940481.69,76306115.91,1011160159.32,54,100405.525532,10070.7620816918,98484.75,0,0,0,0,0,21627199.66,0,227282.09,0,0,0,21952966.5,3,2252.741655,9744.99958806861
3425390.1,104254811.55,20446459.96,22276264.5,2510101.44,58018131.5,0,1125809.16,8354328.25,1867002.88,109807980,46525900.5,37943177.82,10692017.37,674235.9,1564841.14,0,22004908.9,703565.55,21653392.62,12131673.92,12350956.8,1666591.02,8511730.04,18688139.67,4632768.85,23306.4,105329.75,1584568.81,0,0,450594.17,522808.44,5834565.25,24592982.73,2024733.69,0,0,124773860.75,446672.8,3064811.24,5440472.94,7941287.9,16331819.8,4866805.35,0,1879981.84,33131695.78,52139094.38,5200288.38,59883479.9,809811.6,574946.85,2467775.2,2603594.64,648439.2,37256543.74,744998.98,80.8,1919840.32,75358165.98,1004453537.05,54,100405.525532,10003.9667311922,94988.25,0,0,0,0,0,21653392.62,0,232739.22,0,0,0,21981120.09,3,2252.741655,9757.49706639131
3438514.2,104491106.16,20714016,22412817,2606862.72,58231259.33,0,1105215.09,8408214.5,1851640.32,110576635.86,45942242.25,37215815.84,10598967.45,655178.55,1536635.64,0,21960364.55,676656.27,22064294.68,12160878.72,12485267.8,1625126.94,8551879.71,18816442.71,4571587.75,22976.46,105548.05,1604597.39,0,0,421832.84,523652.36,5696059.25,24644737.62,2042358.1,0,0,124349410.08,435909.6,2963754.36,5631846.36,7978561.22,16191028.25,4686553.3,0,1893419.28,33100690.67,51624622.2,5223929.76,59707762.19,791712.9,580369.05,2492402,2598290.46,658003.2,37166171.64,747346.82,80.8,1958036.5,75134665.59,1003673948.34,54,100405.525532,9996.20233071856,96736.5,0,0,0,0,0,22064294.68,0,254420.25,0,0,0,22415451.43,3,2252.741655,9950.29828664486
