"","X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P.","total_market_cap","number_of_stocks","divisor","index"
"1",98484.75,0,0,0,0,0,22200170.66,0,228761.14,0,0,0,22527416.55,3,2252.741655,10000
"2",99067.5,0,0,0,0,0,22118317.66,0,222153.79,0,0,0,22439538.95,3,2252.741655,9960.99082209229
"3",98484.75,0,0,0,0,0,22067568.8,0,208058.11,0,0,0,22374111.66,3,2252.741655,9931.94741631392
"4",100233,0,0,0,0,0,22113406.48,0,229494.44,0,0,0,22443133.92,3,2252.741655,9962.58664200889
"5",107226,0,0,0,0,0,22003723.46,0,225954.68,0,0,0,22336904.14,3,2252.741655,9915.43086639466
"6",99067.5,0,0,0,0,0,21805639.2,0,239966.23,0,0,0,22144672.93,3,2252.741655,9830.09875138123
"7",98484.75,0,0,0,0,0,21815461.56,0,228462.01,0,0,0,22142408.32,3,2252.741655,9829.09348298085
"8",98484.75,0,0,0,0,0,21627199.66,0,227282.09,0,0,0,21952966.5,3,2252.741655,9744.99958806861
"9",94988.25,0,0,0,0,0,21653392.62,0,232739.22,0,0,0,21981120.09,3,2252.741655,9757.49706639131
"10",96736.5,0,0,0,0,0,22064294.68,0,254420.25,0,0,0,22415451.43,3,2252.741655,9950.29828664486
"11",92657.25,0,0,0,0,0,22097035.88,0,234214.12,0,0,0,22423907.25,3,2252.741655,9954.05185509388
"12",89160.75,0,0,0,0,0,21835106.28,0,221677.47,0,0,0,22145944.5,3,2252.741655,9830.66320580821
"13",87995.25,0,0,0,0,0,21641933.2,0,237753.88,0,0,0,21967682.33,3,2252.741655,9751.53199712996
"14",90326.25,0,0,0,0,0,22142873.56,0,225954.68,0,0,0,22459154.49,3,2252.741655,9969.6982297777
"15",90909,0,0,0,0,0,22609435.66,0,222414.92,0,0,0,22922759.58,3,2252.741655,10175.4941713456
"16",89743.5,0,0,0,0,0,22638902.74,0,231706.79,0,0,0,22960353.03,3,2252.741655,10192.1820369589
"17",90909,0,0,0,0,0,22503026.76,0,222857.39,0,0,0,22816793.15,3,2252.741655,10128.4552977292
"18",89743.5,0,0,0,0,0,22529219.72,0,231854.28,0,0,0,22850817.5,3,2252.741655,10143.5588272105
"19",93240,0,0,0,0,0,23259348.48,0,233624.16,0,0,0,23586212.64,3,2252.741655,10470.00333467
"20",96736.5,0,0,0,0,0,23138206.04,0,242916.03,0,0,0,23477858.57,3,2252.741655,10421.9045792004
"21",96736.5,0,0,0,0,0,23441062.14,0,247340.73,0,0,0,23785139.37,3,2252.741655,10558.3076147274
"22",96736.5,0,0,0,0,0,23441062.14,0,247340.73,0,0,0,23785139.37,3,2252.741655,10558.3076147274
"23",90909,0,0,0,0,0,23539285.74,0,251617.94,0,0,0,23881812.68,3,2252.741655,10601.221239459
"24",97319.25,0,0,0,0,0,22961403.56,0,244095.95,0,0,0,23302818.76,3,2252.741655,10344.2037875399
"25",76557.6,0,0,0,0,0,23705671.8,0,299820.52,0,0,0,24082049.92,3,2252.741655,10690.1072595473
"26",73367.7,0,0,0,0,0,23538064.32,0,294124.12,0,0,0,23905556.14,3,2252.741655,10611.7610454537
"27",73823.4,0,0,0,2566,0,23315694,0,277034.92,0,0,0,23669118.32,4,2230.46092148298,10611.7610454537
"28",72912,0,0,0,2554,0,24007697.16,0,271718.28,0,0,0,24354881.44,4,2230.46092148298,10919.214591667
