"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P."
5.25,124.08,96.12,122.24,4.57,24.56,0,1.76,86.44,41.48,221.26,26.8,63.33,35.26,8.95,13.64,0,5.13,11.99,135.61,43.02,87.97,245.95
5.19,123.91,95.58,124.32,4.48,24.77,0,1.71,85.43,41.28,221.84,26.8,65.46,35.32,8.99,13.61,0,5.02,11.97,135.11,42.69,87.49,244.94
5.18,125.35,95.85,123.62,4.49,24.67,0,1.73,86.05,41.52,222.74,26.8,65.12,35.3,8.97,13.38,0,5.04,12.05,134.8,42.47,88.1,219.59
5.14,125.3,94.74,122.41,4.49,24.55,0,1.7,85.74,41.01,221.38,25.2,66.03,34.89,9.27,13.72,0,5.04,11.92,135.08,42.75,88.71,224.8
5.19,125.18,94.9,123.33,4.52,24.64,0,1.7,85.89,41.06,218.41,25.07,67.67,34.95,9.8,13.59,0,5.18,12.45,134.41,42.64,87.9,217.94
5.33,126.28,95.15,123.97,4.47,24.88,0,1.73,87.75,41.32,223.9,26.54,71.15,36.08,10.02,14.21,0,5.18,12.56,133.2,42.74,87.42,215.84
5.22,127.08,96.87,125.58,4.55,24.92,0,1.72,87.52,41.21,225.55,26.89,70.93,36.18,9.85,13.6,0,5.14,12.61,133.26,42.75,87.82,211.27
5.33,128.99,96.27,123.97,4.53,24.73,0,1.68,86.05,40.46,227.49,27,71.58,36.68,9.84,13.67,0,5.01,12.59,132.11,41.78,87.57,210
5.22,127.95,94.76,122.35,4.41,24.5,0,1.64,85.27,41.32,230,27.9,72.51,36.77,10.26,13.87,0,4.94,12.55,132.27,41.54,87.36,213.83
5.24,128.24,96,123.1,4.58,24.59,0,1.61,85.82,40.98,231.61,27.55,71.12,36.45,9.97,13.62,0,4.93,12.07,134.78,41.64,88.31,208.51
5.3,131,97.69,124.32,4.61,24.95,0,1.64,91.16,41.48,229.29,27.25,70.27,36.32,10.11,13.7,0,5.04,12.18,134.98,42.08,92.19,209.66
5.33,129.62,97.28,122.99,4.61,24.73,0,1.69,93.4,41.43,229.14,26.84,69.68,36.19,10.11,13.7,0,4.99,12,133.38,41.59,92.12,205.77
5.34,129.45,94.79,122.18,4.6,24.28,0,1.69,91.16,42.48,224.04,26.82,67.59,35.62,10.01,14.03,0,5.05,11.93,132.2,40.97,93.81,201.9
5.31,131.46,95.42,121.2,4.66,24.26,0,1.7,91.23,42.25,222.65,26.7,67.61,35.4,9.82,13.75,0,5.03,12.11,135.26,41.77,93.88,209.57
5.52,135.9,98.03,124.66,4.68,24.8,0,1.73,93.09,42.9,223.26,26.99,68.11,35.34,10.05,14.17,0,5.05,12.01,138.11,42.13,95.13,210.41
5.43,135.79,97.75,123.97,4.63,24.77,0,1.73,92.39,42.36,223.57,27.1,67.42,35.06,10.06,13.73,0,5.06,12.08,138.29,42.46,94.09,213.4
5.55,134.17,98.29,124.37,4.77,24.99,0,1.74,94.17,41.83,223.96,27.37,67.68,35.18,10.23,13.81,0,5.11,12.17,137.46,42.61,93.88,212.85
5.56,136.19,98.18,124.43,4.77,25.32,0,1.76,95.02,42.58,222.59,27.08,67.36,35.15,10.25,13.96,0,5.11,12.35,137.62,42.14,92.5,212.36
5.61,137.29,98.17,123.62,4.75,25.13,0,1.76,92.94,43.43,221.45,26.51,67.44,35.03,9.76,13.74,0,5.04,12.02,142.08,42.23,92.25,213.7
5.57,138.38,95.74,122.35,4.65,24.88,0,1.77,91.46,42.59,220.48,26.33,66.65,34.91,9.61,13.63,0,5,11.95,141.34,41.97,92.11,215.39
5.63,140.34,97.9,125.06,4.8,25.29,0,1.76,91.16,42.59,221.82,26.38,67.18,35.24,9.61,13.63,0,4.91,12.02,143.19,42.03,92.5,212.92
5.62,142.13,97.84,123.97,4.75,25.29,0,1.76,91.46,45.89,221.67,26.21,66.14,35.08,9.17,13.68,0,4.97,12.13,143.19,42.03,92.5,212.92
5.55,141.44,97.99,124.32,4.75,25.28,0,1.72,91,44.18,216.36,25.27,65.09,33.24,9.08,13.91,0,4.91,12.02,143.79,42.6,93.37,218.49
5.54,140.63,97.05,124.2,4.79,25.09,0,1.77,92.94,45.1,223.21,25.03,65.62,32.94,8.89,13.52,0,4.92,11.53,140.26,41.02,92.03,213.62
5.69,139.36,97.13,124.55,4.82,25.12,0,1.77,92.78,44.88,222.67,25.82,67.7,33.35,8.93,13.95,0,4.95,11.44,142.85,41.56,93.17,214.72
5.79,140.06,97.7,125.53,4.85,25.54,0,1.79,93.24,44.93,230.78,26.75,70.3,33.9,8.88,13.75,0,4.87,11.55,141.84,40.81,92.75,214.43
5.76,135.04,93.47,120.74,4.61,24.96,0,1.8,92.24,43.72,229.34,26.67,69.69,33.88,8.81,13.52,0,4.95,11.37,140.5,40.61,91.96,207.53
5.83,134.23,92.43,120.05,4.6,24.84,0,1.76,92.08,43.38,224.25,26.35,69.15,33.34,8.94,13.31,0,4.9,11.4,144.67,41.88,95.14,212.85
5.85,137.12,94.42,121.37,4.72,24.96,0,1.77,92.01,43.32,223.41,26.61,68.48,33.67,9.11,13.14,0,4.91,11.48,141.8,41.25,94.75,214
5.79,135.21,93.16,120.16,4.65,24.6,0,1.76,89.76,43.18,220.74,25.88,66.96,32.94,8.89,13.21,0,4.79,11.48,142.99,41.21,94.59,220.41
5.77,134.17,92.96,118.2,4.56,24.33,0,1.74,90.61,42.14,223.37,25.9,67.07,32.43,8.51,12.74,0,4.88,11.12,140.18,41.06,93.72,214.6
5.77,133.83,92.8,118.72,4.56,24.06,0,1.74,89.99,41.79,221.8,25.54,67.2,32.31,8.87,12.7,0,4.84,11.04,139.98,40.19,93.39,217.71
5.85,129.62,91.16,117.63,4.53,23.73,0,1.73,88.52,41.09,220.19,25.62,67.59,32.55,8.79,12.74,0,4.83,11.03,138.3,40.02,92.68,213.62
5.7,127.31,89.34,115.84,4.41,23.59,0,1.72,87.75,41.43,222.99,25.95,68.55,32.84,8.73,13.05,0,4.77,10.83,137.69,40.4,91.91,206.54
5.77,129.62,91.07,118.15,4.58,23.91,0,1.7,90.38,41.11,223.41,26.17,68.22,32.81,8.64,13.06,0,4.72,10.75,139.28,40.55,93.72,205.49
5.9,130.43,91.09,119.7,4.64,24.06,0,1.74,93.09,42.71,222.79,25.96,67.14,32.82,8.53,12.85,0,4.79,11.1,142.96,41.31,94.16,207.76
5.97,133.89,91.82,122.18,4.66,24.08,0,1.77,94.1,42.65,224.82,26.6,67.86,33.26,8.52,12.93,0,4.8,11.08,139.89,40.6,93.72,207.35
