"A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P."
1.61,64.18,14.28,75.42,5.81,2.86,0.65,90.32,190.5,58.58,112.71,221.04,23.48,28.1,28.09,69.29,13.92,150.78,58.61,0.8,89.21,98.61
1.59,65.04,14.06,76,5.77,2.89,0.65,88.08,190.07,58.42,113.82,218.25,23.39,29.09,28.04,68.95,13.97,149.97,57.89,0.8,96,98
1.67,65.71,13.72,76.03,5.78,2.92,0.65,88.11,187.75,58.04,119.94,219.83,23.41,28.9,28.3,69.56,13.72,148.58,56.94,0.8,97.04,98.32
1.62,67.16,13.77,76.47,5.83,2.94,0.69,89,189.54,58.62,121.08,220.59,23.88,29.43,28.27,69.9,13.76,148.72,55.7,0.8,98.75,99.18
1.68,66.7,13.6,75.96,5.83,2.96,0.68,89.32,186.64,58.98,121.63,218.9,20.91,29.83,28.66,70.55,13.79,147.17,56.36,0.8,99.32,98.68
1.67,66.64,13.82,76.65,5.88,3.02,0.69,89.6,186.17,59.18,120.37,218.83,20.58,29.57,28.62,70.08,13.55,147.28,54.54,0.8,100.58,98.41
1.65,68.75,13.7,76.71,5.75,2.98,0.68,90.84,186.42,59.45,130.13,218.6,20.16,29.73,29.22,70.24,13.34,147.07,49.14,0.8,100.32,98.63
1.62,71.87,14.15,77.48,5.84,2.97,0.67,89.83,184.01,59.45,129,216.63,20.19,30.01,29.12,70.1,13.96,145.92,52.87,0.8,100.59,99.01
1.66,70.36,13.93,76.7,5.8,2.97,0.68,89.54,181.66,58.78,127.58,214.7,19.24,29.69,29.06,68.72,13.56,144.29,50.77,0.8,99.52,97.78
1.62,68.04,14.42,77.06,5.75,2.86,0.68,90.18,181.49,58.2,128.16,214.07,18.81,29.97,29.35,68.58,13.76,143.94,50.93,0.8,101.5,97.49
1.65,66.17,14.5,77.66,5.76,2.84,0.68,92.76,181.7,57.96,130.58,215.11,18.55,29.65,29.71,68.52,13.53,143.31,49.74,0.8,100.13,98.31
1.68,63.15,14.06,76.25,5.98,2.28,0.69,95.06,180.31,58.52,127.99,213.58,18.11,29.33,28.46,67.5,13.53,141.85,49.54,0.8,98.06,97.08
1.67,61.15,14.07,75.58,5.96,2.18,0.7,92.24,178.82,56.91,127.49,213.16,17.4,29.69,28.79,67.48,13.16,140.6,48.95,0.8,95.98,96.23
1.65,65.64,14.45,78.07,6.1,2.25,0.76,94.2,186.61,57.7,131.45,220.67,17.38,30.35,29.22,69.28,13.43,143.28,49.95,0.8,97.02,98.02
1.74,66.9,15.23,80.85,6.22,2.36,0.74,96.49,186.14,57.54,131.75,222.39,16.76,30.64,28.9,69.28,13.3,142.87,49.65,0.8,96.93,97.38
