"U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P."
21.76,48.44,67.3,33.34,9.31,20,0,0
22.8,48.85,69.9,33.42,9.34,19.98,0,0
23.19,49.51,69.95,33.66,9.35,19.99,0,0
23.78,50.61,72.19,33.95,9.35,20.41,0,0
24.14,50.91,74.26,34.63,9.33,20.65,0,0
24.03,49.69,72.87,34.04,9.44,20.67,0,0
23.91,49.55,72.98,34.35,9.75,20.89,0,0
23.84,49.78,73.99,34.01,9.63,21.12,0,0
23.32,46.61,68.15,33.2,9.65,20.57,0,0
23.43,46.93,67.25,32.73,9.67,20.83,0,0
23.3,46.49,65.8,32.83,9.93,20.68,0,0
22.8,46.03,64.7,32.77,10.02,20.34,0,0
22.51,45.69,62.2,32.33,9.69,19.9,0,0
22.63,46.02,63.49,32.14,9.9,19.58,0,0
22.25,45.35,61.56,32.39,10.05,19.98,0,0
22.72,45.99,61.31,32.29,10.18,20.57,0,0
22.53,46.07,61.78,32.4,10.3,20.37,0,0
22.46,45.08,59.56,32.47,10.3,20.17,0,0
22.67,45.19,60.23,32.02,10.19,19.95,0,0
22.96,44.9,62.95,32.11,10.22,20.17,0,0
22.92,44.82,62.25,32.34,10.36,20.22,0,0
22.92,44.82,62.25,32.34,10.36,20.22,0,0
22.77,44.32,61.05,32.21,10.4,20.35,0,0
22.74,44.06,62.77,32.17,10.5,19.59,0,0
23.28,44.8,66.81,32.81,10.6,19.7,0,0
23.43,45.18,68.5,32.65,10.6,20.07,0,0
22.39,43.54,65.08,32.45,10.64,19.53,0,0
22.63,43.69,64.6,32.48,10.66,19.69,0,0
22.32,43.12,64.6,32.29,10.52,19.23,0,0
21.91,42.55,61.8,31.64,10.6,18.91,0,0
22.06,43.7,69.91,31.75,10.57,18.9,0,0
22.06,42.8,66.46,31.8,10.51,18.66,0,0
21.05,41.26,63.13,30.9,10.25,18,0,0
20.81,40.42,62.77,30.79,10.24,16.82,0,0
21.15,41.49,66.04,31.28,10.01,17.21,0,0
22.08,43.4,68.99,31.91,9.89,18.94,0,0
21.45,41.82,64.27,31.59,9.62,19.1,0,0
21.17,41.53,63.4,31.55,9.95,18.7,0,0
21.62,42.04,65.76,30.74,9.59,19.39,0,0
21.74,42.93,67.65,30.88,9.73,19.07,0,0
22.5,44.51,68.95,31.36,9.82,19.31,0,0
22.51,44.36,69.17,31.62,9.85,19.72,0,0
22.51,44.36,69.17,31.62,9.85,19.72,0,0
22.63,44.12,68.34,31.1,10.09,19.56,0,0
22.94,44.38,70.12,31.5,10.17,19.83,0,0
22.52,43.99,68.64,31.59,10.14,19.92,0,0
22.72,43.84,69.19,31.73,10.23,19.87,0,0
22.72,43.84,69.19,31.73,10.23,19.87,0,0
22.25,43.4,68.77,31.03,10.04,19.01,0,0
22.75,44.04,70.07,31.24,10.18,19.07,0,0
22.39,42.69,66.44,30.31,10.1,19.11,0,0
20.62,38.78,60.19,29.04,10.02,17.78,0,0
20.49,39.01,57.74,28.8,10.02,18.58,0,0
20.83,38.99,56.79,28.9,10.02,18.55,0,0
21.13,38.91,55.62,29,10.1,18.14,0,0
20.02,36.97,52.47,28.08,9.94,17.38,0,0
20.27,37.45,51.5,28.38,10.03,17.84,0,0
19.86,38.72,58.37,27.74,10.04,17.89,0,0
19.86,38.72,58.37,27.74,10.04,17.89,0,0
19.63,38.43,59.13,28.12,10.02,17.27,0,0
19.11,37.21,56.33,27.61,10.06,16.52,0,0
19.02,37.64,56.68,27.78,9.88,16.46,0,0
19.34,39.03,59.17,28.58,9.94,16.87,0,0
18.89,39.11,61,28.48,9.88,16.4,0,0
19.11,40.87,63.41,29.02,9.92,16.69,0,0
19.47,41.59,62.23,29.2,10,16.96,0,0
19.28,42.79,63.15,29.67,9.98,17.24,0,0
20.08,45.1,67.34,30.73,9.97,17.81,0,0
20.05,44.63,67.1,30.78,10,17.85,0,0
19.09,42.2,62,30.01,9.94,17.03,0,0
18.55,42.56,63.17,30.05,9.99,16.64,0,0
18.77,42.68,63.78,29.87,10.07,16.83,0,0
17.88,41.98,61.91,29.27,10.01,15.86,0,0
16.87,40.53,58.8,28.75,9.89,15.04,0,0
16.56,39.58,58.45,28.3,9.85,15.04,0,0
17.17,40.13,58.14,28.24,9.81,15.36,0,0
16.93,40.25,59.69,28.05,9.98,14.96,0,0
18.11,44.09,69.14,29,10.08,15.98,0,0
18.11,44.09,69.14,29,10.08,15.98,0,0
19.15,45.82,74.65,29.95,10.05,16.81,0,0
20.07,46.32,76.21,30.49,10.05,17.25,0,0
18.4,46.02,78.45,30.53,9.97,17.07,0,0
18.06,45.86,77.18,30.41,10,16.3,0,0
