"X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P."
25.35,0,0,0,0,0,135.61,0,15.58,0,0,0
25.5,0,0,0,0,0,135.11,0,15.13,0,0,0
25.35,0,0,0,0,0,134.8,0,14.17,0,0,0
25.8,0,0,0,0,0,135.08,0,15.56,0,0,0
27.6,0,0,0,0,0,134.41,0,15.32,0,0,0
25.5,0,0,0,0,0,133.2,0,16.27,0,0,0
25.35,0,0,0,0,0,133.26,0,15.49,0,0,0
25.35,0,0,0,0,0,132.11,0,15.41,0,0,0
24.45,0,0,0,0,0,132.27,0,15.78,0,0,0
24.9,0,0,0,0,0,134.78,0,17.25,0,0,0
23.85,0,0,0,0,0,134.98,0,15.88,0,0,0
22.95,0,0,0,0,0,133.38,0,15.03,0,0,0
22.65,0,0,0,0,0,132.2,0,16.12,0,0,0
23.25,0,0,0,0,0,135.26,0,15.32,0,0,0
23.4,0,0,0,0,0,138.11,0,15.08,0,0,0
23.1,0,0,0,0,0,138.29,0,15.71,0,0,0
23.4,0,0,0,0,0,137.46,0,15.11,0,0,0
23.1,0,0,0,0,0,137.62,0,15.72,0,0,0
24,0,0,0,0,0,142.08,0,15.84,0,0,0
24.9,0,0,0,0,0,141.34,0,16.47,0,0,0
24.9,0,0,0,0,0,143.19,0,16.77,0,0,0
24.9,0,0,0,0,0,143.19,0,16.77,0,0,0
23.4,0,0,0,0,0,143.79,0,17.06,0,0,0
25.05,0,0,0,0,0,140.26,0,16.55,0,0,0
25.2,0,0,0,0,0,142.85,0,15.79,0,0,0
24.15,0,0,0,0,0,141.84,0,15.49,0,0,0
24.3,0,0,0,25.66,0,140.5,0,14.59,0,0,0
24,0,0,0,25.54,0,144.67,0,14.31,0,0,0
22.8,0,0,0,25.54,0,141.8,0,13.78,0,0,0
22.95,0,0,0,25.05,0,142.99,0,15.18,0,0,0
23.1,0,0,0,25.05,0,140.18,0,16,0,0,0
22.95,0,0,0,25.35,0,139.98,0,16.22,0,0,0
22.8,0,0,0,24.96,0,138.3,0,15.17,0,0,0
22.65,0,0,0,24.96,0,137.69,0,14.67,0,0,0
22.65,0,0,0,24.96,0,139.28,0,15.33,0,0,0
22.35,0,0,0,24.55,0,142.96,0,15.79,0,0,0
22.95,0,0,0,24.55,0,139.89,0,15.32,0,0,0
22.65,0,0,0,24.55,0,138.57,0,15.34,0,0,0
24.6,0,0,0,24.55,0,141.4,0,15.66,0,0,0
25.95,0,0,0,24.55,0,142.63,0,15.3,0,0,0
24.75,0,0,0,24.55,0,143.69,0,15.6,0,0,0
24.75,0,0,0,24.5,0,143.03,0,15.42,0,0,0
24.75,0,0,0,24.5,0,143.03,0,15.42,0,0,0
25.35,0,0,0,24.5,0,143.27,0,15.37,0,0,0
25.65,0,0,0,24.5,0,144.25,0,16.12,0,0,0
24.9,0,0,0,24.5,0,144.17,0,15.79,0,0,0
24.3,0,0,0,24.5,0,142.44,0,16.86,0,0,0
24.3,0,0,0,24.5,0,142.44,0,16.86,0,0,0
23.7,0,0,0,24.5,0,140.69,0,16.69,0,0,0
24.75,0,0,0,24.5,0,143.62,0,17.54,0,0,0
