"D.2TP.P.","BATS.P.","ID.GUD.P.","X.IMBBY.P.","U.VGR.P.","U.STZ.P.","U.TPB.P.","U.RLX.P.","U.PM.P."
0.53,51.13,3.2,53.35,20.32,135.61,0,0,89.4
0.57,51.1,3.05,53.76,20.21,135.11,0,0,89.26
0.57,50.69,3.05,53.88,19.95,134.8,0,0,88.4
0.6,50.17,3.09,53.95,19.86,135.08,0,0,88.81
0.5,50.46,3.18,53.9,19.07,134.41,0,0,88.34
0.47,50.66,3.43,53.88,19.14,133.2,0,0,88.07
0.47,50.7,3.41,53.4,19.49,133.26,0,0,88.16
0.47,50.04,3.42,52.82,19.53,132.11,0,0,86.37
0.47,49.56,3.37,52.27,19.53,132.27,0,0,85.25
0.44,49.64,3.29,52.38,19.7,134.78,0,0,84.96
0.53,49.71,3.34,52.92,19.86,134.98,0,0,85.05
0.53,48.92,3.48,52.55,19.65,133.38,0,0,84.02
0.4,48.67,3.37,52.26,19.66,132.2,0,0,83.4
0.4,49.14,3.46,55.12,19.82,135.26,0,0,84.35
0.31,50.07,3.63,54.6,19.85,138.11,0,0,83.84
0.27,50.02,3.52,53.99,20.03,138.29,0,0,85.43
0.3,50.71,3.5,53.27,20.16,137.46,0,0,86.25
0.32,50.83,3.64,53.63,20.34,137.62,0,0,85.99
0.35,50.82,3.51,53.76,20.45,142.08,0,0,86.59
0.28,50.57,3.51,53.6,20.61,141.34,0,0,86.9
0.3,50.87,3.58,53.94,20.62,143.19,0,0,87.17
0.28,50.9,3.66,53.94,20.62,143.19,0,0,87.17
0.36,51.21,3.55,54.48,20.7,143.79,0,0,87.42
0.36,50.81,3.47,53.92,20.82,140.26,0,0,87.39
0.35,51.05,3.62,54.65,20.8,142.85,0,0,87.78
0.42,51.11,3.61,53.93,20.9,141.84,0,0,87.3
0.37,50.12,3.66,54.2,20.82,140.5,0,0,87.34
0.35,49.66,3.64,53.96,20.92,144.67,0,0,89.7
0.29,50.38,3.6,53.7,20.45,141.8,0,0,88.79
0.18,49.91,3.64,52.69,20.44,142.99,0,0,88.77
0.21,49.1,3.64,52.54,20.09,140.18,0,0,88.02
0.18,48.52,3.69,51.98,19.52,139.98,0,0,87.73
0.17,47.27,3.61,51.83,18.99,138.3,0,0,86.32
0.18,47.15,3.44,51.76,19.05,137.69,0,0,87.16
0.16,48.41,3.5,52.5,19.18,139.28,0,0,87.84
0.17,48.85,3.61,53.09,19.39,142.96,0,0,90.15
0.17,49.03,3.66,52.26,19.13,139.89,0,0,89.08
0.15,48.16,3.68,51.45,18.86,138.57,0,0,86.92
0.16,48.04,3.68,51.52,19.19,141.4,0,0,86.62
0.18,48.2,3.81,51.9,19.38,142.63,0,0,87.66
0.18,49.2,3.84,52.84,19.77,143.69,0,0,89.08
0.18,49.66,3.84,53,19.63,143.03,0,0,88.86
0.18,49.66,3.84,53,19.63,143.03,0,0,88.86
0.16,49.66,3.83,52.63,19.63,143.27,0,0,88.59
0.16,49.99,3.87,53.65,19.73,144.25,0,0,89.36
0.15,49.77,3.91,53.12,19.69,144.17,0,0,88.98
0.15,49.53,3.91,52.88,19.41,142.44,0,0,87.91
0.15,49.53,3.91,52.88,19.41,142.44,0,0,87.91
0.15,48.41,3.81,52.26,18.99,140.69,0,0,87
0.13,48.72,3.79,52.02,19.08,143.62,0,0,87.87
0.12,48.97,3.89,52.35,18.95,143.12,0,0,87.85
0.12,48.13,3.84,51.21,18.9,149.61,0,0,87.25
0.12,47.69,3.91,50.6,18.6,147,0,0,86.71
0.15,47.92,3.87,51.16,18.98,147.05,0,0,89.17
0.15,48.57,3.98,52.06,19.03,147.04,0,0,89.09
0.15,48.87,3.97,51.23,18.96,144.13,0,0,88.31
0.15,47.8,3.96,51.3,19.26,143.25,0,0,87.88
0.12,47.22,4,49.92,18.74,142.75,0,0,86.29
0.13,47.44,3.94,49.92,18.74,142.75,0,0,86.29
0.13,47.9,3.91,50.4,18.72,145.62,0,0,87.47
0.13,46.83,3.94,49.12,18.46,145.14,0,0,85.86
0.13,47.02,3.93,49.28,18.47,143.45,0,0,85.8
0.14,47.62,3.92,50.98,18.9,148.76,0,0,86.87
0.14,48.03,3.9,50.83,18.63,148.25,0,0,86.68
0.15,48.38,3.97,51.58,18.59,148.38,0,0,87.31
0.15,49.44,4.17,52.22,18.57,146.11,0,0,88.09
0.15,49.5,4.12,52.73,18.82,151.82,0,0,89.06
0.2,51.19,4.14,54.18,19.19,152.48,0,0,90.01
0.2,50.75,4.12,54.88,19.39,154.36,0,0,89.41
0.15,50.65,4.11,54.2,19.18,152.51,0,0,89.35
0.15,49.98,4.14,54.1,18.96,150.4,0,0,89.79
0.15,49.3,4.25,52.74,18.84,146.95,0,0,89.1
0.15,48.95,4.27,50.55,18.75,137.95,0,0,89.55
0.15,49.01,4.27,50.98,18.31,134.95,0,0,89.72
0.13,49.08,4.3,50.74,18.1,136.09,0,0,90.02
0.17,48.5,4.37,50.45,18.33,138.8,0,0,89.23
0.17,48.35,4.33,52.27,17.9,135.61,0,0,88.34
