Name,KWEICHOW MOUTAI 'A',KWEICHOW MOUTAI 'A' - EARNINGS PER SHR,KWEICHOW MOUTAI 'A' - ASK PRICE,KWEICHOW MOUTAI 'A' - BID PRICE,CONSTELLATION BRANDS 'A',CONSTELLATION BRANDS 'A' - EARNINGS PER SHR,CONSTELLATION BRANDS 'A' - ASK PRICE,CONSTELLATION BRANDS 'A' - BID PRICE,WULIANGYE YIBIN 'A',WULIANGYE YIBIN 'A' - EARNINGS PER SHR,WULIANGYE YIBIN 'A' - ASK PRICE,WULIANGYE YIBIN 'A' - BID PRICE,DIAGEO,DIAGEO - EARNINGS PER SHR,DIAGEO - ASK PRICE,DIAGEO - BID PRICE,ANHEUSER-BUSCH INBEV,ANHEUSER-BUSCH INBEV - EARNINGS PER SHR,ANHEUSER-BUSCH INBEV - ASK PRICE,ANHEUSER-BUSCH INBEV - BID PRICE,HEINEKEN,HEINEKEN - EARNINGS PER SHR,HEINEKEN - ASK PRICE,HEINEKEN - BID PRICE,PERNOD-RICARD,PERNOD-RICARD - EARNINGS PER SHR,PERNOD-RICARD - ASK PRICE,PERNOD-RICARD - BID PRICE,JIANGSU YANGHE BREW.JST. 'A',JIANGSU YANGHE BREW.JST. 'A' - EARNINGS PER SHR,JIANGSU YANGHE BREW.JST. 'A' - ASK PRICE,JIANGSU YANGHE BREW.JST. 'A' - BID PRICE,AMBEV ON,AMBEV ON - EARNINGS PER SHR,AMBEV ON - ASK PRICE,AMBEV ON - BID PRICE,BROWN-FORMAN 'B',BROWN-FORMAN 'B' - EARNINGS PER SHR,BROWN-FORMAN 'B' - ASK PRICE,BROWN-FORMAN 'B' - BID PRICE,BUDWEISER BREWING COMPANY APAC,BUDWEISER BREWING COMPANY APAC - EARNINGS PER SHR,BUDWEISER BREWING COMPANY APAC - ASK PRICE,BUDWEISER BREWING COMPANY APAC - BID PRICE,CARLSBERG B,CARLSBERG B - EARNINGS PER SHR,CARLSBERG B - ASK PRICE,CARLSBERG B - BID PRICE,CHINA RESOURCES BEER HOLDINGS,CHINA RESOURCES BEER HOLDINGS - EARNINGS PER SHR,CHINA RESOURCES BEER HOLDINGS - ASK PRICE,CHINA RESOURCES BEER HOLDINGS - BID PRICE,DAVIDE CAMPARI MILANO,DAVIDE CAMPARI MILANO - EARNINGS PER SHR,DAVIDE CAMPARI MILANO - ASK PRICE,DAVIDE CAMPARI MILANO - BID PRICE,TSINGTAO BREWERY 'A',TSINGTAO BREWERY 'A' - EARNINGS PER SHR,TSINGTAO BREWERY 'A' - ASK PRICE,TSINGTAO BREWERY 'A' - BID PRICE,MOLSON COORS BEVERAGE COMPANY B,MOLSON COORS BEVERAGE COMPANY B - EARNINGS PER SHR,MOLSON COORS BEVERAGE COMPANY B - ASK PRICE,MOLSON COORS BEVERAGE COMPANY B - BID PRICE,UNITED SPIRITS,UNITED SPIRITS - EARNINGS PER SHR,UNITED SPIRITS - ASK PRICE,UNITED SPIRITS - BID PRICE,BECLE DE CV,BECLE DE CV - EARNINGS PER SHR,BECLE DE CV - ASK PRICE,BECLE DE CV - BID PRICE,BOSTON BEER 'A',BOSTON BEER 'A' - EARNINGS PER SHR,BOSTON BEER 'A' - ASK PRICE,BOSTON BEER 'A' - BID PRICE,TREASURY WINE ESTATES,TREASURY WINE ESTATES - EARNINGS PER SHR,TREASURY WINE ESTATES - ASK PRICE,TREASURY WINE ESTATES - BID PRICE,ROYAL UNIBREW,ROYAL UNIBREW - EARNINGS PER SHR,ROYAL UNIBREW - ASK PRICE,ROYAL UNIBREW - BID PRICE,UNITED BREWERIES,UNITED BREWERIES - EARNINGS PER SHR,UNITED BREWERIES - ASK PRICE,UNITED BREWERIES - BID PRICE,COMPANIA CERVECERIAS UNIDAS,COMPANIA CERVECERIAS UNIDAS - EARNINGS PER SHR,COMPANIA CERVECERIAS UNIDAS - ASK PRICE,COMPANIA CERVECERIAS UNIDAS - BID PRICE
Code,CN:KCM(P),CN:KCM(EPS),CN:KCM(PA),CN:KCM(PB),U:STZ(P),U:STZ(EPS),U:STZ(PA),U:STZ(PB),CN:YWU(P),CN:YWU(EPS),CN:YWU(PA),CN:YWU(PB),DGE(P),DGE(EPS),DGE(PA),DGE(PB),B:ABI(P),B:ABI(EPS),B:ABI(PA),B:ABI(PB),H:HB(P),H:HB(EPS),H:HB(PA),H:HB(PB),F:RCD(P),F:RCD(EPS),F:RCD(PA),F:RCD(PB),CN:JYB(P),CN:JYB(EPS),CN:JYB(PA),CN:JYB(PB),BR:AVS(P),BR:AVS(EPS),BR:AVS(PA),BR:AVS(PB),U:BF.B(P),U:BF.B(EPS),U:BF.B(PA),U:BF.B(PB),K:BBCA(P),K:BBCA(EPS),K:BBCA(PA),K:BBCA(PB),DK:CAB(P),DK:CAB(EPS),DK:CAB(PA),DK:CAB(PB),K:CHRE(P),K:CHRE(EPS),K:CHRE(PA),K:CHRE(PB),I:CPR(P),I:CPR(EPS),I:CPR(PA),I:CPR(PB),CN:TTB(P),CN:TTB(EPS),CN:TTB(PA),CN:TTB(PB),U:TAP(P),U:TAP(EPS),U:TAP(PA),U:TAP(PB),IN:MLC(P),IN:MLC(EPS),IN:MLC(PA),IN:MLC(PB),MX:BEC(P),MX:BEC(EPS),MX:BEC(PA),MX:BEC(PB),U:SAM(P),U:SAM(EPS),U:SAM(PA),U:SAM(PB),A:TWEX(P),A:TWEX(EPS),A:TWEX(PA),A:TWEX(PB),DK:RBR(P),DK:RBR(EPS),DK:RBR(PA),DK:RBR(PB),IN:UBB(P),IN:UBB(EPS),IN:UBB(PA),IN:UBB(PB),CL:CVZ(P),CL:CVZ(EPS),CL:CVZ(PA),CL:CVZ(PB)
CURRENCY,CH,CH,CH,CH,U$,U$,U$,U$,CH,CH,CH,CH,£,£,£,£,E,E,E,E,E,E,E,E,E,E,E,E,CH,CH,CH,CH,C,C,C,C,U$,U$,U$,U$,K$,K$,K$,K$,DK,DK,DK,DK,K$,K$,K$,K$,E,E,E,E,CH,CH,CH,CH,U$,U$,U$,U$,IR,IR,IR,IR,MP,MP,MP,MP,U$,U$,U$,U$,A$,A$,A$,A$,DK,DK,DK,DK,IR,IR,IR,IR,CE,CE,CE,CE
10/28/15,212.44,12.8,212.48,212.4,135.61,4.33,135.58,135.56,25.73,1.51,NA,NA,1869.5,95.11,1869.5,1869,107.6,4.93,107.6,107.55,83.35,3.53,83.36,83.3,106,3.26,106.1,106,60.81,3.21,60.86,60.81,19.43,0.81,19.43,19.42,43.016,1.31,43.004,43,0,0,0,0,558.5,24.69,559,558.5,13.713,0,13.731,13.694,3.96,0.13,3.96,3.9575,33.85,1.15,33.86,33.85,87.97,1.97,87.97,87.96,627.97,0,631.6,629.95,0,0,0,0,245.95,7.38,245.95,245.76,7.18,0.12,7.25,7.15,268,12.3,268,267.8,956.35,9.83,956,953.2,8261,317.61,8280,8200
10/29/15,213,12.8,212.83,212.81,135.11,4.33,135.09,135.06,25.73,1.51,NA,NA,1885.5,95.11,1886,1885.5,107.45,4.93,107.5,107.45,82.88,3.53,82.89,82.88,107.8,3.26,107.8,107.75,62.85,3.31,62.86,62.85,19,0.81,19.02,19,42.692,1.31,42.692,42.688,0,0,0,0,552,24.69,552,551.5,13.346,0,13.364,13.346,3.8825,0.13,3.8825,3.88,33.91,1.15,33.93,33.92,87.49,1.97,87.49,87.48,630.62,0,630.8,630.4,0,0,0,0,244.94,7.38,245.31,244.87,7.1,0.12,7.15,6.75,266.7,12.3,266.7,266.2,954.75,9.83,964,960,8243.8,317.61,8250,7971
10/30/15,213.86,12.8,213.97,213.75,134.8,4.33,134.78,134.76,25.73,1.51,NA,NA,1878.5,95.11,1878.5,1878,108.7,4.93,108.75,108.7,83.12,3.53,83.14,83.1,107.2,3.26,107.2,107.15,62.52,3.31,62.56,62.52,19.09,0.81,19.09,19.01,42.472,1.31,42.46,42.452,0,0,0,0,556,24.69,556,555,13.456,0,13.548,13.456,3.895,0.13,3.9075,3.895,33.89,1.15,33.91,33.9,88.1,1.97,88.11,88.1,629.09,0,628,627.9,0,0,0,0,219.59,7.38,219.45,219.28,7.08,0.12,7.1,7.05,268.3,12.3,268.3,268.1,938.55,9.83,941.5,940.25,8295.5,317.61,8360,7970.4
11/02/15,212.56,12.8,212.6,212.57,135.08,4.33,135.07,135.04,24.2,1.51,24.2,24.19,1869,95.11,1869,1868,108.65,4.93,108.65,108.55,82.15,3.53,82.2,82.15,106.15,3.26,106.35,106.15,63.4,3.31,63.41,63.4,19.09,0.81,NA,NA,42.752,1.31,42.772,42.764,0,0,0,0,554,24.69,554.5,554,13.291,0,13.291,13.199,3.8975,0.13,3.905,3.8975,33.5,1.15,33.51,33.5,88.71,1.97,88.68,88.67,650.48,0,655,653,0,0,0,0,224.8,7.38,224.96,224.87,7.02,0.12,7.05,6.95,265,12.3,265.1,265,962.5,9.83,960,959.05,8211.4,317.61,8212,8070
11/03/15,209.71,12.8,209.85,209.78,134.41,4.33,134.46,134.42,24.07,1.51,24.08,24.07,1876,95.11,1876.5,1876,108.55,4.93,108.55,108.5,82.29,3.53,82.29,82.08,106.95,3.26,107,106.9,64.97,3.31,64.98,64.97,19.6,0.81,19.6,19.55,42.64,1.31,42.64,42.636,0,0,0,0,555,24.69,556,555,13.236,0,13.236,13.218,3.9175,0.13,3.9175,3.9125,33.56,1.15,33.56,33.55,87.9,1.97,87.91,87.9,687.41,0,685.37,684.22,0,0,0,0,217.94,7.43,218.02,217.88,7.1,0.12,7.11,6.95,265.3,12.3,265.3,265.1,952.95,9.83,950,949.9,8577.8,333.21,8580,8211.4
11/04/15,214.98,12.8,215.2,215,133.2,4.33,133.26,133.24,25.48,1.51,25.49,25.48,1894,95.11,1894,1893,109.5,4.93,109.5,109.4,82.51,3.53,82.53,82.5,107.5,3.26,107.55,107.4,68.31,3.31,68.33,68.31,19.6,0.81,19.61,19.6,42.74,1.31,42.748,42.732,0,0,0,0,567,24.69,567.5,567,13.456,0,13.474,13.438,3.88,0.13,3.885,3.88,34.64,1.15,34.65,34.64,87.42,1.97,87.46,87.44,702.87,0,703.6,702.8,0,0,0,0,215.84,7.43,215.84,215.79,7.28,0.12,7.3,7,267,12.3,267,266.8,996.35,9.83,998.95,998.05,8651.3,333.21,8750,8070
11/05/15,216.56,12.8,216.67,216.66,133.26,4.33,133.26,133.23,25.82,1.51,25.82,25.81,1897,95.11,1897.5,1897,110.2,4.93,110.25,110.2,84,3.53,84.03,83.97,108.9,3.26,108.95,108.9,68.1,3.31,68.17,68.1,19.46,0.81,19.46,19.45,42.752,1.31,42.772,42.768,0,0,0,0,565.5,24.69,566,565.5,13.383,0,13.383,13.364,3.9475,0.13,3.95,3.945,34.74,1.15,34.75,34.74,87.82,1.97,87.8,87.76,690.99,0,686.6,686.49,0,0,0,0,211.27,7.43,211.52,211.25,7.13,0.12,7.3,7.03,266.3,12.3,266.5,266.1,954.1,9.83,952,951.25,8682,333.21,8708,8235
11/06/15,218.42,12.8,218.44,218.42,132.11,4.33,132.06,132.04,25.92,1.51,25.93,25.92,1882.5,95.11,1883,1882.5,111.85,4.93,111.85,111.75,83.48,3.53,83.48,83.42,107.5,3.26,107.5,107.45,68.73,3.31,68.73,68.72,18.97,0.81,NA,NA,41.776,1.31,41.764,41.756,0,0,0,0,556,24.69,556,555.5,13.089,0,13.089,13.071,3.925,0.13,3.9325,3.925,35.22,1.15,35.24,35.22,87.57,1.97,87.56,87.54,689.94,0,687.8,684.4,0,0,0,0,210,7.43,210,209.89,7.28,0.12,7.31,7.2,261.4,12.3,261.5,261.4,958.9,9.83,965,962,8672.1,333.21,8678,NA
