Name,AMYRIS - DS FREE FLOAT SHRE,GROWGENERATION - DS FREE FLOAT SHRE,ADVISORSHARES PURE (NYS) CANNABIS ETF - DS FREE FLOAT SHRE,AMPLIFY SEYMOUR CANNABIS ETF - DS FREE FLOAT SHRE,ETFMG ALTERNATIVE HARVEST ETF - DS FREE FLOAT SHRE,GLOBAL X CANNABIS ETF - DS FREE FLOAT SHRE,CONSTELLATION BRANDS 'A' - DS FREE FLOAT SHRE,INNOVATIVE INDL.PROPS. - DS FREE FLOAT SHRE,CARA THERAPEUTICS - DS FREE FLOAT SHRE,TILRAY 2 - DS FREE FLOAT SHRE,SUNDIAL GROWERS - DS FREE FLOAT SHRE,CANNTRUST HOLDINGS - DS FREE FLOAT SHRE
Code,@AMRS(FFNOSH),@GRWG(FFNOSH),U:YOLO(FFNOSH),U:CNBS(FFNOSH),U:MJ(FFNOSH),@POTX(FFNOSH),U:STZ(FFNOSH),U:IIPR(FFNOSH),@CARA(FFNOSH),@TLRY(FFNOSH),@SNDL(FFNOSH),@CNTTQ(FFNOSH)
10/28/15,3885,NA,NA,NA,NA,NA,163706,NA,14683,NA,NA,NA
10/29/15,3885,NA,NA,NA,NA,NA,163706,NA,14683,NA,NA,NA
10/30/15,3885,NA,NA,NA,NA,NA,163706,NA,14683,NA,NA,NA
11/02/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/03/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/04/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/05/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/06/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/09/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/10/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/11/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/12/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/13/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/16/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/17/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/18/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/19/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/20/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/23/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/24/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/25/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/26/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/27/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
11/30/15,3885,NA,NA,NA,NA,NA,163706,NA,14749,NA,NA,NA
12/01/15,3038,NA,NA,NA,100,NA,165948,NA,18988,NA,NA,NA
