Start,10/28/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End,10/28/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,IMPERIAL BRANDS ADR 1:1,IMPERIAL BRANDS ADR 1:1 - EARNINGS PER SHR,#ERROR,#ERROR,VECTOR GROUP,VECTOR GROUP - EARNINGS PER SHR,VECTOR GROUP - ASK PRICE,VECTOR GROUP - BID PRICE,BRITISH AMERICAN TOBACCO,BRITISH AMERICAN TOBACCO - EARNINGS PER SHR,BRITISH AMERICAN TOBACCO - ASK PRICE,BRITISH AMERICAN TOBACCO - BID PRICE,TAAT GLOBAL (FRA) ALTERNATIVES,#ERROR,TAAT GLOBAL (FRA) ALTERNATIVES - ASK PRICE,TAAT GLOBAL (FRA) ALTERNATIVES - BID PRICE,CONSTELLATION BRANDS 'A',CONSTELLATION BRANDS 'A' - EARNINGS PER SHR,CONSTELLATION BRANDS 'A' - ASK PRICE,CONSTELLATION BRANDS 'A' - BID PRICE,TURNING POINT BRANDS,TURNING POINT BRANDS - EARNINGS PER SHR,TURNING POINT BRANDS - ASK PRICE,TURNING POINT BRANDS - BID PRICE,RLX TECH.AMER.DEPY. SHS. 1:1,RLX TECH.AMER.DEPY. SHS. 1:1 - EARNINGS PER SHR,RLX TECH.AMER.DEPY. SHS. 1:1 - ASK PRICE,RLX TECH.AMER.DEPY. SHS. 1:1 - BID PRICE,PHILIP MORRIS INTL.,PHILIP MORRIS INTL. - EARNINGS PER SHR,PHILIP MORRIS INTL. - ASK PRICE,PHILIP MORRIS INTL. - BID PRICE,GUDANG GARAM,GUDANG GARAM - EARNINGS PER SHR,GUDANG GARAM - ASK PRICE,GUDANG GARAM - BID PRICE
Code,@IMBBY(P),@IMBBY(EPS),,,U:VGR(P),U:VGR(EPS),U:VGR(PA),U:VGR(PB),BATS(P),BATS(EPS),BATS(PA),BATS(PB),D:2TP(P),,D:2TP(PA),D:2TP(PB),U:STZ(P),U:STZ(EPS),U:STZ(PA),U:STZ(PB),U:TPB(P),U:TPB(EPS),U:TPB(PA),U:TPB(PB),U:RLX(P),U:RLX(EPS),U:RLX(PA),U:RLX(PB),U:PM(P),U:PM(EPS),U:PM(PA),U:PM(PB),ID:GUD(P),ID:GUD(EPS),ID:GUD(PA),ID:GUD(PB)
CURRENCY,U$,U$,,,U$,U$,U$,U$,£,£,£,£,E,,E,E,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,RI,RI,RI,RI
10/28/15,53.35,3.21,"$$ER: 0904,NO DATA AVAILABLE","$$ER: 0904,NO DATA AVAILABLE",20.3207,0.46,20.3207,20.3125,3893,196,3893,3892.5,0.46,"$$ER: 2311,NO DATA AVAILABLE",0.59,0.49,135.61,4.33,135.58,135.56,NA,NA,NA,NA,NA,NA,NA,NA,89.4,4.65,89.39,89.37,45000,2628.77,45175,45000
10/29/15,53.76,3.21,,,20.2138,0.46,20.222,20.2138,3890.5,196,3890.5,3889,0.49,,0.56,0.49,135.11,4.33,135.09,135.06,NA,NA,NA,NA,NA,NA,NA,NA,89.26,4.65,89.24,89.23,42900,2628.77,43000,42900
10/30/15,53.885,3.21,,,19.9505,0.46,19.9341,19.9258,3859.5,196,3859.5,3859,0.49,,0.6,0.41,134.8,4.33,134.78,134.76,NA,NA,NA,NA,NA,NA,NA,NA,88.4,4.65,88.42,88.41,42950,2823.51,42950,42925
11/02/15,53.95,3.21,,,19.86,0.46,19.8765,19.8682,3820,196,3820.5,3820,0.52,,0.51,0.42,135.08,4.33,135.07,135.04,NA,NA,NA,NA,NA,NA,NA,NA,88.81,4.65,88.81,88.8,43475,2823.51,43475,43450
11/03/15,53.895,2.73,,,19.0702,0.46,19.0784,19.0702,3842,196,3842,3841.5,0.43,,0.53,0.41,134.41,4.33,134.46,134.42,NA,NA,NA,NA,NA,NA,NA,NA,88.34,4.65,88.32,88.31,44850,2823.51,44875,44850
11/04/15,53.88,2.73,,,19.136,0.46,19.1278,19.1196,3857,196,3857,3855.5,0.41,,0.54,0.41,133.2,4.33,133.26,133.24,NA,NA,NA,NA,NA,NA,NA,NA,88.07,4.65,88.11,88.1,48250,2823.51,48250,48000
11/05/15,53.395,2.73,,,19.4898,0.43,19.5063,19.498,3860,196,3860.5,3860,0.41,,0.57,0.43,133.26,4.33,133.26,133.23,NA,NA,NA,NA,NA,NA,NA,NA,88.16,4.65,88.19,88.18,47975,2823.51,47975,47950
11/06/15,52.8175,2.73,,,19.5309,0.43,19.5392,19.5309,3810,196,3810.5,3810,0.41,,0.57,0.4,132.11,4.33,132.06,132.04,NA,NA,NA,NA,NA,NA,NA,NA,86.37,4.65,86.36,86.35,48100,2823.51,48100,48000
11/09/15,52.275,2.73,,,19.5309,0.43,19.5392,19.5309,3773,196,3773,3772,0.41,,0.53,0.4,132.27,4.33,132.25,132.22,NA,NA,NA,NA,NA,NA,NA,NA,85.25,4.65,85.26,85.25,47475,2823.51,47500,47475
11/10/15,52.385,2.73,,,19.6955,0.43,19.6872,19.679,3779.5,196,3779.5,3779,0.38,,0.54,0.36,134.78,4.33,134.8,134.79,NA,NA,NA,NA,NA,NA,NA,NA,84.96,4.65,84.96,84.95,46400,2823.51,46500,46400
11/11/15,52.924,2.73,,,19.86,0.43,19.8765,19.86,3784.5,196,3784.5,3784,0.46,,0.54,0.46,134.98,4.33,135.01,134.99,NA,NA,NA,NA,NA,NA,NA,NA,85.05,4.65,85.06,85.05,47000,2823.51,47400,47000
11/12/15,52.545,2.73,,,19.6461,0.43,19.6543,19.6461,3724.5,196,3725,3724.5,0.46,,0.54,0.35,133.38,4.33,133.4,133.38,NA,NA,NA,NA,NA,NA,NA,NA,84.02,4.65,84.03,84.02,49000,2823.51,49025,49000
11/13/15,52.26,2.73,,,19.6626,0.43,19.679,19.6626,3705.5,196,3705.5,3704,0.35,,0.43,0.35,132.2,4.33,132.24,132.22,NA,NA,NA,NA,NA,NA,NA,NA,83.4,4.65,83.42,83.41,47500,2823.51,48000,47500
11/16/15,55.12,2.73,,,19.8189,0.43,19.8353,19.8189,3741,196,3741,3740.5,0.35,,0.43,0.35,135.26,4.33,135.26,135.21,NA,NA,NA,NA,NA,NA,NA,NA,84.35,4.65,84.35,84.33,48750,2823.51,48750,48525
11/17/15,54.605,2.73,,,19.8518,0.43,19.8436,19.8353,3812,196,3812.5,3812,0.27,,0.35,0.27,138.11,4.33,138.15,138.14,NA,NA,NA,NA,NA,NA,NA,NA,83.84,4.65,83.86,83.85,51175,2823.51,51200,51175
11/18/15,53.995,2.73,,,20.0328,0.43,20.0328,20.0246,3808.5,196,3809,3808.5,0.23,,0.31,0.23,138.29,4.33,138.28,138.27,NA,NA,NA,NA,NA,NA,NA,NA,85.43,4.65,85.43,85.42,49525,2823.51,50575,49525
11/19/15,53.275,2.73,,,20.1644,0.43,20.1644,20.1562,3860.5,196,3861,3860.5,0.26,,0.49,0.29,137.46,4.33,137.44,137.41,NA,NA,NA,NA,NA,NA,NA,NA,86.25,4.65,86.28,86.27,49325,2823.51,49500,49325
