"","Date","U.MGM.EPS.","U.LVS.EPS.","X.WYNN.EPS.","X.GDEN.EPS.","U.BYD.EPS.","U.BALY.EPS.","X.RRR.EPS."
"902","04/11/19",0.81,3.14,1.7,0,1,1.87,1.35
"903","04/12/19",0.81,3.14,1.7,0,1,1.87,1.35
"904","04/15/19",0.81,3.14,1.7,0,1,1.87,1.35
"905","04/16/19",0.81,3.14,1.7,0,1,1.87,1.35
"906","04/17/19",0.81,3.14,1.7,0,1,1.87,1.35
"907","04/18/19",0.81,3.14,1.7,0,1,1.87,1.35
"908","04/19/19",0.81,2.89,1.7,0,1,1.87,1.35
"909","04/22/19",0.81,2.89,1.7,0,1,1.87,1.35
"910","04/23/19",0.81,2.89,1.7,0,1,1.87,1.35
"911","04/24/19",0.81,2.89,1.7,0,1,1.87,1.35
"912","04/25/19",0.81,2.89,1.7,0,1,1.87,1.35
"913","04/26/19",0.81,2.89,1.7,0,1,1.87,1.35
"914","04/29/19",0.81,2.89,1.7,0,1,1.87,1.35
"915","04/30/19",0.81,2.89,1.7,0,1.04,1.87,1.35
"916","05/01/19",0.81,2.89,1.7,0,1.04,1.87,1.35
"917","05/02/19",0.47,2.89,1.7,0,1.04,1.87,1.01
"918","05/03/19",0.47,2.89,1.7,0,1.04,1.87,1.01
"919","05/06/19",0.47,2.89,1.7,0,1.04,1.87,1.01
"920","05/07/19",0.47,2.89,1.7,0,1.04,1.87,1.01
"921","05/08/19",0.47,2.89,1.7,0,1.04,1.87,1.01
"922","05/09/19",0.47,2.89,1.7,0,1.04,1.87,1.01
"923","05/10/19",0.47,2.89,1.7,0,1.04,1.87,1.01
"924","05/13/19",0.47,2.89,1.7,0,1.04,1.87,1.01
"925","05/14/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"926","05/15/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"927","05/16/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"928","05/17/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"929","05/20/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"930","05/21/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"931","05/22/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"932","05/23/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"933","05/24/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"934","05/27/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"935","05/28/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"936","05/29/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"937","05/30/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"938","05/31/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"939","06/03/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"940","06/04/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"941","06/05/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"942","06/06/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"943","06/07/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"944","06/10/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"945","06/11/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"946","06/12/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"947","06/13/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"948","06/14/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"949","06/17/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"950","06/18/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"951","06/19/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"952","06/20/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"953","06/21/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"954","06/24/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"955","06/25/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"956","06/26/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"957","06/27/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"958","06/28/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"959","07/01/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"960","07/02/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"961","07/03/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"962","07/04/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"963","07/05/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"964","07/08/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"965","07/09/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"966","07/10/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"967","07/11/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"968","07/12/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"969","07/15/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"970","07/16/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"971","07/17/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"972","07/18/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"973","07/19/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"974","07/22/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"975","07/23/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"976","07/24/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"977","07/25/19",0.47,2.89,4.58,0,1.04,1.87,1.01
"978","07/26/19",0.47,3.43,4.58,0,1.04,1.87,1.01
"979","07/29/19",0.35,3.43,4.58,0,1.04,1.87,1.01
"980","07/30/19",0.35,3.43,4.58,0,1.04,1.87,1.01
"981","07/31/19",0.35,3.43,4.58,0,1.04,1.87,1.01
"982","08/01/19",0.35,3.43,4.58,0,1.13,1.87,1.01
"983","08/02/19",0.35,3.43,4.58,0,1.13,1.87,1.01
"984","08/05/19",0.35,3.43,4.58,0,1.13,1.87,1.01
"985","08/06/19",0.35,3.43,4.58,0,1.13,1.87,1.01
"986","08/07/19",0.35,3.43,4.58,0,1.13,1.87,1.01
"987","08/08/19",0.35,3.43,4.58,0,1.13,1.87,1.01
"988","08/09/19",0.35,3.43,4.02,0,1.13,1.87,0.27
"989","08/12/19",0.35,3.43,4.02,0,1.13,1.87,0.27
"990","08/13/19",0.35,3.43,4.02,0,1.13,1.87,0.27
"991","08/14/19",0.35,3.43,4.02,0,1.13,1.87,0.27
"992","08/15/19",0.35,3.43,4.02,0,1.13,1.87,0.27
"993","08/16/19",0.35,3.43,4.02,0,1.13,1.87,0.27
"994","08/19/19",0.35,3.43,4.02,0,1.13,1.87,0.27
"995","08/20/19",0.35,3.43,4.02,0,1.13,1.87,0.27
"996","08/21/19",0.35,3.43,4.02,0,1.13,1.87,0.27
"997","08/22/19",0.35,3.43,4.02,0,1.13,1.87,0.27
"998","08/23/19",0.35,3.43,4.02,0,1.13,1.87,0.27
"999","08/26/19",0.35,3.43,4.02,0,1.13,1.87,0.27
"1000","08/27/19",0.35,3.43,4.02,0,1.13,1.87,0.27
